Ukazatel,Druh chráněného území,Území,Roky,value
Počet chráněných území,Maloplošné chráněné území,Česko,2020,2639
Počet chráněných území,Maloplošné chráněné území,Česko,2021,2643
Počet chráněných území,Maloplošné chráněné území,Česko,2022,2653
Počet chráněných území,Maloplošné chráněné území,Česko,2023,2665
Počet chráněných území,Maloplošné chráněné území,Hlavní město Praha,2020,93
Počet chráněných území,Maloplošné chráněné území,Hlavní město Praha,2021,93
Počet chráněných území,Maloplošné chráněné území,Hlavní město Praha,2022,93
Počet chráněných území,Maloplošné chráněné území,Hlavní město Praha,2023,92
Počet chráněných území,Maloplošné chráněné území,Středočeský kraj,2020,308
Počet chráněných území,Maloplošné chráněné území,Středočeský kraj,2021,309
Počet chráněných území,Maloplošné chráněné území,Středočeský kraj,2022,311
Počet chráněných území,Maloplošné chráněné území,Středočeský kraj,2023,313
Počet chráněných území,Maloplošné chráněné území,Jihočeský kraj,2020,328
Počet chráněných území,Maloplošné chráněné území,Jihočeský kraj,2021,329
Počet chráněných území,Maloplošné chráněné území,Jihočeský kraj,2022,335
Počet chráněných území,Maloplošné chráněné území,Jihočeský kraj,2023,339
Počet chráněných území,Maloplošné chráněné území,Plzeňský kraj,2020,194
Počet chráněných území,Maloplošné chráněné území,Plzeňský kraj,2021,196
Počet chráněných území,Maloplošné chráněné území,Plzeňský kraj,2022,196
Počet chráněných území,Maloplošné chráněné území,Plzeňský kraj,2023,196
Počet chráněných území,Maloplošné chráněné území,Karlovarský kraj,2020,94
Počet chráněných území,Maloplošné chráněné území,Karlovarský kraj,2021,94
Počet chráněných území,Maloplošné chráněné území,Karlovarský kraj,2022,95
Počet chráněných území,Maloplošné chráněné území,Karlovarský kraj,2023,95
Počet chráněných území,Maloplošné chráněné území,Ústecký kraj,2020,182
Počet chráněných území,Maloplošné chráněné území,Ústecký kraj,2021,182
Počet chráněných území,Maloplošné chráněné území,Ústecký kraj,2022,182
Počet chráněných území,Maloplošné chráněné území,Ústecký kraj,2023,182
Počet chráněných území,Maloplošné chráněné území,Liberecký kraj,2020,126
Počet chráněných území,Maloplošné chráněné území,Liberecký kraj,2021,126
Počet chráněných území,Maloplošné chráněné území,Liberecký kraj,2022,126
Počet chráněných území,Maloplošné chráněné území,Liberecký kraj,2023,126
Počet chráněných území,Maloplošné chráněné území,Královéhradecký kraj,2020,137
Počet chráněných území,Maloplošné chráněné území,Královéhradecký kraj,2021,135
Počet chráněných území,Maloplošné chráněné území,Královéhradecký kraj,2022,135
Počet chráněných území,Maloplošné chráněné území,Královéhradecký kraj,2023,135
Počet chráněných území,Maloplošné chráněné území,Pardubický kraj,2020,109
Počet chráněných území,Maloplošné chráněné území,Pardubický kraj,2021,110
Počet chráněných území,Maloplošné chráněné území,Pardubický kraj,2022,110
Počet chráněných území,Maloplošné chráněné území,Pardubický kraj,2023,110
Počet chráněných území,Maloplošné chráněné území,Kraj Vysočina,2020,203
Počet chráněných území,Maloplošné chráněné území,Kraj Vysočina,2021,204
Počet chráněných území,Maloplošné chráněné území,Kraj Vysočina,2022,204
Počet chráněných území,Maloplošné chráněné území,Kraj Vysočina,2023,204
Počet chráněných území,Maloplošné chráněné území,Jihomoravský kraj,2020,343
Počet chráněných území,Maloplošné chráněné území,Jihomoravský kraj,2021,343
Počet chráněných území,Maloplošné chráněné území,Jihomoravský kraj,2022,344
Počet chráněných území,Maloplošné chráněné území,Jihomoravský kraj,2023,351
Počet chráněných území,Maloplošné chráněné území,Olomoucký kraj,2020,165
Počet chráněných území,Maloplošné chráněné území,Olomoucký kraj,2021,165
Počet chráněných území,Maloplošné chráněné území,Olomoucký kraj,2022,165
Počet chráněných území,Maloplošné chráněné území,Olomoucký kraj,2023,165
Počet chráněných území,Maloplošné chráněné území,Zlínský kraj,2020,215
Počet chráněných území,Maloplošné chráněné území,Zlínský kraj,2021,215
Počet chráněných území,Maloplošné chráněné území,Zlínský kraj,2022,215
Počet chráněných území,Maloplošné chráněné území,Zlínský kraj,2023,215
Počet chráněných území,Maloplošné chráněné území,Moravskoslezský kraj,2020,167
Počet chráněných území,Maloplošné chráněné území,Moravskoslezský kraj,2021,167
Počet chráněných území,Maloplošné chráněné území,Moravskoslezský kraj,2022,167
Počet chráněných území,Maloplošné chráněné území,Moravskoslezský kraj,2023,167
