Území;Měsíce;Ukazatel;value
Česko;červenec 2018;Meziroční index stavební produkce - růst/pokles (%);12.9128471604
Česko;červen 2018;Meziroční index stavební produkce - růst/pokles (%);8.1412628287
Česko;květen 2018;Meziroční index stavební produkce - růst/pokles (%);9.1309120312
Česko;duben 2018;Meziroční index stavební produkce - růst/pokles (%);3.541133078
Česko;březen 2018;Meziroční index stavební produkce - růst/pokles (%);3.6311492719
Česko;únor 2018;Meziroční index stavební produkce - růst/pokles (%);13.7846425776
Česko;leden 2018;Meziroční index stavební produkce - růst/pokles (%);37.5956990445
Česko;prosinec 2017;Meziroční index stavební produkce - růst/pokles (%);1.8354016789
Česko;listopad 2017;Meziroční index stavební produkce - růst/pokles (%);4.6571364359
Česko;říjen 2017;Meziroční index stavební produkce - růst/pokles (%);0.822087937
Česko;září 2017;Meziroční index stavební produkce - růst/pokles (%);-0.2208772476
Česko;srpen 2017;Meziroční index stavební produkce - růst/pokles (%);3.1324805977
Česko;červenec 2017;Meziroční index stavební produkce - růst/pokles (%);1.8999968248
Česko;červen 2017;Meziroční index stavební produkce - růst/pokles (%);8.8921505848
Česko;květen 2017;Meziroční index stavební produkce - růst/pokles (%);7.4261561072
Česko;duben 2017;Meziroční index stavební produkce - růst/pokles (%);8.8642699829
Česko;březen 2017;Meziroční index stavební produkce - růst/pokles (%);3.7427545504
Česko;únor 2017;Meziroční index stavební produkce - růst/pokles (%);-7.4523027144
Česko;leden 2017;Meziroční index stavební produkce - růst/pokles (%);-5.5839495737
Česko;prosinec 2016;Meziroční index stavební produkce - růst/pokles (%);1.9834296314
Česko;listopad 2016;Meziroční index stavební produkce - růst/pokles (%);-4.7252098544
Česko;říjen 2016;Meziroční index stavební produkce - růst/pokles (%);-5.941399776
Česko;září 2016;Meziroční index stavební produkce - růst/pokles (%);-6.2700456074
Česko;srpen 2016;Meziroční index stavební produkce - růst/pokles (%);-7.0681137941
Česko;červenec 2016;Meziroční index stavební produkce - růst/pokles (%);-8.5688638069
Česko;červen 2016;Meziroční index stavební produkce - růst/pokles (%);-11.6219369254
Česko;květen 2016;Meziroční index stavební produkce - růst/pokles (%);-8.8976055524
Česko;duben 2016;Meziroční index stavební produkce - růst/pokles (%);-13.5436224802
Česko;březen 2016;Meziroční index stavební produkce - růst/pokles (%);-8.3654203965
Česko;únor 2016;Meziroční index stavební produkce - růst/pokles (%);-2.028892885
Česko;leden 2016;Meziroční index stavební produkce - růst/pokles (%);-7.040739241
