Území,Ukazatel,Očištění,Typ indexu,Typ tržeb,Vybraná průmyslová činnost,Roky,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2024,101.8190140563
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2023,103.3434458233
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2022,115.9402960035
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2021,111.0742822516
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2020,93.8482599085
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2019,101.0721686093
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2018,103.5193666306
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2017,107.1596621555
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2016,101.1887207914
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2015,101.9882712547
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2014,108.9125652993
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2013,101.5337318922
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2012,101.6816257932
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2011,107.554031566
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2010,109.5112822641
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2009,84.1202593842
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2008,99.6604625619
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2007,114.0836620104
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2006,108.4505445002
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2005,106.9190244203
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2004,116.0894258291
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2003,103.2022269811
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2002,99.8254077504
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2001,111.3563151992
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2024,86.1590290825
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2023,103.8764784596
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2022,142.3484630643
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2021,113.1983562287
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2020,85.0797767997
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2019,87.1795682072
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2018,103.669294978
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2017,108.652822976
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2016,81.9902276673
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2015,91.3253284272
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2014,92.5358488214
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2013,90.9292288709
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2012,88.9853506541
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2011,105.8552265624
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2010,107.0970338511
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2009,83.2662131368
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2008,114.4547468442
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2007,103.059727456
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2006,111.5139703756
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2005,99.2157151989
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2004,114.1445862745
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2003,96.0436177939
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2002,95.3345361758
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2001,105.3447864966
