Území,Ukazatel,Pohlaví,Roky,value
Česko,Podíl osob pod hranicí deprivace,Ženy,2019,5.9
Česko,Podíl osob pod hranicí deprivace,Ženy,2020,5.644
Česko,Podíl osob pod hranicí deprivace,Ženy,2021,5.42
Česko,Podíl osob pod hranicí deprivace,Ženy,2022,5.5
Česko,Podíl osob pod hranicí deprivace,Ženy,2023,7.2
Česko,Podíl osob pod hranicí deprivace,Ženy,2024,7.2
Česko,Podíl osob pod hranicí deprivace,Muži,2019,4.7
Česko,Podíl osob pod hranicí deprivace,Muži,2020,4.252
Česko,Podíl osob pod hranicí deprivace,Muži,2021,4.2
Česko,Podíl osob pod hranicí deprivace,Muži,2022,4.1
Česko,Podíl osob pod hranicí deprivace,Muži,2023,5.3
Česko,Podíl osob pod hranicí deprivace,Muži,2024,5.0
