Kategorie,Druh zařízení,Roky,"ČR, kraje",Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet hostů,Celkem,925893.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet hostů,Rezidenti,541462.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet hostů,Nerezidenti,384431.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet přenocování,Celkem,6413218.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet přenocování,Rezidenti,4554558.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Počet přenocování,Nerezidenti,1858660.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Průměrný počet přenocování ,Celkem,6.9265217471
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Průměrný počet přenocování ,Rezidenti,8.4115930573
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Česko,Průměrný počet přenocování ,Nerezidenti,4.8348338193
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Hlavní město Praha,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet hostů,Celkem,26295.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet hostů,Rezidenti,23974.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet hostů,Nerezidenti,2321.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet přenocování,Celkem,193053.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet přenocování,Rezidenti,185941.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Počet přenocování,Nerezidenti,7112.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Průměrný počet přenocování ,Celkem,7.3418140331
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Průměrný počet přenocování ,Rezidenti,7.7559439393
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Středočeský kraj,Průměrný počet přenocování ,Nerezidenti,3.064196467
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet hostů,Celkem,35575.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet hostů,Rezidenti,35243.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet hostů,Nerezidenti,332.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet přenocování,Celkem,475267.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet přenocování,Rezidenti,473311.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Počet přenocování,Nerezidenti,1956.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Průměrný počet přenocování ,Celkem,13.3595783556
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Průměrný počet přenocování ,Rezidenti,13.4299293477
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihočeský kraj,Průměrný počet přenocování ,Nerezidenti,5.8915662651
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Plzeňský kraj,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet hostů,Celkem,636226.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet hostů,Rezidenti,264664.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet hostů,Nerezidenti,371562.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet přenocování,Celkem,3053030.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet přenocování,Rezidenti,1293071.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Počet přenocování,Nerezidenti,1759959.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Průměrný počet přenocování ,Celkem,4.7986564523
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Průměrný počet přenocování ,Rezidenti,4.8857079165
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Karlovarský kraj,Průměrný počet přenocování ,Nerezidenti,4.7366496036
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet hostů,Celkem,22829.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet hostů,Rezidenti,20915.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet hostů,Nerezidenti,1914.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet přenocování,Celkem,248919.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet přenocování,Rezidenti,216367.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Počet přenocování,Nerezidenti,32552.0
