Ukazatel;Území;Druh nemovitosti;Tříleté období;value
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2019-2021;38345
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2020-2022;42763
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2021-2023;46541
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2019-2021;46408
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2020-2022;53222
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2021-2023;57899
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2019-2021;79275
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2020-2022;91986
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2021-2023;102456
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2019-2021;88629
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2020-2022;99503
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2021-2023;105082
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2019-2021;49122
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2020-2022;55868
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2021-2023;62004
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2019-2021;38494
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2020-2022;45938
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2021-2023;51514
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2019-2021;34286
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2020-2022;38734
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2021-2023;43274
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2019-2021;34491
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2020-2022;41082
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2021-2023;45749
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2019-2021;34428
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2020-2022;38120
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2021-2023;42055
