Ukazatel,Území,Typ údaje,Odvětví,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2000,79.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2001,82.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2002,81.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2003,81.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2004,85.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2005,88.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2006,89.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2007,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2008,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2009,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2010,95.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2011,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2012,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2014,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2016,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2018,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2019,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2020,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2021,110.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2022,137.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2023,144.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2024,145.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2000,79.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2001,80.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2002,80.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2003,80.4
