Ukazatel,Území,Náboženská víra,Rok sčítání,value
Počet obyvatel (obvyklý pobyt),Česká republika,Obyvatelstvo celkem,1991,10302215
Počet obyvatel (obvyklý pobyt),Česká republika,Obyvatelstvo celkem,2001,10230060
Počet obyvatel (obvyklý pobyt),Česká republika,Obyvatelstvo celkem,2011,10436560
Počet obyvatel (obvyklý pobyt),Česká republika,Obyvatelstvo celkem,2021,10524167
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící,1991,4523734
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící,2001,3288088
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící,2011,2168952
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící,2021,2334486
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev římskokatolická,1991,4021385
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev římskokatolická,2001,2740780
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev římskokatolická,2011,1082463
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev římskokatolická,2021,741019
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev československá husitská,1991,178036
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev československá husitská,2001,99103
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev československá husitská,2011,39229
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Církev československá husitská,2021,23610
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Českobratrská církev evangelická,1991,203996
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Českobratrská církev evangelická,2001,117212
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Českobratrská církev evangelická,2011,51858
Počet obyvatel (obvyklý pobyt),Česká republika,Věřící - Českobratrská církev evangelická,2021,32577
Počet obyvatel (obvyklý pobyt),Česká republika,Bez náboženské víry,1991,4112864
Počet obyvatel (obvyklý pobyt),Česká republika,Bez náboženské víry,2001,6039991
Počet obyvatel (obvyklý pobyt),Česká republika,Bez náboženské víry,2011,3604095
Počet obyvatel (obvyklý pobyt),Česká republika,Bez náboženské víry,2021,5027141
Počet obyvatel (obvyklý pobyt),Česká republika,Náboženská víra neuvedena,1991,1665617
Počet obyvatel (obvyklý pobyt),Česká republika,Náboženská víra neuvedena,2001,901981
Počet obyvatel (obvyklý pobyt),Česká republika,Náboženská víra neuvedena,2011,4662455
Počet obyvatel (obvyklý pobyt),Česká republika,Náboženská víra neuvedena,2021,3162540
