Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2006,99.8598735396
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2005,95.338452888
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2004,99.007592556
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2003,101.3270137664
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2002,96.6046439224
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2001,101.5789293208
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a dobývání,2000,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2024,99.1170990882
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2023,100.712285891
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2022,102.599150907
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2021,106.7555634693
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2020,93.2579598385
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2019,99.6178290216
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2018,103.3083252334
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2017,107.1282895234
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2016,103.1058480659
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2015,105.7780326716
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2014,106.6389010981
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2013,100.8613793744
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2012,99.1758668794
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2011,107.0750093636
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2010,109.623108311
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2009,85.2366143754
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2008,97.9937354579
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2007,112.2035527148
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2006,109.2498985629
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2005,104.623638721
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2004,111.9731602678
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2003,102.8375687033
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2002,101.9723520282
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2001,108.5516706403
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Zpracovatelský průmysl,2000,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2024,98.5241420769
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2023,88.864837631
