Ukazatel,"ČR, regiony",Pohlaví,Věk (roky),Roky,value
Naděje dožití (ex),Česko,muži,19,2009,55.6409120244
Naděje dožití (ex),Česko,muži,19,2010,55.8463797455
Naděje dožití (ex),Česko,muži,19,2011,56.1491842459
Naděje dožití (ex),Česko,muži,19,2012,56.4032842696
Naděje dožití (ex),Česko,muži,19,2013,56.5859133924
Naděje dožití (ex),Česko,muži,19,2014,57.1296450275
Naděje dožití (ex),Česko,muži,19,2015,57.0126973582
Naděje dožití (ex),Česko,muži,19,2016,57.466987193
Naděje dožití (ex),Česko,muži,19,2017,57.4371633993
Naděje dožití (ex),Česko,muži,19,2018,57.4854171407
Naděje dožití (ex),Česko,muži,19,2019,57.7450157551
Naděje dožití (ex),Česko,muži,19,2020,56.6663159074
Naděje dožití (ex),Česko,muži,19,2021,55.4667887283
Naděje dožití (ex),Česko,muži,19,2022,57.5008525206
Naděje dožití (ex),Česko,muži,19,2023,58.23122669
Naděje dožití (ex),Česko,muži,19,2024,58.5257798918
Naděje dožití (ex),Česko,muži,20,2001,52.7225084828
Naděje dožití (ex),Česko,muži,20,2002,52.788899069
Naděje dožití (ex),Česko,muži,20,2003,52.7202348311
Naděje dožití (ex),Česko,muži,20,2004,53.2045090331
Naděje dožití (ex),Česko,muži,20,2005,53.5093990087
Naděje dožití (ex),Česko,muži,20,2006,54.0673478945
Naděje dožití (ex),Česko,muži,20,2007,54.2643379049
Naděje dožití (ex),Česko,muži,20,2008,54.5685817359
Naděje dožití (ex),Česko,muži,20,2009,54.6743541564
Naděje dožití (ex),Česko,muži,20,2010,54.8837935435
Naděje dožití (ex),Česko,muži,20,2011,55.1909588942
Naděje dožití (ex),Česko,muži,20,2012,55.4388449026
Naděje dožití (ex),Česko,muži,20,2013,55.6293770099
Naděje dožití (ex),Česko,muži,20,2014,56.1737217892
Naděje dožití (ex),Česko,muži,20,2015,56.0478139246
Naděje dožití (ex),Česko,muži,20,2016,56.4999334103
Naděje dožití (ex),Česko,muži,20,2017,56.4696847451
Naděje dožití (ex),Česko,muži,20,2018,56.5232868223
Naděje dožití (ex),Česko,muži,20,2019,56.7839505819
Naděje dožití (ex),Česko,muži,20,2020,55.6976235568
Naděje dožití (ex),Česko,muži,20,2021,54.4930096471
Naděje dožití (ex),Česko,muži,20,2022,56.5327560445
Naděje dožití (ex),Česko,muži,20,2023,57.25813547
Naděje dožití (ex),Česko,muži,20,2024,57.5556150855
Naděje dožití (ex),Česko,muži,21,2001,51.7758966658
Naděje dožití (ex),Česko,muži,21,2002,51.8387382058
Naděje dožití (ex),Česko,muži,21,2003,51.7668507847
Naděje dožití (ex),Česko,muži,21,2004,52.2585403616
Naděje dožití (ex),Česko,muži,21,2005,52.5567829642
Naděje dožití (ex),Česko,muži,21,2006,53.1157512366
Naděje dožití (ex),Česko,muži,21,2007,53.316165316
Naděje dožití (ex),Česko,muži,21,2008,53.6155201251
Naděje dožití (ex),Česko,muži,21,2009,53.7118775273
Naděje dožití (ex),Česko,muži,21,2010,53.9234478536
Naděje dožití (ex),Česko,muži,21,2011,54.2365061898
Naděje dožití (ex),Česko,muži,21,2012,54.4763678968
Naděje dožití (ex),Česko,muži,21,2013,54.6742286667
Naděje dožití (ex),Česko,muži,21,2014,55.2187129934
Naděje dožití (ex),Česko,muži,21,2015,55.0869352206
Naděje dožití (ex),Česko,muži,21,2016,55.537402706
Naděje dožití (ex),Česko,muži,21,2017,55.5064846691
Naděje dožití (ex),Česko,muži,21,2018,55.5631493828
Naděje dožití (ex),Česko,muži,21,2019,55.8245274438
Naděje dožití (ex),Česko,muži,21,2020,54.7347104951
Naděje dožití (ex),Česko,muži,21,2021,53.5220241486
Naděje dožití (ex),Česko,muži,21,2022,55.5684019603
Naděje dožití (ex),Česko,muži,21,2023,56.28879629
Naděje dožití (ex),Česko,muži,21,2024,56.5880723422
Naděje dožití (ex),Česko,muži,22,2001,50.8309133064
Naděje dožití (ex),Česko,muži,22,2002,50.8898996781
Naděje dožití (ex),Česko,muži,22,2003,50.8163629012
Naděje dožití (ex),Česko,muži,22,2004,51.3113498059
Naděje dožití (ex),Česko,muži,22,2005,51.6070933047
Naděje dožití (ex),Česko,muži,22,2006,52.1646300675
Naděje dožití (ex),Česko,muži,22,2007,52.3685035422
Naděje dožití (ex),Česko,muži,22,2008,52.6609384898
Naděje dožití (ex),Česko,muži,22,2009,52.752541609
Naděje dožití (ex),Česko,muži,22,2010,52.9649177311
Naděje dožití (ex),Česko,muži,22,2011,53.2823784099
Naděje dožití (ex),Česko,muži,22,2012,53.5138035184
Naděje dožití (ex),Česko,muži,22,2013,53.7177695339
Naděje dožití (ex),Česko,muži,22,2014,54.2580263794
Naděje dožití (ex),Česko,muži,22,2015,54.1265148151
Naděje dožití (ex),Česko,muži,22,2016,54.5769953661
Naděje dožití (ex),Česko,muži,22,2017,54.5452489643
Naděje dožití (ex),Česko,muži,22,2018,54.6026727581
Naděje dožití (ex),Česko,muži,22,2019,54.8658872404
Naděje dožití (ex),Česko,muži,22,2020,53.7713505437
Naděje dožití (ex),Česko,muži,22,2021,52.5529412608
Naděje dožití (ex),Česko,muži,22,2022,54.6063609705
Naděje dožití (ex),Česko,muži,22,2023,55.32204165
Naděje dožití (ex),Česko,muži,22,2024,55.6222641611
Naděje dožití (ex),Česko,muži,23,2001,49.8854220081
Naděje dožití (ex),Česko,muži,23,2002,49.9409020372
Naděje dožití (ex),Česko,muži,23,2003,49.8673247497
Naděje dožití (ex),Česko,muži,23,2004,50.3612618883
Naděje dožití (ex),Česko,muži,23,2005,50.6583300965
Naděje dožití (ex),Česko,muži,23,2006,51.2119171783
Naděje dožití (ex),Česko,muži,23,2007,51.4191856573
Naděje dožití (ex),Česko,muži,23,2008,51.7038447221
Naděje dožití (ex),Česko,muži,23,2009,51.7946234619
Naděje dožití (ex),Česko,muži,23,2010,52.0076690786
Naděje dožití (ex),Česko,muži,23,2011,52.3264288909
Naděje dožití (ex),Česko,muži,23,2012,52.550086493
Naděje dožití (ex),Česko,muži,23,2013,52.7590800733
Naděje dožití (ex),Česko,muži,23,2014,53.2911221227
Naděje dožití (ex),Česko,muži,23,2015,53.1648891669
Naděje dožití (ex),Česko,muži,23,2016,53.6166984095
Naděje dožití (ex),Česko,muži,23,2017,53.5842180593
Naděje dožití (ex),Česko,muži,23,2018,53.6411654869
Naděje dožití (ex),Česko,muži,23,2019,53.9068450979
Naděje dožití (ex),Česko,muži,23,2020,52.8047268764
Naděje dožití (ex),Česko,muži,23,2021,51.5849400337
Naděje dožití (ex),Česko,muži,23,2022,53.6452588261
Naděje dožití (ex),Česko,muži,23,2023,54.35676395
Naděje dožití (ex),Česko,muži,23,2024,54.6575165819
Naděje dožití (ex),Česko,muži,24,2001,48.9380833679
Naděje dožití (ex),Česko,muži,24,2002,48.9909120251
Naděje dožití (ex),Česko,muži,24,2003,48.9184263448
Naděje dožití (ex),Česko,muži,24,2004,49.4090773523
Naděje dožití (ex),Česko,muži,24,2005,49.7089560784
Naděje dožití (ex),Česko,muži,24,2006,50.2567333578
Naděje dožití (ex),Česko,muži,24,2007,50.4682550507
Naděje dožití (ex),Česko,muži,24,2008,50.7454339578
Naděje dožití (ex),Česko,muži,24,2009,50.8357573555
Naděje dožití (ex),Česko,muži,24,2010,51.0508892178
Naděje dožití (ex),Česko,muži,24,2011,51.3681734627
Naděje dožití (ex),Česko,muži,24,2012,51.5852507827
Naděje dožití (ex),Česko,muži,24,2013,51.7988232641
Naděje dožití (ex),Česko,muži,24,2014,52.3217953475
Naděje dožití (ex),Česko,muži,24,2015,52.2027085046
Naděje dožití (ex),Česko,muži,24,2016,52.6553912922
Naděje dožití (ex),Česko,muži,24,2017,52.6226556899
Naděje dožití (ex),Česko,muži,24,2018,52.679619031
Naděje dožití (ex),Česko,muži,24,2019,52.9456206134
Naděje dožití (ex),Česko,muži,24,2020,51.8363006513
Naděje dožití (ex),Česko,muži,24,2021,50.6174257422
Naděje dožití (ex),Česko,muži,24,2022,52.684032564
Naděje dožití (ex),Česko,muži,24,2023,53.39219461
Naděje dožití (ex),Česko,muži,24,2024,53.6934967943
Naděje dožití (ex),Česko,muži,25,2001,47.988334258
Naděje dožití (ex),Česko,muži,25,2002,48.0396254533
Naděje dožití (ex),Česko,muži,25,2003,47.9687079842
Naděje dožití (ex),Česko,muži,25,2004,48.4563976818
Naděje dožití (ex),Česko,muži,25,2005,48.7580435582
Naděje dožití (ex),Česko,muži,25,2006,49.2990256913
Naděje dožití (ex),Česko,muži,25,2007,49.5167047271
Naděje dožití (ex),Česko,muži,25,2008,49.7875288108
Naděje dožití (ex),Česko,muži,25,2009,49.874218571
Naděje dožití (ex),Česko,muži,25,2010,50.0937271346
Naděje dožití (ex),Česko,muži,25,2011,50.4081043425
Naděje dožití (ex),Česko,muži,25,2012,50.6199121842
Naděje dožití (ex),Česko,muži,25,2013,50.8381631925
Naděje dožití (ex),Česko,muži,25,2014,51.3544390691
Naděje dožití (ex),Česko,muži,25,2015,51.2413977453
Naděje dožití (ex),Česko,muži,25,2016,51.6927632065
Naděje dožití (ex),Česko,muži,25,2017,51.660584694
Naděje dožití (ex),Česko,muži,25,2018,51.7194060185
Naděje dožití (ex),Česko,muži,25,2019,51.981120331
Naděje dožití (ex),Česko,muži,25,2020,50.8688046402
Naděje dožití (ex),Česko,muži,25,2021,49.650055091
Naděje dožití (ex),Česko,muži,25,2022,51.7220471909
Naděje dožití (ex),Česko,muži,25,2023,52.42792916
Naděje dožití (ex),Česko,muži,25,2024,52.7301486083
Naděje dožití (ex),Česko,muži,26,2001,47.0362163288
Naděje dožití (ex),Česko,muži,26,2002,47.0870350759
Naděje dožití (ex),Česko,muži,26,2003,47.0177436109
Naděje dožití (ex),Česko,muži,26,2004,47.5037260742
Naděje dožití (ex),Česko,muži,26,2005,47.8052791727
Naděje dožití (ex),Česko,muži,26,2006,48.3390620294
Naděje dožití (ex),Česko,muži,26,2007,48.5648988708
Naděje dožití (ex),Česko,muži,26,2008,48.8307327941
Naděje dožití (ex),Česko,muži,26,2009,48.9102761368
Naděje dožití (ex),Česko,muži,26,2010,49.1356435711
Naděje dožití (ex),Česko,muži,26,2011,49.446867512
Naděje dožití (ex),Česko,muži,26,2012,49.6546451618
Naděje dožití (ex),Česko,muži,26,2013,49.8775205297
Naděje dožití (ex),Česko,muži,26,2014,50.3908680953
Naděje dožití (ex),Česko,muži,26,2015,50.2810934009
Naděje dožití (ex),Česko,muži,26,2016,50.7290228088
Naděje dožití (ex),Česko,muži,26,2017,50.6983010117
Naděje dožití (ex),Česko,muži,26,2018,50.760403834
Naděje dožití (ex),Česko,muži,26,2019,51.0142166601
Naděje dožití (ex),Česko,muži,26,2020,49.9031546514
Naděje dožití (ex),Česko,muži,26,2021,48.6827007156
Naděje dožití (ex),Česko,muži,26,2022,50.7591251922
Naděje dožití (ex),Česko,muži,26,2023,51.46383377
Naděje dožití (ex),Česko,muži,26,2024,51.7675415326
Naděje dožití (ex),Česko,muži,27,2001,46.0822584936
Naděje dožití (ex),Česko,muži,27,2002,46.13338292
Naděje dožití (ex),Česko,muži,27,2003,46.065618087
Naděje dožití (ex),Česko,muži,27,2004,46.5504204073
Naděje dožití (ex),Česko,muži,27,2005,46.8508915973
Naděje dožití (ex),Česko,muži,27,2006,47.3773359832
Naděje dožití (ex),Česko,muži,27,2007,47.6125080212
Naděje dožití (ex),Česko,muži,27,2008,47.8742839727
Naděje dožití (ex),Česko,muži,27,2009,47.9458283942
Naděje dožití (ex),Česko,muži,27,2010,48.1764342775
Naděje dožití (ex),Česko,muži,27,2011,48.485199957
Naděje dožití (ex),Česko,muži,27,2012,48.6899611074
Naděje dožití (ex),Česko,muži,27,2013,48.9165424128
Naděje dožití (ex),Česko,muži,27,2014,49.4295145451
Naděje dožití (ex),Česko,muži,27,2015,49.320452513
Naděje dožití (ex),Česko,muži,27,2016,49.764804283
Naděje dožití (ex),Česko,muži,27,2017,49.7363246787
Naděje dožití (ex),Česko,muži,27,2018,49.8007791925
Naděje dožití (ex),Česko,muži,27,2019,50.0473211001
Naděje dožití (ex),Česko,muži,27,2020,48.9381101562
Naděje dožití (ex),Česko,muži,27,2021,47.7154499924
Naděje dožití (ex),Česko,muži,27,2022,49.7955104352
Naděje dožití (ex),Česko,muži,27,2023,50.50004126
Naděje dožití (ex),Česko,muži,27,2024,50.8058612833
Naděje dožití (ex),Česko,muži,28,2001,45.1271515981
Naděje dožití (ex),Česko,muži,28,2002,45.1790482335
Naděje dožití (ex),Česko,muži,28,2003,45.112700704
Naděje dožití (ex),Česko,muži,28,2004,45.5956842613
Naděje dožití (ex),Česko,muži,28,2005,45.8953984408
Naděje dožití (ex),Česko,muži,28,2006,46.4144581741
Naděje dožití (ex),Česko,muži,28,2007,46.6589480236
Naděje dožití (ex),Česko,muži,28,2008,46.9170815097
Naděje dožití (ex),Česko,muži,28,2009,46.9828473497
Naděje dožití (ex),Česko,muži,28,2010,47.2161080763
Naděje dožití (ex),Česko,muži,28,2011,47.5237326109
Naděje dožití (ex),Česko,muži,28,2012,47.7262773777
Naděje dožití (ex),Česko,muži,28,2013,47.9547683192
Naděje dožití (ex),Česko,muži,28,2014,48.4674532637
Naděje dožití (ex),Česko,muži,28,2015,48.3580919619
Naděje dožití (ex),Česko,muži,28,2016,48.8007048774
Naděje dožití (ex),Česko,muži,28,2017,48.77517798
Naděje dožití (ex),Česko,muži,28,2018,48.8388093743
Naděje dožití (ex),Česko,muži,28,2019,49.0826377438
Naděje dožití (ex),Česko,muži,28,2020,47.972181173
Naděje dožití (ex),Česko,muži,28,2021,46.7485710709
Naděje dožití (ex),Česko,muži,28,2022,48.8317045587
Naděje dožití (ex),Česko,muži,28,2023,49.53686136
Naděje dožití (ex),Česko,muži,28,2024,49.845289841
Naděje dožití (ex),Česko,muži,29,2001,44.1715049411
Naděje dožití (ex),Česko,muži,29,2002,44.2244574698
Naděje dožití (ex),Česko,muži,29,2003,44.159455221
Naděje dožití (ex),Česko,muži,29,2004,44.6394736885
Naděje dožití (ex),Česko,muži,29,2005,44.9394111256
Naděje dožití (ex),Česko,muži,29,2006,45.4510879146
Naděje dožití (ex),Česko,muži,29,2007,45.7037947552
Naděje dožití (ex),Česko,muži,29,2008,45.9587504792
Naděje dožití (ex),Česko,muži,29,2009,46.0220337777
Naděje dožití (ex),Česko,muži,29,2010,46.2547741669
Naděje dožití (ex),Česko,muži,29,2011,46.5627999404
Naděje dožití (ex),Česko,muži,29,2012,46.7638706215
Naděje dožití (ex),Česko,muži,29,2013,46.9922498044
Naděje dožití (ex),Česko,muži,29,2014,47.503387986
Naděje dožití (ex),Česko,muži,29,2015,47.3939382201
Naděje dožití (ex),Česko,muži,29,2016,47.8368664264
Naděje dožití (ex),Česko,muži,29,2017,47.815161781
Naděje dožití (ex),Česko,muži,29,2018,47.8745125257
Naděje dožití (ex),Česko,muži,29,2019,48.1204050992
Naděje dožití (ex),Česko,muži,29,2020,47.0056642103
Naděje dožití (ex),Česko,muži,29,2021,45.7824884442
Naděje dožití (ex),Česko,muži,29,2022,47.868343226
Naděje dožití (ex),Česko,muži,29,2023,48.57469859
Naděje dožití (ex),Česko,muži,29,2024,48.8858740813
Naděje dožití (ex),Česko,muži,30,2001,43.2158638588
Naděje dožití (ex),Česko,muži,30,2002,43.2700814621
Naděje dožití (ex),Česko,muži,30,2003,43.2064312764
Naděje dožití (ex),Česko,muži,30,2004,43.6824172885
Naděje dožití (ex),Česko,muži,30,2005,43.9836245263
Naděje dožití (ex),Česko,muži,30,2006,44.4879440928
Naděje dožití (ex),Česko,muži,30,2007,44.7468298354
Naděje dožití (ex),Česko,muži,30,2008,44.9996080298
Naděje dožití (ex),Česko,muži,30,2009,45.0626739865
Naděje dožití (ex),Česko,muži,30,2010,45.2926386888
Naděje dožití (ex),Česko,muži,30,2011,45.6024459931
Naděje dožití (ex),Česko,muži,30,2012,45.8028613389
Naděje dožití (ex),Česko,muži,30,2013,46.0295160329
Naděje dožití (ex),Česko,muži,30,2014,46.5376698964
Naděje dožití (ex),Česko,muži,30,2015,46.4290190699
Naděje dožití (ex),Česko,muži,30,2016,46.8730009903
Naděje dožití (ex),Česko,muži,30,2017,46.8563283314
Naděje dožití (ex),Česko,muži,30,2018,46.9092871815
Naděje dožití (ex),Česko,muži,30,2019,47.1586042711
Naděje dožití (ex),Česko,muži,30,2020,46.0404806323
Naděje dožití (ex),Česko,muži,30,2021,44.817791066
Naděje dožití (ex),Česko,muži,30,2022,46.9062023717
Naděje dožití (ex),Česko,muži,30,2023,47.61405552
Naděje dožití (ex),Česko,muži,30,2024,47.927517057
Naděje dožití (ex),Česko,muži,31,2001,42.2607335911
Naděje dožití (ex),Česko,muži,31,2002,42.3163490892
Naděje dožití (ex),Česko,muži,31,2003,42.2541664626
Naděje dožití (ex),Česko,muži,31,2004,42.725372465
Naděje dožití (ex),Česko,muži,31,2005,43.0286225054
Naděje dožití (ex),Česko,muži,31,2006,43.5256977978
Naděje dožití (ex),Česko,muži,31,2007,43.7883881209
Naděje dožití (ex),Česko,muži,31,2008,44.0402223071
Naděje dožití (ex),Česko,muži,31,2009,44.1038022085
Naděje dožití (ex),Česko,muži,31,2010,44.330112243
Naděje dožití (ex),Česko,muži,31,2011,44.6425954026
Naděje dožití (ex),Česko,muži,31,2012,44.8432050951
Naděje dožití (ex),Česko,muži,31,2013,45.0672763743
Naděje dožití (ex),Česko,muži,31,2014,45.5714106005
Naděje dožití (ex),Česko,muži,31,2015,45.4645703008
Naděje dožití (ex),Česko,muži,31,2016,45.9089229063
Naděje dožití (ex),Česko,muži,31,2017,45.8984514141
Naděje dožití (ex),Česko,muži,31,2018,45.9446951708
Naděje dožití (ex),Česko,muži,31,2019,46.1956468583
Naděje dožití (ex),Česko,muži,31,2020,45.0782477449
Naděje dožití (ex),Česko,muži,31,2021,43.8550643156
Naděje dožití (ex),Česko,muži,31,2022,45.9459618785
Naděje dožití (ex),Česko,muži,31,2023,46.65540277
Naděje dožití (ex),Česko,muži,31,2024,46.970115724
Naděje dožití (ex),Česko,muži,32,2001,41.3065973896
Naděje dožití (ex),Česko,muži,32,2002,41.3635916038
Naděje dožití (ex),Česko,muži,32,2003,41.3031271291
Naděje dožití (ex),Česko,muži,32,2004,41.7692022972
Naděje dožití (ex),Česko,muži,32,2005,42.0747476024
Naděje dožití (ex),Česko,muži,32,2006,42.5649066257
Naděje dožití (ex),Česko,muži,32,2007,42.8295227356
Naděje dožití (ex),Česko,muži,32,2008,43.0811690356
Naděje dožití (ex),Česko,muži,32,2009,43.1451161734
Naděje dožití (ex),Česko,muži,32,2010,43.3678841944
Naděje dožití (ex),Česko,muži,32,2011,43.6831677949
Naděje dožití (ex),Česko,muži,32,2012,43.8846789932
Naděje dožití (ex),Česko,muži,32,2013,44.1062664339
Naděje dožití (ex),Česko,muži,32,2014,44.606078541
Naděje dožití (ex),Česko,muži,32,2015,44.5015994603
Naděje dožití (ex),Česko,muži,32,2016,44.9448883961
Naděje dožití (ex),Česko,muži,32,2017,44.941002786
Naděje dožití (ex),Česko,muži,32,2018,44.9818911681
Naděje dožití (ex),Česko,muži,32,2019,45.2321990548
Naděje dožití (ex),Česko,muži,32,2020,44.1187348469
Naděje dožití (ex),Česko,muži,32,2021,42.8947581175
Naděje dožití (ex),Česko,muži,32,2022,44.988014291
Naděje dožití (ex),Česko,muži,32,2023,45.69907319
Naděje dožití (ex),Česko,muži,32,2024,46.013661508
Naděje dožití (ex),Česko,muži,33,2001,40.3539292997
Naděje dožití (ex),Česko,muži,33,2002,40.4120590176
Naděje dožití (ex),Česko,muži,33,2003,40.3537175634
Naděje dožití (ex),Česko,muži,33,2004,40.814804124
Naděje dožití (ex),Česko,muži,33,2005,41.1221250587
Naděje dožití (ex),Česko,muži,33,2006,41.6060287557
Naděje dožití (ex),Česko,muži,33,2007,41.8718905875
Naděje dožití (ex),Česko,muži,33,2008,42.123036964
Naděje dožití (ex),Česko,muži,33,2009,42.186970893
Naděje dožití (ex),Česko,muži,33,2010,42.4068875529
Naděje dožití (ex),Česko,muži,33,2011,42.7241106053
Naděje dožití (ex),Česko,muži,33,2012,42.9269239396
Naděje dožití (ex),Česko,muži,33,2013,43.1472179525
Naděje dožití (ex),Česko,muži,33,2014,43.6434799829
Naděje dožití (ex),Česko,muži,33,2015,43.5409063422
Naděje dožití (ex),Česko,muži,33,2016,43.9815426107
Naděje dožití (ex),Česko,muži,33,2017,43.9832308928
Naděje dožití (ex),Česko,muži,33,2018,44.021670352
Naděje dožití (ex),Česko,muži,33,2019,44.2707393764
Naděje dožití (ex),Česko,muži,33,2020,43.1597336682
Naděje dožití (ex),Česko,muži,33,2021,41.9371600912
Naděje dožití (ex),Česko,muži,33,2022,44.0324377824
Naděje dožití (ex),Česko,muži,33,2023,44.74523812
Naděje dožití (ex),Česko,muži,33,2024,45.0582515844
Naděje dožití (ex),Česko,muži,34,2001,39.4032025824
Naděje dožití (ex),Česko,muži,34,2002,39.4620424622
Naděje dožití (ex),Česko,muži,34,2003,39.4063120123
Naděje dožití (ex),Česko,muži,34,2004,39.8630221552
Naděje dožití (ex),Česko,muži,34,2005,40.1709207234
Naděje dožití (ex),Česko,muži,34,2006,40.649486628
Naděje dožití (ex),Česko,muži,34,2007,40.9169544728
Naděje dožití (ex),Česko,muži,34,2008,41.1663476315
Naděje dožití (ex),Česko,muži,34,2009,41.2299851943
Naděje dožití (ex),Česko,muži,34,2010,41.4478451543
Naděje dožití (ex),Česko,muži,34,2011,41.7656101221
Naděje dožití (ex),Česko,muži,34,2012,41.9698442357
Naděje dožití (ex),Česko,muži,34,2013,42.190385554
Naděje dožití (ex),Česko,muži,34,2014,42.6844171889
Naděje dožití (ex),Česko,muži,34,2015,42.5828700006
Naděje dožití (ex),Česko,muži,34,2016,43.0195101277
Naděje dožití (ex),Česko,muži,34,2017,43.0247020666
Naděje dožití (ex),Česko,muži,34,2018,43.0644616997
Naděje dožití (ex),Česko,muži,34,2019,43.3129224779
Naděje dožití (ex),Česko,muži,34,2020,42.1997496592
Naděje dožití (ex),Česko,muži,34,2021,40.9824158988
Naděje dožití (ex),Česko,muži,34,2022,43.0792040349
Naděje dožití (ex),Česko,muži,34,2023,43.79394005
Naděje dožití (ex),Česko,muži,34,2024,44.1041019709
Naděje dožití (ex),Česko,muži,35,2001,38.4548966944
Naděje dožití (ex),Česko,muži,35,2002,38.5139371199
Naděje dožití (ex),Česko,muži,35,2003,38.461267735
Naděje dožití (ex),Česko,muži,35,2004,38.9146021722
Naděje dožití (ex),Česko,muži,35,2005,39.2214673424
Naděje dožití (ex),Česko,muži,35,2006,39.6956932743
Naděje dožití (ex),Česko,muži,35,2007,39.9656122524
Naděje dožití (ex),Česko,muži,35,2008,40.2115173665
Naděje dožití (ex),Česko,muži,35,2009,40.274901799
Naděje dožití (ex),Česko,muži,35,2010,40.4910262378
Naděje dožití (ex),Česko,muži,35,2011,40.8081961358
Naděje dožití (ex),Česko,muži,35,2012,41.0138005653
Naděje dožití (ex),Česko,muži,35,2013,41.2352284653
Naděje dožití (ex),Česko,muži,35,2014,41.7276126958
Naděje dožití (ex),Česko,muži,35,2015,41.6272441736
Naděje dožití (ex),Česko,muži,35,2016,42.059219195
Naděje dožití (ex),Česko,muži,35,2017,42.0655069765
Naděje dožití (ex),Česko,muži,35,2018,42.1102343
Naděje dožití (ex),Česko,muži,35,2019,42.3579974475
Naděje dožití (ex),Česko,muži,35,2020,41.2392210104
Naděje dožití (ex),Česko,muži,35,2021,40.0305173192
Naděje dožití (ex),Česko,muži,35,2022,42.1282804601
Naděje dožití (ex),Česko,muži,35,2023,42.84509474
Naděje dožití (ex),Česko,muži,35,2024,43.1515635304
Naděje dožití (ex),Česko,muži,36,2001,37.5095102259
Naděje dožití (ex),Česko,muži,36,2002,37.5682558522
Naděje dožití (ex),Česko,muži,36,2003,37.5189300808
Naděje dožití (ex),Česko,muži,36,2004,37.9701445097
Naděje dožití (ex),Česko,muži,36,2005,38.2742519431
Naděje dožití (ex),Česko,muži,36,2006,38.7450380157
Naděje dožití (ex),Česko,muži,36,2007,39.0181592206
Naděje dožití (ex),Česko,muži,36,2008,39.2589120511
Naděje dožití (ex),Česko,muži,36,2009,39.3225669106
Naděje dožití (ex),Česko,muži,36,2010,39.5363319617
Naděje dožití (ex),Česko,muži,36,2011,39.8526913229
Naděje dožití (ex),Česko,muži,36,2012,40.0595497406
Naděje dožití (ex),Česko,muži,36,2013,40.2805805047
Naděje dožití (ex),Česko,muži,36,2014,40.7701706773
Naděje dožití (ex),Česko,muži,36,2015,40.6732121252
Naděje dožití (ex),Česko,muži,36,2016,41.1008912713
Naděje dožití (ex),Česko,muži,36,2017,41.1061891842
Naděje dožití (ex),Česko,muži,36,2018,41.1584878199
Naděje dožití (ex),Česko,muži,36,2019,41.4030610084
Naděje dožití (ex),Česko,muži,36,2020,40.2800490323
Naděje dožití (ex),Česko,muži,36,2021,39.0813085844
Naděje dožití (ex),Česko,muži,36,2022,41.1796282596
Naděje dožití (ex),Česko,muži,36,2023,41.89850091
Naděje dožití (ex),Česko,muži,36,2024,42.2011166455
Naděje dožití (ex),Česko,muži,37,2001,36.567599349
Naděje dožití (ex),Česko,muži,37,2002,36.6256274158
Naděje dožití (ex),Česko,muži,37,2003,36.5796609324
Naděje dožití (ex),Česko,muži,37,2004,37.0299324407
Naděje dožití (ex),Česko,muži,37,2005,37.3297717393
Naděje dožití (ex),Česko,muži,37,2006,37.7978308306
Naděje dožití (ex),Česko,muži,37,2007,38.0746171267
Naděje dožití (ex),Česko,muži,37,2008,38.3091321992
Naděje dožití (ex),Česko,muži,37,2009,38.3736681703
Naděje dožití (ex),Česko,muži,37,2010,38.584029702
Naděje dožití (ex),Česko,muži,37,2011,38.899844077
Naděje dožití (ex),Česko,muži,37,2012,39.1078354551
Naděje dožití (ex),Česko,muži,37,2013,39.325847181
Naděje dožití (ex),Česko,muži,37,2014,39.8112914293
Naděje dožití (ex),Česko,muži,37,2015,39.7201869647
Naděje dožití (ex),Česko,muži,37,2016,40.144566549
Naděje dožití (ex),Česko,muži,37,2017,40.1475648099
Naděje dožití (ex),Česko,muži,37,2018,40.2087176702
Naděje dožití (ex),Česko,muži,37,2019,40.4468143192
Naděje dožití (ex),Česko,muži,37,2020,39.3240002315
Naděje dožití (ex),Česko,muži,37,2021,38.134658204
Naděje dožití (ex),Česko,muži,37,2022,40.2331844383
Naděje dožití (ex),Česko,muži,37,2023,40.95396919
Naděje dožití (ex),Česko,muži,37,2024,41.2532752942
Naděje dožití (ex),Česko,muži,38,2001,35.6298002047
Naděje dožití (ex),Česko,muži,38,2002,35.6868195789
Naděje dožití (ex),Česko,muži,38,2003,35.6438491232
Naděje dožití (ex),Česko,muži,38,2004,36.0937883283
Naděje dožití (ex),Česko,muži,38,2005,36.3884897494
Naděje dožití (ex),Česko,muži,38,2006,36.8542605789
Naděje dožití (ex),Česko,muži,38,2007,37.1348024162
Naděje dožití (ex),Česko,muži,38,2008,37.3631577522
Naděje dožití (ex),Česko,muži,38,2009,37.4286023928
Naděje dožití (ex),Česko,muži,38,2010,37.6350640761
Naděje dožití (ex),Česko,muži,38,2011,37.9502040399
Naděje dožití (ex),Česko,muži,38,2012,38.1592662375
Naděje dožití (ex),Česko,muži,38,2013,38.3713565101
Naděje dožití (ex),Česko,muži,38,2014,38.8530988378
Naděje dožití (ex),Česko,muži,38,2015,38.7680977794
Naděje dožití (ex),Česko,muži,38,2016,39.1900858295
Naděje dožití (ex),Česko,muži,38,2017,39.1907297039
Naděje dožití (ex),Česko,muži,38,2018,39.2605954003
Naděje dožití (ex),Česko,muži,38,2019,39.4905488211
