Ukazatel,"ČR, regiony",Pohlaví,Věk (roky),Roky,value
Naděje dožití (ex),Česko,muži,5,2004,67.9311960626
Naděje dožití (ex),Česko,muži,5,2005,68.2616355927
Naděje dožití (ex),Česko,muži,5,2006,68.7951444372
Naděje dožití (ex),Česko,muži,5,2007,69.0241427876
Naděje dožití (ex),Česko,muži,5,2008,69.3209000068
Naděje dožití (ex),Česko,muži,5,2009,69.4531013536
Naděje dožití (ex),Česko,muži,5,2010,69.6721300335
Naděje dožití (ex),Česko,muži,5,2011,69.9899530901
Naděje dožití (ex),Česko,muži,5,2012,70.2304699314
Naděje dožití (ex),Česko,muži,5,2013,70.417979465
Naděje dožití (ex),Česko,muži,5,2014,70.9566979012
Naděje dožití (ex),Česko,muži,5,2015,70.8802360254
Naděje dožití (ex),Česko,muži,5,2016,71.3362252148
Naděje dožití (ex),Česko,muži,5,2017,71.2968427025
Naděje dožití (ex),Česko,muži,5,2018,71.3395059251
Naděje dožití (ex),Česko,muži,5,2019,71.5908224201
Naděje dožití (ex),Česko,muži,5,2020,70.5488906217
Naděje dožití (ex),Česko,muži,5,2021,69.3231095711
Naděje dožití (ex),Česko,muži,5,2022,71.3597104014
Naděje dožití (ex),Česko,muži,5,2023,72.10637405
Naděje dožití (ex),Česko,muži,5,2024,72.3746319676
Naděje dožití (ex),Česko,muži,6,2001,66.446416775
Naděje dožití (ex),Česko,muži,6,2002,66.5182377387
Naděje dožití (ex),Česko,muži,6,2003,66.4564302498
Naděje dožití (ex),Česko,muži,6,2004,66.9418163833
Naděje dožití (ex),Česko,muži,6,2005,67.2692741376
Naděje dožití (ex),Česko,muži,6,2006,67.8073183393
Naděje dožití (ex),Česko,muži,6,2007,68.0317975176
Naděje dožití (ex),Česko,muži,6,2008,68.3277530583
Naděje dožití (ex),Česko,muži,6,2009,68.4604749005
Naděje dožití (ex),Česko,muži,6,2010,68.6787177006
Naděje dožití (ex),Česko,muži,6,2011,68.9976331459
Naděje dožití (ex),Česko,muži,6,2012,69.2360997004
Naděje dožití (ex),Česko,muži,6,2013,69.4248144079
Naděje dožití (ex),Česko,muži,6,2014,69.9625327997
Naděje dožití (ex),Česko,muži,6,2015,69.8862200093
Naděje dožití (ex),Česko,muži,6,2016,70.3434394296
Naděje dožití (ex),Česko,muži,6,2017,70.3052608958
Naděje dožití (ex),Česko,muži,6,2018,70.3462622892
Naděje dožití (ex),Česko,muži,6,2019,70.5996622933
Naděje dožití (ex),Česko,muži,6,2020,69.5548868247
Naděje dožití (ex),Česko,muži,6,2021,68.3303125529
Naděje dožití (ex),Česko,muži,6,2022,70.3652731721
Naděje dožití (ex),Česko,muži,6,2023,71.11239292
Naděje dožití (ex),Česko,muži,6,2024,71.3815098199
Naděje dožití (ex),Česko,muži,7,2001,65.4587379767
Naděje dožití (ex),Česko,muži,7,2002,65.5319804139
Naděje dožití (ex),Česko,muži,7,2003,65.4670724355
Naděje dožití (ex),Česko,muži,7,2004,65.9518203753
Naděje dožití (ex),Česko,muži,7,2005,66.2773541613
Naděje dožití (ex),Česko,muži,7,2006,66.8184933986
Naděje dožití (ex),Česko,muži,7,2007,67.0376607239
Naděje dožití (ex),Česko,muži,7,2008,67.3330225988
Naděje dožití (ex),Česko,muži,7,2009,67.467427717
Naděje dožití (ex),Česko,muži,7,2010,67.6837715503
Naděje dožití (ex),Česko,muži,7,2011,68.0034370371
Naděje dožití (ex),Česko,muži,7,2012,68.2412801841
Naděje dožití (ex),Česko,muži,7,2013,68.4320206548
Naděje dožití (ex),Česko,muži,7,2014,68.9683688274
Naděje dožití (ex),Česko,muži,7,2015,68.8921916732
Naděje dožití (ex),Česko,muži,7,2016,69.3496815549
Naděje dožití (ex),Česko,muži,7,2017,69.3146010019
Naděje dožití (ex),Česko,muži,7,2018,69.3521036313
Naděje dožití (ex),Česko,muži,7,2019,69.6076736066
Naděje dožití (ex),Česko,muži,7,2020,68.5597893827
Naděje dožití (ex),Česko,muži,7,2021,67.3368463798
Naděje dožití (ex),Česko,muži,7,2022,69.3700806055
Naděje dožití (ex),Česko,muži,7,2023,70.11720662
Naděje dožití (ex),Česko,muži,7,2024,70.3876649193
Naděje dožití (ex),Česko,muži,8,2001,64.4702478675
Naděje dožití (ex),Česko,muži,8,2002,64.5439569511
Naděje dožití (ex),Česko,muži,8,2003,64.4772691562
Naděje dožití (ex),Česko,muži,8,2004,64.9622113399
Naděje dožití (ex),Česko,muži,8,2005,65.2857899273
Naděje dožití (ex),Česko,muži,8,2006,65.8304663993
Naděje dožití (ex),Česko,muži,8,2007,66.0440096611
Naděje dožití (ex),Česko,muži,8,2008,66.3388232981
Naděje dožití (ex),Česko,muži,8,2009,66.4743335191
Naděje dožití (ex),Česko,muži,8,2010,66.6892694518
Naděje dožití (ex),Česko,muži,8,2011,67.0089255258
Naděje dožití (ex),Česko,muži,8,2012,67.2468125371
Naděje dožití (ex),Česko,muži,8,2013,67.4393732087
Naděje dožití (ex),Česko,muži,8,2014,67.9753606094
Naděje dožití (ex),Česko,muži,8,2015,67.898185996
Naděje dožití (ex),Česko,muži,8,2016,68.354885288
Naděje dožití (ex),Česko,muži,8,2017,68.3223840159
Naděje dožití (ex),Česko,muži,8,2018,68.3576839082
Naděje dožití (ex),Česko,muži,8,2019,68.6137552564
Naděje dožití (ex),Česko,muži,8,2020,67.5651380083
Naděje dožití (ex),Česko,muži,8,2021,66.3430679311
Naděje dožití (ex),Česko,muži,8,2022,68.3747270761
Naděje dožití (ex),Česko,muži,8,2023,69.1216241
Naděje dožití (ex),Česko,muži,8,2024,69.3932476665
Naděje dožití (ex),Česko,muži,9,2001,63.4805305068
Naděje dožití (ex),Česko,muži,9,2002,63.5539619089
Naděje dožití (ex),Česko,muži,9,2003,63.48733365
Naděje dožití (ex),Česko,muži,9,2004,63.9732088029
Naděje dožití (ex),Česko,muži,9,2005,64.2945135453
Naděje dožití (ex),Česko,muži,9,2006,64.8434851362
Naděje dožití (ex),Česko,muži,9,2007,65.0519187382
Naděje dožití (ex),Česko,muži,9,2008,65.3464078303
Naděje dožití (ex),Česko,muži,9,2009,65.4814988833
Naděje dožití (ex),Česko,muži,9,2010,65.6962047037
Naděje dožití (ex),Česko,muži,9,2011,66.0147037856
Naděje dožití (ex),Česko,muži,9,2012,66.2532104873
Naděje dožití (ex),Česko,muži,9,2013,66.4467811988
Naděje dožití (ex),Česko,muži,9,2014,66.983579703
Naděje dožití (ex),Česko,muži,9,2015,66.9041781629
Naděje dožití (ex),Česko,muži,9,2016,67.3593760603
Naděje dožití (ex),Česko,muži,9,2017,67.3282771287
Naděje dožití (ex),Česko,muži,9,2018,67.3631904353
Naděje dožití (ex),Česko,muži,9,2019,67.6186803248
Naděje dožití (ex),Česko,muži,9,2020,66.5712950252
Naděje dožití (ex),Česko,muži,9,2021,65.349220071
Naděje dožití (ex),Česko,muži,9,2022,67.3795250674
Naděje dožití (ex),Česko,muži,9,2023,68.12608525
Naděje dožití (ex),Česko,muži,9,2024,68.3984931762
Naděje dožití (ex),Česko,muži,10,2001,62.4899510076
Naděje dožití (ex),Česko,muži,10,2002,62.5626763685
Naděje dožití (ex),Česko,muži,10,2003,62.4974431891
Naděje dožití (ex),Česko,muži,10,2004,62.9841389583
Naděje dožití (ex),Česko,muži,10,2005,63.3035055915
Naděje dožití (ex),Česko,muži,10,2006,63.855932602
Naděje dožití (ex),Česko,muži,10,2007,64.0610469104
Naděje dožití (ex),Česko,muži,10,2008,64.3560495213
Naděje dožití (ex),Česko,muži,10,2009,64.4891963756
Naděje dožití (ex),Česko,muži,10,2010,64.7044118368
Naděje dožití (ex),Česko,muži,10,2011,65.0206812098
Naděje dožití (ex),Česko,muži,10,2012,65.2606649503
Naděje dožití (ex),Česko,muži,10,2013,65.4543204127
Naděje dožití (ex),Česko,muži,10,2014,65.9913542255
Naděje dožití (ex),Česko,muži,10,2015,65.9100917573
Naděje dožití (ex),Česko,muži,10,2016,66.3636847349
Naděje dožití (ex),Česko,muži,10,2017,66.3332332831
Naděje dožití (ex),Česko,muži,10,2018,66.3684280862
Naděje dožití (ex),Česko,muži,10,2019,66.6240800913
Naděje dožití (ex),Česko,muži,10,2020,65.577178338
Naděje dožití (ex),Česko,muži,10,2021,64.3554505831
Naděje dožití (ex),Česko,muži,10,2022,66.3845642535
Naděje dožití (ex),Česko,muži,10,2023,67.13080951
Naděje dožití (ex),Česko,muži,10,2024,67.4037083285
Naděje dožití (ex),Česko,muži,11,2001,61.4991145332
Naděje dožití (ex),Česko,muži,11,2002,61.5709349386
Naděje dožití (ex),Česko,muži,11,2003,61.5078037885
Naděje dožití (ex),Česko,muži,11,2004,61.9943086758
Naděje dožití (ex),Česko,muži,11,2005,62.3128353758
Naděje dožití (ex),Česko,muži,11,2006,62.8665012296
Naděje dožití (ex),Česko,muži,11,2007,63.0703063
Naděje dožití (ex),Česko,muži,11,2008,63.3670623661
Naděje dožití (ex),Česko,muži,11,2009,63.4977067804
Naděje dožití (ex),Česko,muži,11,2010,63.7130018135
Naděje dožití (ex),Česko,muži,11,2011,64.0265968013
Naděje dožití (ex),Česko,muži,11,2012,64.2691175139
Naděje dožití (ex),Česko,muži,11,2013,64.4620087398
Naděje dožití (ex),Česko,muži,11,2014,64.9974856067
Naděje dožití (ex),Česko,muži,11,2015,64.9158697859
Naděje dožití (ex),Česko,muži,11,2016,65.3682896924
Naděje dožití (ex),Česko,muži,11,2017,65.3381207534
Naděje dožití (ex),Česko,muži,11,2018,65.3732633268
Naděje dožití (ex),Česko,muži,11,2019,65.631617955
Naděje dožití (ex),Česko,muži,11,2020,64.5818965711
Naděje dožití (ex),Česko,muži,11,2021,63.3619045816
Naděje dožití (ex),Česko,muži,11,2022,65.3898973412
Naděje dožití (ex),Česko,muži,11,2023,66.13593765
Naděje dožití (ex),Česko,muži,11,2024,66.4092359244
Naděje dožití (ex),Česko,muži,12,2001,60.5086339042
Naděje dožití (ex),Česko,muži,12,2002,60.579522514
Naděje dožití (ex),Česko,muži,12,2003,60.5187970849
Naděje dožití (ex),Česko,muži,12,2004,61.003729191
