Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2016,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2017,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2018,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2019,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2020,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2021,102.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2022,118.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2023,119.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2024,119.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2016,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2017,102.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2018,105.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2019,112.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2020,114.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2021,118.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2022,147.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2023,167.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2024,165.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2015,100.0
