Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet přenocování;Rezidenti;27274315.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet přenocování;Nerezidenti;17636421.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Celkem;2.5930140347
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Rezidenti;2.700568406
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Nerezidenti;2.4425738097
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Celkem;9508269.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Rezidenti;5331364.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Nerezidenti;4176905.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Celkem;23604597.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Rezidenti;13354180.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Nerezidenti;10250417.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Celkem;2.4825335716
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Rezidenti;2.5048336598
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Nerezidenti;2.4540699393
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Celkem;3744295.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Rezidenti;2099258.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Nerezidenti;1645037.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Celkem;9804516.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Rezidenti;5607988.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Nerezidenti;4196528.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Celkem;2.6185212437
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Rezidenti;2.6714143759
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Nerezidenti;2.5510234724
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Průměrný počet přenocování ;Celkem;2.6049672974
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Průměrný počet přenocování ;Rezidenti;2.6868867731
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Průměrný počet přenocování ;Nerezidenti;2.4702000436
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet hostů;Celkem;15132593.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet hostů;Rezidenti;9787017.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet hostů;Nerezidenti;5345576.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet přenocování;Celkem;40346060.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet přenocování;Rezidenti;27141953.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Počet přenocování;Nerezidenti;13204107.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Průměrný počet přenocování ;Celkem;2.6661696379
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Průměrný počet přenocování ;Rezidenti;2.7732610457
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2022;Průměrný počet přenocování ;Nerezidenti;2.4700999481
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet hostů;Celkem;7843616.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet hostů;Rezidenti;5015041.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet hostů;Nerezidenti;2828575.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet přenocování;Celkem;19920363.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet přenocování;Rezidenti;12931064.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Počet přenocování;Nerezidenti;6989299.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Průměrný počet přenocování ;Celkem;2.5396912597
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Průměrný počet přenocování ;Rezidenti;2.5784562878
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2022;Průměrný počet přenocování ;Nerezidenti;2.470961173
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet hostů;Celkem;2795400.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet hostů;Rezidenti;1908446.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet hostů;Nerezidenti;886954.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet přenocování;Celkem;7867533.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet přenocování;Rezidenti;5528055.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Počet přenocování;Nerezidenti;2339478.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Průměrný počet přenocování ;Celkem;2.814456965
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Průměrný počet přenocování ;Rezidenti;2.8966263651
Česko;Hromadná ubytovací zařízení celkem;Q1 2022;Průměrný počet přenocování ;Nerezidenti;2.6376542639
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Počet přenocování;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Průměrný počet přenocování ;Celkem;2.8044062683
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Průměrný počet přenocování ;Rezidenti;2.8791798404
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2021;Průměrný počet přenocování ;Nerezidenti;2.5479324486
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet hostů;Celkem;8370138.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet hostů;Rezidenti;6832839.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet hostů;Nerezidenti;1537299.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet přenocování;Celkem;24204504.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet přenocování;Rezidenti;20355142.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Počet přenocování;Nerezidenti;3849362.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Průměrný počet přenocování ;Celkem;2.8917688095
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Průměrný počet přenocování ;Rezidenti;2.9790167747
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2021;Průměrný počet přenocování ;Nerezidenti;2.5039774305
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet hostů;Celkem;1808210.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet hostů;Rezidenti;1530135.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet hostů;Nerezidenti;278075.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet přenocování;Celkem;5194319.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet přenocování;Rezidenti;4480883.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Počet přenocování;Nerezidenti;713436.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Průměrný počet přenocování ;Celkem;2.8726303914
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Průměrný počet přenocování ;Rezidenti;2.9284233091
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2021;Průměrný počet přenocování ;Nerezidenti;2.5656243819
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet hostů;Celkem;279648.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet hostů;Rezidenti;224311.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet hostů;Nerezidenti;55337.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet přenocování;Celkem;1067483.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet přenocování;Rezidenti;899602.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Počet přenocování;Nerezidenti;167881.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Průměrný počet přenocování ;Celkem;3.8172380993
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Průměrný počet přenocování ;Rezidenti;4.0105121907
Česko;Hromadná ubytovací zařízení celkem;Q1 2021;Průměrný počet přenocování ;Nerezidenti;3.0337929414
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Počet přenocování;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Průměrný počet přenocování ;Celkem;2.896014043
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Průměrný počet přenocování ;Rezidenti;2.9798335228
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2020;Průměrný počet přenocování ;Nerezidenti;2.6535944285
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet hostů;Celkem;10173490.0
