Území;Ukazatel;Čtvrtletí;value
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2010;929255
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2010;1021945
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2010;1027152
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2010;1054600
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2011;951726
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2011;1033861
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2011;1037901
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2011;1071867
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2012;970384
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2012;1037136
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2012;1038149
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2012;1072717
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2013;961606
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2013;1041009
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2013;1059493
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2013;1106903
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2014;1005025
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2014;1096829
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2014;1125613
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2014;1150524
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2015;1072634
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2015;1169409
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2015;1191311
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2015;1218459
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2016;1122736
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2016;1225418
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2016;1230116
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2016;1264760
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2017;1182740
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2017;1302483
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2017;1323914
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2017;1370207
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2018;1262125
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2018;1374388
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2018;1391861
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2018;1447399
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2019;1353060
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2019;1474563
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2019;1509968
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2019;1551278
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2020;1386963
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2020;1378573
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2020;1500673
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2020;1562109
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2021;1417497
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2021;1583013
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2021;1625734
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2021;1681511
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2022;1598429
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2022;1764291
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2022;1814270
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2022;1872882
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2023;1773017
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2023;1929020
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2023;1932468
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2023;1984023
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2024;1845077
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2024;2021470
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2024;2050307
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2024;2093805
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 1995;322604
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 1995;362564
