Typ indexu;Ukazatel;Očištění;Území;CZ NACE;Roky;value
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2014;
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2015;
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2016;100.7894317822
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2017;104.0962453574
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2018;103.3299081151
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2019;101.4454764255
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2020;89.7226926458
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2021;105.4405178584
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2022;106.8854841012
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2023;97.580736157
Meziroční index;Index produkce služeb - stálé ceny (%);Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2024;101.9150000014
