Okresy,Pětileté období (okresy),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,42,Pravděpodobnost úmrtí (qx),0.0015155214
Praha,2020-2024,muži,42,Tabulkový počet dožívajících (lx),97898.0382630977
Praha,2020-2024,muži,42,Tabulkový počet zemřelých (dx),148.3665693005
Praha,2020-2024,muži,42,Tabulkový počet žijících (Lx),97823.8549784474
Praha,2020-2024,muži,42,Pomocný ukazatel (Tx),3619588.08235535
Praha,2020-2024,muži,42,Naděje dožití (ex),36.9730399768
Praha,2020-2024,muži,43,Počet zemřelých (Dx),101.0
Praha,2020-2024,muži,43,Počet obyvatel (Px),60798.0
Praha,2020-2024,muži,43,Míra úmrtnosti (mx),0.0016553273
Praha,2020-2024,muži,43,Pravděpodobnost úmrtí (qx),0.0016539584
Praha,2020-2024,muži,43,Tabulkový počet dožívajících (lx),97749.6716937971
Praha,2020-2024,muži,43,Tabulkový počet zemřelých (dx),161.6738876466
Praha,2020-2024,muži,43,Tabulkový počet žijících (Lx),97668.8347499738
Praha,2020-2024,muži,43,Pomocný ukazatel (Tx),3521764.22737691
Praha,2020-2024,muži,43,Naděje dožití (ex),36.028399547
Praha,2020-2024,muži,44,Počet zemřelých (Dx),107.0
Praha,2020-2024,muži,44,Počet obyvatel (Px),61688.0
Praha,2020-2024,muži,44,Míra úmrtnosti (mx),0.0018169697
Praha,2020-2024,muži,44,Pravděpodobnost úmrtí (qx),0.0018153205
Praha,2020-2024,muži,44,Tabulkový počet dožívajících (lx),97587.9978061506
Praha,2020-2024,muži,44,Tabulkový počet zemřelých (dx),177.1534929466
Praha,2020-2024,muži,44,Tabulkový počet žijících (Lx),97499.4210596772
Praha,2020-2024,muži,44,Pomocný ukazatel (Tx),3424095.39262693
Praha,2020-2024,muži,44,Naděje dožití (ex),35.0872593926
Praha,2020-2024,muži,45,Počet zemřelých (Dx),140.0
Praha,2020-2024,muži,45,Počet obyvatel (Px),61739.0
Praha,2020-2024,muži,45,Míra úmrtnosti (mx),0.0020025454
Praha,2020-2024,muži,45,Pravděpodobnost úmrtí (qx),0.0020005424
Praha,2020-2024,muži,45,Tabulkový počet dožívajících (lx),97410.8443132039
Praha,2020-2024,muži,45,Tabulkový počet zemřelých (dx),194.8745194897
Praha,2020-2024,muži,45,Tabulkový počet žijících (Lx),97313.4070534591
Praha,2020-2024,muži,45,Pomocný ukazatel (Tx),3326595.97156726
Praha,2020-2024,muži,45,Naděje dožití (ex),34.1501605393
Praha,2020-2024,muži,46,Počet zemřelých (Dx),115.0
Praha,2020-2024,muži,46,Počet obyvatel (Px),60673.0
Praha,2020-2024,muži,46,Míra úmrtnosti (mx),0.0022125936
Praha,2020-2024,muži,46,Pravděpodobnost úmrtí (qx),0.0022101485
Praha,2020-2024,muži,46,Tabulkový počet dožívajících (lx),97215.9697937142
Praha,2020-2024,muži,46,Tabulkový počet zemřelých (dx),214.8617321468
Praha,2020-2024,muži,46,Tabulkový počet žijících (Lx),97108.5389276408
Praha,2020-2024,muži,46,Pomocný ukazatel (Tx),3229282.5645138
Praha,2020-2024,muži,46,Naděje dožití (ex),33.2176140542
Praha,2020-2024,muži,47,Počet zemřelých (Dx),149.0
Praha,2020-2024,muži,47,Počet obyvatel (Px),58602.0
Praha,2020-2024,muži,47,Míra úmrtnosti (mx),0.0024487462
Praha,2020-2024,muži,47,Pravděpodobnost úmrtí (qx),0.0024457517
Praha,2020-2024,muži,47,Tabulkový počet dožívajících (lx),97001.1080615674
Praha,2020-2024,muži,47,Tabulkový počet zemřelých (dx),237.2406257855
Praha,2020-2024,muži,47,Tabulkový počet žijících (Lx),96882.4877486747
Praha,2020-2024,muži,47,Pomocný ukazatel (Tx),3132174.02558616
Praha,2020-2024,muži,47,Naděje dožití (ex),32.2900850122
Praha,2020-2024,muži,48,Počet zemřelých (Dx),158.0
Praha,2020-2024,muži,48,Počet obyvatel (Px),55757.0
Praha,2020-2024,muži,48,Míra úmrtnosti (mx),0.0027138834
Praha,2020-2024,muži,48,Pravděpodobnost úmrtí (qx),0.0027102058
Praha,2020-2024,muži,48,Tabulkový počet dožívajících (lx),96763.867435782
Praha,2020-2024,muži,48,Tabulkový počet zemřelých (dx),262.2499985136
Praha,2020-2024,muži,48,Tabulkový počet žijících (Lx),96632.7424365252
Praha,2020-2024,muži,48,Pomocný ukazatel (Tx),3035291.53783748
Praha,2020-2024,muži,48,Naděje dožití (ex),31.368026292
Praha,2020-2024,muži,49,Počet zemřelých (Dx),163.0
Praha,2020-2024,muži,49,Počet obyvatel (Px),52357.0
Praha,2020-2024,muži,49,Míra úmrtnosti (mx),0.0030120948
Praha,2020-2024,muži,49,Pravděpodobnost úmrtí (qx),0.0030075652
Praha,2020-2024,muži,49,Tabulkový počet dožívajících (lx),96501.6174372684
Praha,2020-2024,muži,49,Tabulkový počet zemřelých (dx),290.2349108306
Praha,2020-2024,muži,49,Tabulkový počet žijících (Lx),96356.499981853
Praha,2020-2024,muži,49,Pomocný ukazatel (Tx),2938658.79540096
Praha,2020-2024,muži,49,Naděje dožití (ex),30.4519123455
Praha,2020-2024,muži,50,Počet zemřelých (Dx),158.0
Praha,2020-2024,muži,50,Počet obyvatel (Px),48702.0
Praha,2020-2024,muži,50,Míra úmrtnosti (mx),0.0033568281
Praha,2020-2024,muži,50,Pravděpodobnost úmrtí (qx),0.0033512034
Praha,2020-2024,muži,50,Tabulkový počet dožívajících (lx),96211.3825264377
Praha,2020-2024,muži,50,Tabulkový počet zemřelých (dx),322.423912968
Praha,2020-2024,muži,50,Tabulkový počet žijících (Lx),96050.1705699537
Praha,2020-2024,muži,50,Pomocný ukazatel (Tx),2842302.2954191
Praha,2020-2024,muži,50,Naděje dožití (ex),29.5422664219
Praha,2020-2024,muži,51,Počet zemřelých (Dx),152.0
Praha,2020-2024,muži,51,Počet obyvatel (Px),45094.0
Praha,2020-2024,muži,51,Míra úmrtnosti (mx),0.0037712262
Praha,2020-2024,muži,51,Pravděpodobnost úmrtí (qx),0.0037641285
Praha,2020-2024,muži,51,Tabulkový počet dožívajících (lx),95888.9586134698
Praha,2020-2024,muži,51,Tabulkový počet zemřelých (dx),360.9383665244
Praha,2020-2024,muži,51,Tabulkový počet žijících (Lx),95708.4894302076
Praha,2020-2024,muži,51,Pomocný ukazatel (Tx),2746252.12484915
Praha,2020-2024,muži,51,Naděje dožití (ex),28.6399202219
Praha,2020-2024,muži,52,Počet zemřelých (Dx),189.0
Praha,2020-2024,muži,52,Počet obyvatel (Px),42395.0
Praha,2020-2024,muži,52,Míra úmrtnosti (mx),0.0042788965
Praha,2020-2024,muži,52,Pravděpodobnost úmrtí (qx),0.0042697615
Praha,2020-2024,muži,52,Tabulkový počet dožívajících (lx),95528.0202469454
Praha,2020-2024,muži,52,Tabulkový počet zemřelých (dx),407.8818671118
Praha,2020-2024,muži,52,Tabulkový počet žijících (Lx),95324.0793133895
Praha,2020-2024,muži,52,Pomocný ukazatel (Tx),2650543.63541894
Praha,2020-2024,muži,52,Naděje dožití (ex),27.7462427104
Praha,2020-2024,muži,53,Počet zemřelých (Dx),197.0
Praha,2020-2024,muži,53,Počet obyvatel (Px),40419.0
Praha,2020-2024,muži,53,Míra úmrtnosti (mx),0.0048603365
Praha,2020-2024,muži,53,Pravděpodobnost úmrtí (qx),0.0048485537
Praha,2020-2024,muži,53,Tabulkový počet dožívajících (lx),95120.1383798336
Praha,2020-2024,muži,53,Tabulkový počet zemřelých (dx),461.19509538
Praha,2020-2024,muži,53,Tabulkový počet žijících (Lx),94889.5408321437
Praha,2020-2024,muži,53,Pomocný ukazatel (Tx),2555219.55610555
Praha,2020-2024,muži,53,Naděje dožití (ex),26.8630765223
Praha,2020-2024,muži,54,Počet zemřelých (Dx),225.0
Praha,2020-2024,muži,54,Počet obyvatel (Px),39003.0
Praha,2020-2024,muži,54,Míra úmrtnosti (mx),0.0054603473
Praha,2020-2024,muži,54,Pravděpodobnost úmrtí (qx),0.0054454802
Praha,2020-2024,muži,54,Tabulkový počet dožívajících (lx),94658.9432844537
Praha,2020-2024,muži,54,Tabulkový počet zemřelých (dx),515.4634013
Praha,2020-2024,muži,54,Tabulkový počet žijících (Lx),94401.2115838037
Praha,2020-2024,muži,54,Pomocný ukazatel (Tx),2460330.01527341
Praha,2020-2024,muži,54,Naděje dožití (ex),25.9915220887
Praha,2020-2024,muži,55,Počet zemřelých (Dx),229.0
Praha,2020-2024,muži,55,Počet obyvatel (Px),38682.0
Praha,2020-2024,muži,55,Míra úmrtnosti (mx),0.0060194086
Praha,2020-2024,muži,55,Pravděpodobnost úmrtí (qx),0.0060013464
Praha,2020-2024,muži,55,Tabulkový počet dožívajících (lx),94143.4798831536
Praha,2020-2024,muži,55,Tabulkový počet zemřelých (dx),564.9876298934
Praha,2020-2024,muži,55,Tabulkový počet žijících (Lx),93860.9860682069
Praha,2020-2024,muži,55,Pomocný ukazatel (Tx),2365928.80368961
Praha,2020-2024,muži,55,Naděje dožití (ex),25.1310957129
Praha,2020-2024,muži,56,Počet zemřelých (Dx),262.0
Praha,2020-2024,muži,56,Počet obyvatel (Px),38676.0
Praha,2020-2024,muži,56,Míra úmrtnosti (mx),0.0065465691
Praha,2020-2024,muži,56,Pravděpodobnost úmrtí (qx),0.0065252102
Praha,2020-2024,muži,56,Tabulkový počet dožívajících (lx),93578.4922532602
Praha,2020-2024,muži,56,Tabulkový počet zemřelých (dx),610.6193322528
Praha,2020-2024,muži,56,Tabulkový počet žijících (Lx),93273.1825871338
Praha,2020-2024,muži,56,Pomocný ukazatel (Tx),2272067.8176214
Praha,2020-2024,muži,56,Naděje dožití (ex),24.2798079229
Praha,2020-2024,muži,57,Počet zemřelých (Dx),264.0
Praha,2020-2024,muži,57,Počet obyvatel (Px),38139.0
Praha,2020-2024,muži,57,Míra úmrtnosti (mx),0.0070808661
Praha,2020-2024,muži,57,Pravděpodobnost úmrtí (qx),0.0070558852
Praha,2020-2024,muži,57,Tabulkový počet dožívajících (lx),92967.8729210074
Praha,2020-2024,muži,57,Tabulkový počet zemřelých (dx),655.9706356322
Praha,2020-2024,muži,57,Tabulkový počet žijících (Lx),92639.8876031914
Praha,2020-2024,muži,57,Pomocný ukazatel (Tx),2178794.63503426
Praha,2020-2024,muži,57,Naděje dožití (ex),23.4359953237
Praha,2020-2024,muži,58,Počet zemřelých (Dx),275.0
Praha,2020-2024,muži,58,Počet obyvatel (Px),36952.0
Praha,2020-2024,muži,58,Míra úmrtnosti (mx),0.007669602
Praha,2020-2024,muži,58,Pravděpodobnost úmrtí (qx),0.007640303
Praha,2020-2024,muži,58,Tabulkový počet dožívajících (lx),92311.9022853753
Praha,2020-2024,muži,58,Tabulkový počet zemřelých (dx),705.2909031266
Praha,2020-2024,muži,58,Tabulkový počet žijících (Lx),91959.256833812
Praha,2020-2024,muži,58,Pomocný ukazatel (Tx),2086154.74743107
Praha,2020-2024,muži,58,Naděje dožití (ex),22.5989790675
Praha,2020-2024,muži,59,Počet zemřelých (Dx),305.0
Praha,2020-2024,muži,59,Počet obyvatel (Px),35490.0
Praha,2020-2024,muži,59,Míra úmrtnosti (mx),0.0083577892
Praha,2020-2024,muži,59,Pravděpodobnost úmrtí (qx),0.0083230082
Praha,2020-2024,muži,59,Tabulkový počet dožívajících (lx),91606.6113822487
Praha,2020-2024,muži,59,Tabulkový počet zemřelých (dx),762.4425806474
Praha,2020-2024,muži,59,Tabulkový počet žijících (Lx),91225.390091925
Praha,2020-2024,muži,59,Pomocný ukazatel (Tx),1994195.49059726
Praha,2020-2024,muži,59,Naděje dožití (ex),21.7691219062
Praha,2020-2024,muži,60,Počet zemřelých (Dx),307.0
Praha,2020-2024,muži,60,Počet obyvatel (Px),33696.0
Praha,2020-2024,muži,60,Míra úmrtnosti (mx),0.00920215
Praha,2020-2024,muži,60,Pravděpodobnost úmrtí (qx),0.0091600042
Praha,2020-2024,muži,60,Tabulkový počet dožívajících (lx),90844.1688016012
Praha,2020-2024,muži,60,Tabulkový počet zemřelých (dx),832.1329634895
Praha,2020-2024,muži,60,Tabulkový počet žijících (Lx),90428.1023198565
Praha,2020-2024,muži,60,Pomocný ukazatel (Tx),1902970.10050534
Praha,2020-2024,muži,60,Naděje dožití (ex),20.9476307132
Praha,2020-2024,muži,61,Počet zemřelých (Dx),294.0
Praha,2020-2024,muži,61,Počet obyvatel (Px),31694.0
Praha,2020-2024,muži,61,Míra úmrtnosti (mx),0.0102298424
Praha,2020-2024,muži,61,Pravděpodobnost úmrtí (qx),0.0101777838
Praha,2020-2024,muži,61,Tabulkový počet dožívajících (lx),90012.0358381118
Praha,2020-2024,muži,61,Tabulkový počet zemřelých (dx),916.1230395173
Praha,2020-2024,muži,61,Tabulkový počet žijících (Lx),89553.9743183531
Praha,2020-2024,muži,61,Pomocný ukazatel (Tx),1812541.99818548
Praha,2020-2024,muži,61,Naděje dožití (ex),20.1366626286
Praha,2020-2024,muži,62,Počet zemřelých (Dx),376.0
Praha,2020-2024,muži,62,Počet obyvatel (Px),30492.0
Praha,2020-2024,muži,62,Míra úmrtnosti (mx),0.0113993852
Praha,2020-2024,muži,62,Pravděpodobnost úmrtí (qx),0.0113347805
Praha,2020-2024,muži,62,Tabulkový počet dožívajících (lx),89095.9127985945
Praha,2020-2024,muži,62,Tabulkový počet zemřelých (dx),1009.8826118354
Praha,2020-2024,muži,62,Tabulkový počet žijících (Lx),88590.9714926768
Praha,2020-2024,muži,62,Pomocný ukazatel (Tx),1722988.02386713
Praha,2020-2024,muži,62,Naděje dožití (ex),19.3385753594
Praha,2020-2024,muži,63,Počet zemřelých (Dx),405.0
Praha,2020-2024,muži,63,Počet obyvatel (Px),30182.0
Praha,2020-2024,muži,63,Míra úmrtnosti (mx),0.0126396413
Praha,2020-2024,muži,63,Pravděpodobnost úmrtí (qx),0.0125602627
Praha,2020-2024,muži,63,Tabulkový počet dožívajících (lx),88086.0301867591
Praha,2020-2024,muži,63,Tabulkový počet zemřelých (dx),1106.3836813206
Praha,2020-2024,muži,63,Tabulkový počet žijících (Lx),87532.8383460988
Praha,2020-2024,muži,63,Pomocný ukazatel (Tx),1634397.05237445
Praha,2020-2024,muži,63,Naděje dožití (ex),18.5545545521
Praha,2020-2024,muži,64,Počet zemřelých (Dx),406.0
Praha,2020-2024,muži,64,Počet obyvatel (Px),30395.0
Praha,2020-2024,muži,64,Míra úmrtnosti (mx),0.0139347093
Praha,2020-2024,muži,64,Pravděpodobnost úmrtí (qx),0.013838293
Praha,2020-2024,muži,64,Tabulkový počet dožívajících (lx),86979.6465054385
Praha,2020-2024,muži,64,Tabulkový počet zemřelých (dx),1203.6498345776
Praha,2020-2024,muži,64,Tabulkový počet žijících (Lx),86377.8215881496
Praha,2020-2024,muži,64,Pomocný ukazatel (Tx),1546864.21402835
Praha,2020-2024,muži,64,Naděje dožití (ex),17.784209021
Praha,2020-2024,muži,65,Počet zemřelých (Dx),462.0
Praha,2020-2024,muži,65,Počet obyvatel (Px),30933.0
Praha,2020-2024,muži,65,Míra úmrtnosti (mx),0.0153520364
Praha,2020-2024,muži,65,Pravděpodobnost úmrtí (qx),0.0152350916
Praha,2020-2024,muži,65,Tabulkový počet dožívajících (lx),85775.9966708608
Praha,2020-2024,muži,65,Tabulkový počet zemřelých (dx),1306.8051670247
Praha,2020-2024,muži,65,Tabulkový počet žijících (Lx),85122.5940873485
Praha,2020-2024,muži,65,Pomocný ukazatel (Tx),1460486.3924402
Praha,2020-2024,muži,65,Naděje dožití (ex),17.0267493136
Praha,2020-2024,muži,66,Počet zemřelých (Dx),530.0
Praha,2020-2024,muži,66,Počet obyvatel (Px),31545.0
Praha,2020-2024,muži,66,Míra úmrtnosti (mx),0.0169838038
Praha,2020-2024,muži,66,Pravděpodobnost úmrtí (qx),0.0168407934
Praha,2020-2024,muži,66,Tabulkový počet dožívajících (lx),84469.1915038361
Praha,2020-2024,muži,66,Tabulkový počet zemřelých (dx),1422.5282052209
Praha,2020-2024,muži,66,Tabulkový počet žijících (Lx),83757.9274012257
Praha,2020-2024,muži,66,Pomocný ukazatel (Tx),1375363.79835285
Praha,2020-2024,muži,66,Naděje dožití (ex),16.2824311902
Praha,2020-2024,muži,67,Počet zemřelých (Dx),629.0
Praha,2020-2024,muži,67,Počet obyvatel (Px),31861.0
Praha,2020-2024,muži,67,Míra úmrtnosti (mx),0.0188759843
Praha,2020-2024,muži,67,Pravděpodobnost úmrtí (qx),0.0186994986
Praha,2020-2024,muži,67,Tabulkový počet dožívajících (lx),83046.6632986153
Praha,2020-2024,muži,67,Tabulkový počet zemřelých (dx),1552.9309660054
Praha,2020-2024,muži,67,Tabulkový počet žijících (Lx),82270.1978156126
Praha,2020-2024,muži,67,Pomocný ukazatel (Tx),1291605.87095163
Praha,2020-2024,muži,67,Naděje dožití (ex),15.5527726178
Praha,2020-2024,muži,68,Počet zemřelých (Dx),645.0
Praha,2020-2024,muži,68,Počet obyvatel (Px),31957.0
Praha,2020-2024,muži,68,Míra úmrtnosti (mx),0.0210325317
Praha,2020-2024,muži,68,Pravděpodobnost úmrtí (qx),0.0208136498
Praha,2020-2024,muži,68,Tabulkový počet dožívajících (lx),81493.7323326099
Praha,2020-2024,muži,68,Tabulkový počet zemřelých (dx),1696.182008606
Praha,2020-2024,muži,68,Tabulkový počet žijících (Lx),80645.6413283069
Praha,2020-2024,muži,68,Pomocný ukazatel (Tx),1209335.67313601
Praha,2020-2024,muži,68,Naděje dožití (ex),14.8396157412
Praha,2020-2024,muži,69,Počet zemřelých (Dx),763.0
Praha,2020-2024,muži,69,Počet obyvatel (Px),31674.0
Praha,2020-2024,muži,69,Míra úmrtnosti (mx),0.023448168
Praha,2020-2024,muži,69,Pravděpodobnost úmrtí (qx),0.0231764454
Praha,2020-2024,muži,69,Tabulkový počet dožívajících (lx),79797.5503240039
Praha,2020-2024,muži,69,Tabulkový počet zemřelých (dx),1849.4235698518
Praha,2020-2024,muži,69,Tabulkový počet žijících (Lx),78872.838539078
Praha,2020-2024,muži,69,Pomocný ukazatel (Tx),1128690.03180771
Praha,2020-2024,muži,69,Naděje dožití (ex),14.1444195621
Praha,2020-2024,muži,70,Počet zemřelých (Dx),787.0
Praha,2020-2024,muži,70,Počet obyvatel (Px),30817.0
Praha,2020-2024,muži,70,Míra úmrtnosti (mx),0.0261177441
Praha,2020-2024,muži,70,Pravděpodobnost úmrtí (qx),0.0257810724
Praha,2020-2024,muži,70,Tabulkový počet dožívajících (lx),77948.126754152
Praha,2020-2024,muži,70,Tabulkový počet zemřelých (dx),2009.5862978172
Praha,2020-2024,muži,70,Tabulkový počet žijících (Lx),76943.3336052434
Praha,2020-2024,muži,70,Pomocný ukazatel (Tx),1049817.19326863
Praha,2020-2024,muži,70,Naděje dožití (ex),13.4681516668
Praha,2020-2024,muži,71,Počet zemřelých (Dx),883.0
Praha,2020-2024,muži,71,Počet obyvatel (Px),29890.0
Praha,2020-2024,muži,71,Míra úmrtnosti (mx),0.0290294286
Praha,2020-2024,muži,71,Pravděpodobnost úmrtí (qx),0.0286141031
Praha,2020-2024,muži,71,Tabulkový počet dožívajících (lx),75938.5404563348
Praha,2020-2024,muži,71,Tabulkový počet zemřelých (dx),2172.9132249677
Praha,2020-2024,muži,71,Tabulkový počet žijících (Lx),74852.083843851
Praha,2020-2024,muži,71,Pomocný ukazatel (Tx),972873.859663386
Praha,2020-2024,muži,71,Naděje dožití (ex),12.8113320827
Praha,2020-2024,muži,72,Počet zemřelých (Dx),934.0
Praha,2020-2024,muži,72,Počet obyvatel (Px),29221.0
Praha,2020-2024,muži,72,Míra úmrtnosti (mx),0.0321633311
Praha,2020-2024,muži,72,Pravděpodobnost úmrtí (qx),0.0316542776
Praha,2020-2024,muži,72,Tabulkový počet dožívajících (lx),73765.6272313671
Praha,2020-2024,muži,72,Tabulkový počet zemřelých (dx),2334.9976394121
Praha,2020-2024,muži,72,Tabulkový počet žijících (Lx),72598.128411661
Praha,2020-2024,muži,72,Pomocný ukazatel (Tx),898021.775819535
Praha,2020-2024,muži,72,Naděje dožití (ex),12.173986849
Praha,2020-2024,muži,73,Počet zemřelých (Dx),1006.0
Praha,2020-2024,muži,73,Počet obyvatel (Px),28766.0
Praha,2020-2024,muži,73,Míra úmrtnosti (mx),0.0355090061
Praha,2020-2024,muži,73,Pravděpodobnost úmrtí (qx),0.0348895593
Praha,2020-2024,muži,73,Tabulkový počet dožívajících (lx),71430.629591955
Praha,2020-2024,muži,73,Tabulkový počet zemřelých (dx),2492.1831894928
Praha,2020-2024,muži,73,Tabulkový počet žijících (Lx),70184.5379972086
Praha,2020-2024,muži,73,Pomocný ukazatel (Tx),825423.647407874
Praha,2020-2024,muži,73,Naděje dožití (ex),11.5555980974
Praha,2020-2024,muži,74,Počet zemřelých (Dx),1128.0
Praha,2020-2024,muži,74,Počet obyvatel (Px),27959.0
Praha,2020-2024,muži,74,Míra úmrtnosti (mx),0.039054994
Praha,2020-2024,muži,74,Pravděpodobnost úmrtí (qx),0.038306955
Praha,2020-2024,muži,74,Tabulkový počet dožívajících (lx),68938.4464024621
Praha,2020-2024,muži,74,Tabulkový počet zemřelých (dx),2640.8219667578
Praha,2020-2024,muži,74,Tabulkový počet žijících (Lx),67618.0354190832
Praha,2020-2024,muži,74,Pomocný ukazatel (Tx),755239.109410666
Praha,2020-2024,muži,74,Naděje dožití (ex),10.9552673265
Praha,2020-2024,muži,75,Počet zemřelých (Dx),1156.0
Praha,2020-2024,muži,75,Počet obyvatel (Px),26854.0
Praha,2020-2024,muži,75,Míra úmrtnosti (mx),0.0427040183
Praha,2020-2024,muži,75,Pravděpodobnost úmrtí (qx),0.0418112638
Praha,2020-2024,muži,75,Tabulkový počet dožívajících (lx),66297.6244357043
Praha,2020-2024,muži,75,Tabulkový počet zemřelých (dx),2771.9874655753
Praha,2020-2024,muži,75,Tabulkový počet žijících (Lx),64911.6307029167
Praha,2020-2024,muži,75,Pomocný ukazatel (Tx),687621.073991582
Praha,2020-2024,muži,75,Naděje dožití (ex),10.3717302067
Praha,2020-2024,muži,76,Počet zemřelých (Dx),1151.0
Praha,2020-2024,muži,76,Počet obyvatel (Px),25753.0
Praha,2020-2024,muži,76,Míra úmrtnosti (mx),0.0466912368
Praha,2020-2024,muži,76,Pravděpodobnost úmrtí (qx),0.045626068
Praha,2020-2024,muži,76,Tabulkový počet dožívajících (lx),63525.6369701291
Praha,2020-2024,muži,76,Tabulkový počet zemřelých (dx),2898.4250337801
Praha,2020-2024,muži,76,Tabulkový počet žijících (Lx),62076.424453239
Praha,2020-2024,muži,76,Pomocný ukazatel (Tx),622709.443288666
Praha,2020-2024,muži,76,Naděje dožití (ex),9.8024903486
Praha,2020-2024,muži,77,Počet zemřelých (Dx),1240.0
Praha,2020-2024,muži,77,Počet obyvatel (Px),23707.0
Praha,2020-2024,muži,77,Míra úmrtnosti (mx),0.0512001424
Praha,2020-2024,muži,77,Pravděpodobnost úmrtí (qx),0.0499221323
Praha,2020-2024,muži,77,Tabulkový počet dožívajících (lx),60627.2119363489
Praha,2020-2024,muži,77,Tabulkový počet zemřelých (dx),3026.6396951249
Praha,2020-2024,muži,77,Tabulkový počet žijících (Lx),59113.8920887865
Praha,2020-2024,muži,77,Pomocný ukazatel (Tx),560633.018835427
Praha,2020-2024,muži,77,Naděje dožití (ex),9.2472175601
Praha,2020-2024,muži,78,Počet zemřelých (Dx),1201.0
Praha,2020-2024,muži,78,Počet obyvatel (Px),20921.0
Praha,2020-2024,muži,78,Míra úmrtnosti (mx),0.0563384709
Praha,2020-2024,muži,78,Pravděpodobnost úmrtí (qx),0.0547949394
Praha,2020-2024,muži,78,Tabulkový počet dožívajících (lx),57600.572241224
Praha,2020-2024,muži,78,Tabulkový počet zemřelých (dx),3156.2198641108
Praha,2020-2024,muži,78,Tabulkový počet žijících (Lx),56022.4623091686
Praha,2020-2024,muži,78,Pomocný ukazatel (Tx),501519.12674664
Praha,2020-2024,muži,78,Naděje dožití (ex),8.7068427835
Praha,2020-2024,muži,79,Počet zemřelých (Dx),1139.0
Praha,2020-2024,muži,79,Počet obyvatel (Px),18407.0
Praha,2020-2024,muži,79,Míra úmrtnosti (mx),0.0621144149
Praha,2020-2024,muži,79,Pravděpodobnost úmrtí (qx),0.0602434224
Praha,2020-2024,muži,79,Tabulkový počet dožívajících (lx),54444.3523771132
Praha,2020-2024,muži,79,Tabulkový počet zemřelých (dx),3279.9141199869
Praha,2020-2024,muži,79,Tabulkový počet žijících (Lx),52804.3953171198
Praha,2020-2024,muži,79,Pomocný ukazatel (Tx),445496.664437472
Praha,2020-2024,muži,79,Naděje dožití (ex),8.1826056328
Praha,2020-2024,muži,80,Počet zemřelých (Dx),1108.0
Praha,2020-2024,muži,80,Počet obyvatel (Px),16055.0
Praha,2020-2024,muži,80,Míra úmrtnosti (mx),0.0685810207
Praha,2020-2024,muži,80,Pravděpodobnost úmrtí (qx),0.0663073093
Praha,2020-2024,muži,80,Tabulkový počet dožívajících (lx),51164.4382571264
Praha,2020-2024,muži,80,Tabulkový počet zemřelých (dx),3392.5762311389
Praha,2020-2024,muži,80,Tabulkový počet žijících (Lx),49468.1501415569
Praha,2020-2024,muži,80,Pomocný ukazatel (Tx),392692.269120352
Praha,2020-2024,muži,80,Naděje dožití (ex),7.6751017405
Praha,2020-2024,muži,81,Počet zemřelých (Dx),1015.0
Praha,2020-2024,muži,81,Počet obyvatel (Px),13563.0
Praha,2020-2024,muži,81,Míra úmrtnosti (mx),0.0759650614
Praha,2020-2024,muži,81,Pravděpodobnost úmrtí (qx),0.0731852985
Praha,2020-2024,muži,81,Tabulkový počet dožívajících (lx),47771.8620259875
Praha,2020-2024,muži,81,Tabulkový počet zemřelých (dx),3496.1979835975
Praha,2020-2024,muži,81,Tabulkový počet žijících (Lx),46023.7630341887
Praha,2020-2024,muži,81,Pomocný ukazatel (Tx),343224.118978795
Praha,2020-2024,muži,81,Naděje dožití (ex),7.1846502192
Praha,2020-2024,muži,82,Počet zemřelých (Dx),927.0
Praha,2020-2024,muži,82,Počet obyvatel (Px),11526.0
Praha,2020-2024,muži,82,Míra úmrtnosti (mx),0.0845759142
Praha,2020-2024,muži,82,Pravděpodobnost úmrtí (qx),0.0811444799
Praha,2020-2024,muži,82,Tabulkový počet dožívajících (lx),44275.66404239
Praha,2020-2024,muži,82,Tabulkový počet zemřelých (dx),3592.7257324752
Praha,2020-2024,muži,82,Tabulkový počet žijících (Lx),42479.3011761523
Praha,2020-2024,muži,82,Pomocný ukazatel (Tx),297200.355944606
Praha,2020-2024,muži,82,Naděje dožití (ex),6.7124991205
Praha,2020-2024,muži,83,Počet zemřelých (Dx),915.0
Praha,2020-2024,muži,83,Počet obyvatel (Px),9875.0
Praha,2020-2024,muži,83,Míra úmrtnosti (mx),0.0945890186
Praha,2020-2024,muži,83,Pravděpodobnost úmrtí (qx),0.0903174969
Praha,2020-2024,muži,83,Tabulkový počet dožívajících (lx),40682.9383099147
Praha,2020-2024,muži,83,Tabulkový počet zemřelých (dx),3674.3811545016
Praha,2020-2024,muži,83,Tabulkový počet žijících (Lx),38845.7477326639
Praha,2020-2024,muži,83,Pomocný ukazatel (Tx),254721.054768454
Praha,2020-2024,muži,83,Naděje dožití (ex),6.2611272772
Praha,2020-2024,muži,84,Počet zemřelých (Dx),831.0
Praha,2020-2024,muži,84,Počet obyvatel (Px),8474.0
Praha,2020-2024,muži,84,Míra úmrtnosti (mx),0.1059608447
Praha,2020-2024,muži,84,Pravděpodobnost úmrtí (qx),0.1006294537
Praha,2020-2024,muži,84,Tabulkový počet dožívajících (lx),37008.5571554131
Praha,2020-2024,muži,84,Tabulkový počet zemřelých (dx),3724.1508901105
