ČR, kraje;Ekonomické subjekty ;Ukazatel;Čtvrtletí;value
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;4. čtvrtletí 2024;27181
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;3. čtvrtletí 2024;27168
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;2. čtvrtletí 2024;27175
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;1. čtvrtletí 2024;27187
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;4. čtvrtletí 2023;27170
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;3. čtvrtletí 2023;27152
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;2. čtvrtletí 2023;27181
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;1. čtvrtletí 2023;27191
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;4. čtvrtletí 2022;27167
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;3. čtvrtletí 2022;27088
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;2. čtvrtletí 2022;27054
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;1. čtvrtletí 2022;27012
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;4. čtvrtletí 2021;26974
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;3. čtvrtletí 2021;26918
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;2. čtvrtletí 2021;26900
Česko;Počet ekonomických subjektů v registru;Akciové společnosti;1. čtvrtletí 2021;26790
Česko;Počet ekonomických subjektů v registru;Družstva;1. čtvrtletí 2025;11899
Česko;Počet ekonomických subjektů v registru;Družstva;4. čtvrtletí 2024;11985
Česko;Počet ekonomických subjektů v registru;Družstva;3. čtvrtletí 2024;12056
Česko;Počet ekonomických subjektů v registru;Družstva;2. čtvrtletí 2024;12139
Česko;Počet ekonomických subjektů v registru;Družstva;1. čtvrtletí 2024;12212
Česko;Počet ekonomických subjektů v registru;Družstva;4. čtvrtletí 2023;12284
Česko;Počet ekonomických subjektů v registru;Družstva;3. čtvrtletí 2023;12371
Česko;Počet ekonomických subjektů v registru;Družstva;2. čtvrtletí 2023;12467
Česko;Počet ekonomických subjektů v registru;Družstva;1. čtvrtletí 2023;12546
Česko;Počet ekonomických subjektů v registru;Družstva;4. čtvrtletí 2022;12628
Česko;Počet ekonomických subjektů v registru;Družstva;3. čtvrtletí 2022;12722
Česko;Počet ekonomických subjektů v registru;Družstva;2. čtvrtletí 2022;12782
Česko;Počet ekonomických subjektů v registru;Družstva;1. čtvrtletí 2022;12858
Česko;Počet ekonomických subjektů v registru;Družstva;4. čtvrtletí 2021;12917
Česko;Počet ekonomických subjektů v registru;Družstva;3. čtvrtletí 2021;13005
Česko;Počet ekonomických subjektů v registru;Družstva;2. čtvrtletí 2021;13073
Česko;Počet ekonomických subjektů v registru;Družstva;1. čtvrtletí 2021;13107
Česko;Počet ekonomických subjektů v registru;Státní podniky;1. čtvrtletí 2025;89
Česko;Počet ekonomických subjektů v registru;Státní podniky;4. čtvrtletí 2024;92
Česko;Počet ekonomických subjektů v registru;Státní podniky;3. čtvrtletí 2024;94
Česko;Počet ekonomických subjektů v registru;Státní podniky;2. čtvrtletí 2024;97
Česko;Počet ekonomických subjektů v registru;Státní podniky;1. čtvrtletí 2024;102
Česko;Počet ekonomických subjektů v registru;Státní podniky;4. čtvrtletí 2023;105
Česko;Počet ekonomických subjektů v registru;Státní podniky;3. čtvrtletí 2023;109
Česko;Počet ekonomických subjektů v registru;Státní podniky;2. čtvrtletí 2023;108
Česko;Počet ekonomických subjektů v registru;Státní podniky;1. čtvrtletí 2023;109
Česko;Počet ekonomických subjektů v registru;Státní podniky;4. čtvrtletí 2022;111
Česko;Počet ekonomických subjektů v registru;Státní podniky;3. čtvrtletí 2022;112
Česko;Počet ekonomických subjektů v registru;Státní podniky;2. čtvrtletí 2022;113
Česko;Počet ekonomických subjektů v registru;Státní podniky;1. čtvrtletí 2022;115
Česko;Počet ekonomických subjektů v registru;Státní podniky;4. čtvrtletí 2021;116
Česko;Počet ekonomických subjektů v registru;Státní podniky;3. čtvrtletí 2021;122
Česko;Počet ekonomických subjektů v registru;Státní podniky;2. čtvrtletí 2021;126
Česko;Počet ekonomických subjektů v registru;Státní podniky;1. čtvrtletí 2021;130
