Roky,Území,Ukazatel,Ochrana životního prostředí,value
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,40109604.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,13114795.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,15189426.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,5644701.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",2150934.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),737988.0
2015,Česko,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,559524.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,Celkem,56069202.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,3302156.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,11133947.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,34456444.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",3303157.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),167009.0
2015,Česko,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,1212891.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,5603628.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,1169674.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,694446.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,673271.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",515130.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),554859.0
2015,Hlavní město Praha,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,147683.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,Celkem,13383941.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,647069.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,800459.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,10448655.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",828160.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),147838.0
2015,Hlavní město Praha,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,288793.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,3493722.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,596918.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,2177541.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,371668.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",105287.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),26062.0
2015,Středočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,124318.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,5234634.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,513171.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,1283603.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,2604319.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",298240.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),2848.0
2015,Středočeský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,79486.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,1559488.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,903516.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,302341.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,317230.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",17073.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),6663.0
2015,Jihočeský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,2755.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,2617205.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,68590.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,1233336.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1241206.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",13621.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),213.0
2015,Jihočeský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,24638.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,1090937.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,142038.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,398773.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,428672.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",23797.0
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),
2015,Plzeňský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,57191.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,2593075.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,93481.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,634975.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1786579.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",29043.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),335.0
2015,Plzeňský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,33963.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,811221.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,161759.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,440520.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,179728.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),0.0
2015,Karlovarský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,1070365.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,117099.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,446120.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,483949.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",6944.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),39.0
2015,Karlovarský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,6474.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,3874723.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,790719.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,810820.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,938613.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",1000080.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),101000.0
2015,Ústecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,78106.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,Celkem,3851708.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,474117.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,770733.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1837692.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",173817.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),3541.0
2015,Ústecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,480119.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,614824.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,179370.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,184423.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,115529.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",110530.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),5285.0
2015,Liberecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,Celkem,3664951.0
