Území,Ukazatel,Typ indexu,Typ zakázek,Vybraná odvětví průmyslu,Měsíce,value
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2025,94.4624952006
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2025,106.486700986
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2025,96.7725478356
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2025,105.5030762791
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2025,107.3921651923
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2025,100.8181004488
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2025,98.7353864369
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2025,98.8699253525
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2024,101.317536184
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2024,99.2632738293
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2024,102.8852377846
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2024,105.1467804033
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2024,110.989965016
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2024,98.3409322831
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2024,105.0055120019
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2024,101.9813837878
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2024,104.8595647492
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2024,105.6717809318
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2024,108.4540092184
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2024,98.5533918606
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2023,100.014744332
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2023,100.1210606888
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2023,97.0985993688
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2023,94.2449739343
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2023,96.1401824094
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2023,95.1841280763
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2023,95.1580451988
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2023,95.4366464653
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2023,102.932193187
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2023,100.8017549479
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2023,99.799550234
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2023,108.0088631236
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2022,108.9408105944
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2022,110.0319319705
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2022,118.0173230143
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2022,123.0413443182
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2022,119.6710531762
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2022,104.0570839936
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2022,115.996945275
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2022,110.0822656765
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2022,103.9675253962
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2022,104.6558262428
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2022,107.7516765388
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2022,108.282130666
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2021,105.320735801
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2021,109.0081959011
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2021,98.6028020051
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2021,99.0514778553
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2021,104.6361527016
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2021,120.0461747898
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2021,123.8710852743
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2021,145.2024608182
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2021,185.0282218892
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2021,125.8190519035
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2021,107.7921341729
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2021,99.41195003
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2020,107.2229135362
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2020,104.5887466541
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2020,107.8026650287
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2020,105.074661542
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2020,94.0060429132
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2020,98.763064044
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2020,91.7021800374
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2020,69.8582698258
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2020,57.5071112415
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2020,84.6678015169
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2020,97.52384542
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2020,106.1243550879
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2019,95.4642555806
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2019,98.8919128826
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2019,96.9912553575
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2019,96.4572018035
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2019,99.2426898061
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2019,101.1958768313
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2019,94.9855167368
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2019,104.2242966121
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2019,107.6141711067
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2019,104.9073399597
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2019,101.9023771009
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2019,102.7630241998
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2018,96.607896856
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2018,102.2384987219
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2018,108.0699000736
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2018,101.4619854096
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2018,102.063167783
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2018,107.7223555438
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2018,106.2962798763
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2018,109.032756708
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2018,93.9049340314
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2018,102.6298117491
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2018,104.1227575501
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2018,103.2021435294
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2017,114.2558646906
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2017,103.0119240453
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2017,105.5467407596
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2017,109.2018677876
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2017,106.2900956971
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2017,108.9158363936
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2017,105.4216399167
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2017,113.6698766022
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2017,106.4735509127
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2017,109.3728516856
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2017,108.875959081
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2017,103.9126774585
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2016,110.3327428221
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2016,108.0921912104
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2016,101.7572741306
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2016,102.5398398742
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2016,113.0592673821
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2016,90.9692062361
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2016,104.3997544247
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2016,106.0267007774
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2016,111.0236200928
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2016,100.8579384143
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2016,100.5695485132
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2016,106.046881025
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2015,100.997005925
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2015,104.3922667025
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2015,109.8553815801
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2015,104.4057292964
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2015,108.7907703883
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2015,105.3729148148
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2015,108.0859600897
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2015,104.3444640775
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2015,106.5738845464
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2015,108.5163278181
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2015,110.4207754145
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2015,106.7742896734
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2014,108.0919075691
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2014,107.8745407481
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2014,108.5541883781
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2014,111.2787163453
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2014,103.8648748795
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2014,113.1596108474
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2014,113.6951523492
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2014,112.6183564223
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2014,114.8990967987
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2014,116.811835911
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2014,120.5450245525
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2014,116.7536279428
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2013,118.3309849479
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2013,113.6726452467
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2013,110.8530510567
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2013,110.3835482932
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2013,114.3537665104
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2013,103.7692215467
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2013,102.332568415
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2013,93.529563081
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2013,102.2945694255
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2013,101.1633804981
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2013,90.7066947445
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2013,91.8501367899
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2012,94.838884276
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2012,95.9348574659
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2012,98.4008172349
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2012,99.6500950358
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2012,100.2653394296
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2012,112.4607431653
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2012,99.5053477127
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2012,107.2225766289
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2012,100.1966903897
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2012,101.435211592
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2012,109.5599151116
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2012,112.3774078314
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2011,99.7481796727
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2011,102.3438698158
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2011,101.6931483658
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2011,101.3590020268
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2011,92.8513679884
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2011,101.5903436109
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2011,103.7255099505
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2011,102.0341347706
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2011,110.2481467623
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2011,108.1452910756
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2011,113.1322700417
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2011,114.5412954416
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2010,109.7774820833
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2010,112.6873015268
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2010,117.5270534868
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2010,117.8819479326
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2010,120.620040988
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2010,118.233850191
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2010,113.0322439677
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2010,122.6256279307
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2010,116.9170818858
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2010,115.9541683684
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2010,110.2874223618
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2010,109.1608633235
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2009,112.2412306162
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2009,105.3285250448
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2009,89.1124703544
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2009,86.1539027569
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2009,84.8101977673
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2009,79.592930067
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2009,84.4722681034
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2009,73.5201326461
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2009,75.2845624948
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2009,76.7648775661
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2009,74.7804752194
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2009,73.0525233284
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2008,76.6972438656
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2008,81.3535342423
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2008,81.6375910957
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2008,93.0432135419
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2008,96.2443779801
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2008,98.0049128059
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2008,99.2641910131
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2008,109.0814671396
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2008,106.8693350802
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2008,106.0111950631
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2008,108.7821731761
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2008,109.7540687096
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2007,104.0922003688
