Území;Právní forma;Ukazatel;Roky;value
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2015;179750470.87819
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2016;156768341.59129
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2017;167588862.12949
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2018;198455301.17018
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2019;233508392.81266
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2020;283242959.67169
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2021;293518348.818
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2022;299207204.89604
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Přijaté transféry;2023;330907866.95797
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2015;427361559.64776
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2016;397092709.872369
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2017;448137582.230089
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2018;531701076.727249
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2019;571391639.431019
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2020;622186558.80647
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2021;647443191.362111
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2022;723427169.611552
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Výdaje celkem;2023;783596758.880125
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2015;314858788.816601
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2016;330097230.26066
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2017;362087561.147629
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2018;405386361.266298
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2019;444605662.31708
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2020;483134009.267899
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2021;513102259.755328
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2022;564772480.960189
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Běžné výdaje ;2023;613144451.466673
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2015;112502770.83116
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2016;66995479.61171
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2017;86050021.08246
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2018;126314715.46095
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2019;126785977.11394
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2020;139052549.53857
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2021;134340931.60678
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2022;158654688.65136
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Kapitalové výdaje ;2023;170452307.41346
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2015;21084536.63855
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2016;53247730.84127
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2017;31147953.90022
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2018;8736590.64624
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2019;31736496.73944
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2020;13873696.93386
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2021;41323671.97196
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2022;32761884.05278
Česko;Souhrn rozpočtů krajů, obcí a svazků obcí;Saldo příjmů a výdajů ;2023;72098343.72768
