Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1192888.534829662
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Ostatní osobní náklady - meziroční index (%),93.9578297002
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy včetně ostatních osobních nákladů (tis. Kč),32170232.016606264
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2212507.948295931
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.3854340311
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy bez ostatních osobních nákladů (tis. Kč),30171103.553814158
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1894264.1741894216
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy bez ostatních osobních nákladů - meziroční index (%),106.6989954173
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady (tis. Kč),1999128.4627921036
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),318243.7741065094
Česko,Q1-Q4 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady - meziroční index (%),118.9331116078
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů (tis. Kč),28022301.625896312
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2220341.7859668825
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.6053222303
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů (tis. Kč),26655714.95401168
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2365699.3903936604
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů - meziroční index (%),109.7393901795
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady (tis. Kč),1366586.6718846357
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-145357.6044267782
Česko,Q1-Q4 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady - meziroční index (%),90.3860475082
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů (tis. Kč),107549721.44982484
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5053584.511771474
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů - meziroční index (%),104.9305121761
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů (tis. Kč),100497022.55257699
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6376874.335120353
Česko,Q1-Q4 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.7752489301
Česko,Q1-Q4 2024,F - Stavebnictví,Ostatní osobní náklady (tis. Kč),7052698.897247849
Česko,Q1-Q4 2024,F - Stavebnictví,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1323289.8233488784
Česko,Q1-Q4 2024,F - Stavebnictví,Ostatní osobní náklady - meziroční index (%),84.2013896211
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů (tis. Kč),273696042.0555716
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13148120.376939211
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.0463347749
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů (tis. Kč),255385420.4023765
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),14575012.679082496
