Území,Roky,Typ ceny,Očištění,Země,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,"Vývoz (v mil. Kč, FOB)",4663189.076956
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,"Dovoz (v mil. Kč, CIF)",4442700.143978
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,Bilance (v mil. Kč),220488.932978
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (v mil. Kč),9105889.220934
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,Vývoz (meziroční index),104.9690195136
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,Dovoz (meziroční index),102.8416928227
Česko,2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (meziroční index),103.9202267136
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,"Vývoz (v mil. Kč, FOB)",2936693.474851
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,"Dovoz (v mil. Kč, CIF)",2086175.141446
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,Bilance (v mil. Kč),850518.333405
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (v mil. Kč),5022868.616297
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,Vývoz (meziroční index),101.4386134676
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,Dovoz (meziroční index),102.6919198111
Česko,2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (meziroční index),101.9554226744
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,"Vývoz (v mil. Kč, FOB)",3634787.613774
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,"Dovoz (v mil. Kč, CIF)",2776930.334154
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,Bilance (v mil. Kč),857857.27962
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (v mil. Kč),6411717.947928
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,Vývoz (meziroční index),102.036627944
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,Dovoz (meziroční index),103.3103629103
Česko,2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (meziroční index),102.5844091408
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Vývoz (v mil. Kč, FOB)",1026062.818247
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Dovoz (v mil. Kč, CIF)",1628957.863694
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Bilance (v mil. Kč),-602895.045447
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (v mil. Kč),2655020.681941
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Vývoz (meziroční index),116.8525181508
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Dovoz (meziroční index),102.0646131651
Česko,2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (meziroční index),107.3130141807
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,"Vývoz (v mil. Kč, FOB)",2338.644935
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,"Dovoz (v mil. Kč, CIF)",36811.94613
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,Bilance (v mil. Kč),-34473.301195
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (v mil. Kč),39150.591065
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,Vývoz (meziroční index),110.2348101001
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,Dovoz (meziroční index),102.2987594489
Česko,2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (meziroční index),102.740587908
Česko,2024,Běžné ceny,Bez očištění,Evropa,"Vývoz (v mil. Kč, FOB)",4141687.038039
Česko,2024,Běžné ceny,Bez očištění,Evropa,"Dovoz (v mil. Kč, CIF)",3159862.587132
Česko,2024,Běžné ceny,Bez očištění,Evropa,Bilance (v mil. Kč),981824.450907
Česko,2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (v mil. Kč),7301549.625171
Česko,2024,Běžné ceny,Bez očištění,Evropa,Vývoz (meziroční index),103.5909647002
Česko,2024,Běžné ceny,Bez očištění,Evropa,Dovoz (meziroční index),101.8745679184
Česko,2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (meziroční index),102.8411190764
Česko,2024,Běžné ceny,Bez očištění,Afrika,"Vývoz (v mil. Kč, FOB)",45358.363152
Česko,2024,Běžné ceny,Bez očištění,Afrika,"Dovoz (v mil. Kč, CIF)",36133.445068
Česko,2024,Běžné ceny,Bez očištění,Afrika,Bilance (v mil. Kč),9224.918084
Česko,2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (v mil. Kč),81491.80822
Česko,2024,Běžné ceny,Bez očištění,Afrika,Vývoz (meziroční index),103.2396836475
Česko,2024,Běžné ceny,Bez očištění,Afrika,Dovoz (meziroční index),96.6828701405
Česko,2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (meziroční index),100.2258554985
Česko,2024,Běžné ceny,Bez očištění,Amerika,"Vývoz (v mil. Kč, FOB)",185081.192465
Česko,2024,Běžné ceny,Bez očištění,Amerika,"Dovoz (v mil. Kč, CIF)",178067.959871
Česko,2024,Běžné ceny,Bez očištění,Amerika,Bilance (v mil. Kč),7013.232594
Česko,2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (v mil. Kč),363149.152336
Česko,2024,Běžné ceny,Bez očištění,Amerika,Vývoz (meziroční index),113.9488928333
Česko,2024,Běžné ceny,Bez očištění,Amerika,Dovoz (meziroční index),103.911150138
Česko,2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (meziroční index),108.795586799
Česko,2024,Běžné ceny,Bez očištění,Asie,"Vývoz (v mil. Kč, FOB)",274232.071348
Česko,2024,Běžné ceny,Bez očištění,Asie,"Dovoz (v mil. Kč, CIF)",1028894.636566
Česko,2024,Běžné ceny,Bez očištění,Asie,Bilance (v mil. Kč),-754662.565218
Česko,2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (v mil. Kč),1303126.707914
