Ukazatel;Typ údaje;Roky;Území;Druh nemovitosti;value
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Česko;Nemovitosti celkem;142.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Česko;Rodinné domy;127.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Česko;Byty;154.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Česko;Bytové domy;150.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Česko;Stavební pozemky;139.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Hlavní město Praha;Nemovitosti celkem;151.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Hlavní město Praha;Rodinné domy;120.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Hlavní město Praha;Byty;159.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Hlavní město Praha;Bytové domy;184.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Hlavní město Praha;Stavební pozemky;136.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Středočeský kraj;Nemovitosti celkem;136.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Středočeský kraj;Rodinné domy;125.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Středočeský kraj;Byty;150.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Středočeský kraj;Bytové domy;137.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Středočeský kraj;Stavební pozemky;142.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihočeský kraj;Nemovitosti celkem;139.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihočeský kraj;Rodinné domy;126.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihočeský kraj;Byty;154.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihočeský kraj;Bytové domy;148.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihočeský kraj;Stavební pozemky;149.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Plzeňský kraj;Nemovitosti celkem;142.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Plzeňský kraj;Rodinné domy;126.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Plzeňský kraj;Byty;160.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Plzeňský kraj;Bytové domy;117.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Plzeňský kraj;Stavební pozemky;125.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Karlovarský kraj;Nemovitosti celkem;149.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Karlovarský kraj;Rodinné domy;126.0
