Území,Ukazatel,Čtvrtletí,value
Česko,HPH - Činnosti v oblasti nemovitostí,3. čtvrtletí 2023,100.3
Česko,HPH - Činnosti v oblasti nemovitostí,4. čtvrtletí 2023,100.1
Česko,HPH - Činnosti v oblasti nemovitostí,1. čtvrtletí 2024,98.2
Česko,HPH - Činnosti v oblasti nemovitostí,2. čtvrtletí 2024,100.0
Česko,HPH - Činnosti v oblasti nemovitostí,3. čtvrtletí 2024,99.4
Česko,HPH - Činnosti v oblasti nemovitostí,4. čtvrtletí 2024,100.4
Česko,HPH - Činnosti v oblasti nemovitostí,1. čtvrtletí 2025,101.0
Česko,HPH - Činnosti v oblasti nemovitostí,2. čtvrtletí 2025,100.2
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",3. čtvrtletí 2023,99.1
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",4. čtvrtletí 2023,99.0
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",1. čtvrtletí 2024,101.0
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",2. čtvrtletí 2024,101.9
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",3. čtvrtletí 2024,100.6
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",4. čtvrtletí 2024,101.9
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",1. čtvrtletí 2025,98.9
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",2. čtvrtletí 2025,101.3
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",3. čtvrtletí 2023,100.1
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",4. čtvrtletí 2023,99.6
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",1. čtvrtletí 2024,101.1
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",2. čtvrtletí 2024,100.0
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",3. čtvrtletí 2024,100.3
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",4. čtvrtletí 2024,100.2
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",1. čtvrtletí 2025,100.8
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",2. čtvrtletí 2025,99.8
Česko,HPH - Ostatní činnosti,3. čtvrtletí 2023,99.5
Česko,HPH - Ostatní činnosti,4. čtvrtletí 2023,100.0
Česko,HPH - Ostatní činnosti,1. čtvrtletí 2024,100.6
Česko,HPH - Ostatní činnosti,2. čtvrtletí 2024,100.7
Česko,HPH - Ostatní činnosti,3. čtvrtletí 2024,101.5
Česko,HPH - Ostatní činnosti,4. čtvrtletí 2024,100.5
Česko,HPH - Ostatní činnosti,1. čtvrtletí 2025,101.6
Česko,HPH - Ostatní činnosti,2. čtvrtletí 2025,100.2
Česko,Daně z produktů,3. čtvrtletí 2023,
Česko,Daně z produktů,4. čtvrtletí 2023,
Česko,Daně z produktů,1. čtvrtletí 2024,
Česko,Daně z produktů,2. čtvrtletí 2024,
Česko,Daně z produktů,3. čtvrtletí 2024,
Česko,Daně z produktů,4. čtvrtletí 2024,
Česko,Daně z produktů,1. čtvrtletí 2025,
Česko,Daně z produktů,2. čtvrtletí 2025,
Česko,Dotace na produkty,3. čtvrtletí 2023,102.3
Česko,Dotace na produkty,4. čtvrtletí 2023,142.8
Česko,Dotace na produkty,1. čtvrtletí 2024,67.9
Česko,Dotace na produkty,2. čtvrtletí 2024,103.1
Česko,Dotace na produkty,3. čtvrtletí 2024,99.9
Česko,Dotace na produkty,4. čtvrtletí 2024,101.8
Česko,Dotace na produkty,1. čtvrtletí 2025,104.7
Česko,Dotace na produkty,2. čtvrtletí 2025,107.2
