Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,"Hotel, motel, botel ***",53.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,"Hotel, motel, botel **",7.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,"Hotel, motel, botel *",3.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Hotel garni,6.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Penzion,139.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Kemp,9.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Turistická ubytovna,16.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Ostatní HUZ,64.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,HUZ celkem,444.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Hotel *****,12.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,"Hotel, motel, botel ****",117.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,"Hotel, motel, botel ***",81.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,"Hotel, motel, botel **",6.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Hotel garni,15.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Penzion,134.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Kemp,26.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Chatová osada,1.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Turistická ubytovna,10.0
2024,Počet hromadných ubytovacích zařízení,Západočeské lázně,Ostatní HUZ,42.0
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Hotel *****,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař","Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař","Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař","Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař","Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Hotel garni,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Penzion,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Kemp,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Chatová osada,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,"Slavkovský les, Doupov, Vladař",Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,České Středohoří,HUZ celkem,83.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,České Středohoří,"Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,"Hotel, motel, botel ***",16.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,"Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Penzion,30.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Kemp,7.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Chatová osada,3.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Turistická ubytovna,12.0
2024,Počet hromadných ubytovacích zařízení,České Středohoří,Ostatní HUZ,7.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,HUZ celkem,168.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,"Hotel, motel, botel ****",10.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,"Hotel, motel, botel ***",16.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,"Hotel, motel, botel **",5.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,"Hotel, motel, botel *",3.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Penzion,95.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Kemp,10.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Chatová osada,3.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Turistická ubytovna,9.0
2024,Počet hromadných ubytovacích zařízení,České Švýcarsko,Ostatní HUZ,15.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,HUZ celkem,71.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,"Hotel, motel, botel ***",15.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Penzion,24.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Kemp,11.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Turistická ubytovna,7.0
2024,Počet hromadných ubytovacích zařízení,Dolní Poohří,Ostatní HUZ,8.0
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Penzion,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Kemp,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Východní Krušné hory,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Český ráj,HUZ celkem,197.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Český ráj,"Hotel, motel, botel ****",8.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,"Hotel, motel, botel ***",25.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,"Hotel, motel, botel *",3.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Hotel garni,3.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Penzion,73.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Kemp,25.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Chatová osada,12.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Turistická ubytovna,14.0
2024,Počet hromadných ubytovacích zařízení,Český ráj,Ostatní HUZ,33.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,HUZ celkem,357.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,"Hotel, motel, botel ****",20.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,"Hotel, motel, botel ***",42.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,"Hotel, motel, botel **",4.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,"Hotel, motel, botel *",2.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Penzion,197.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Kemp,4.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Chatová osada,4.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Turistická ubytovna,23.0
2024,Počet hromadných ubytovacích zařízení,Jizerské hory,Ostatní HUZ,59.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,HUZ celkem,102.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Lužické hory,"Hotel, motel, botel ****",5.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,"Hotel, motel, botel ***",7.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Penzion,42.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Kemp,8.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Chatová osada,10.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Turistická ubytovna,11.0
2024,Počet hromadných ubytovacích zařízení,Lužické hory,Ostatní HUZ,17.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,HUZ celkem,85.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,"Hotel, motel, botel ***",5.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Penzion,31.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Kemp,11.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Chatová osada,26.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Turistická ubytovna,2.0
2024,Počet hromadných ubytovacích zařízení,Máchův kraj,Ostatní HUZ,6.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,HUZ celkem,62.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Broumovsko,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Broumovsko,"Hotel, motel, botel ***",8.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Penzion,37.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Kemp,6.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Broumovsko,Ostatní HUZ,2.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,HUZ celkem,51.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Hradecko,"Hotel, motel, botel ****",7.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,"Hotel, motel, botel ***",10.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Hradecko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Hradecko,Penzion,20.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,Kemp,3.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Hradecko,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Hradecko,Ostatní HUZ,5.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,HUZ celkem,83.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,"Hotel, motel, botel ****",7.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,"Hotel, motel, botel ***",10.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Penzion,39.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Kemp,7.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Chatová osada,4.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Turistická ubytovna,5.0
2024,Počet hromadných ubytovacích zařízení,Kladské pomezí,Ostatní HUZ,9.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,HUZ celkem,949.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Krkonoše,"Hotel, motel, botel ****",34.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,"Hotel, motel, botel ***",129.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,"Hotel, motel, botel **",17.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,"Hotel, motel, botel *",6.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Hotel garni,7.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Penzion,449.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Kemp,12.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Turistická ubytovna,63.0
2024,Počet hromadných ubytovacích zařízení,Krkonoše,Ostatní HUZ,230.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,HUZ celkem,245.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,"Hotel, motel, botel ****",9.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,"Hotel, motel, botel ***",30.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,"Hotel, motel, botel **",8.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,"Hotel, motel, botel *",8.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Hotel garni,4.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Penzion,94.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Kemp,11.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Chatová osada,8.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Turistická ubytovna,33.0
2024,Počet hromadných ubytovacích zařízení,Orlické hory a Podorlicko,Ostatní HUZ,40.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,HUZ celkem,58.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,"Hotel, motel, botel ****",1.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,"Hotel, motel, botel ***",9.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,"Hotel, motel, botel *",2.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Penzion,24.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Kemp,11.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Chatová osada,4.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Turistická ubytovna,1.0
2024,Počet hromadných ubytovacích zařízení,Podkrkonoší - Podzvičinsko,Ostatní HUZ,5.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,HUZ celkem,89.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,"Hotel, motel, botel ****",2.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,"Hotel, motel, botel ***",16.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,"Hotel, motel, botel **",4.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,"Hotel, motel, botel *",4.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Penzion,37.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Turistická ubytovna,5.0
2024,Počet hromadných ubytovacích zařízení,Českomoravské pomezí,Ostatní HUZ,12.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,HUZ celkem,80.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,"Hotel, motel, botel ***",6.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,"Hotel, motel, botel **",7.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Penzion,35.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Chatová osada,9.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Chrudimsko-Hlinecko,Ostatní HUZ,11.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,HUZ celkem,41.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,"Hotel, motel, botel ****",1.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,"Hotel, motel, botel ***",6.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Penzion,24.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Kemp,1.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Chatová osada,1.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Turistická ubytovna,2.0
2024,Počet hromadných ubytovacích zařízení,Králický Sněžník,Ostatní HUZ,5.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,HUZ celkem,62.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Pardubicko,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,"Hotel, motel, botel ***",10.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,"Hotel, motel, botel **",4.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Penzion,30.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Turistická ubytovna,5.0
2024,Počet hromadných ubytovacích zařízení,Pardubicko,Ostatní HUZ,3.0
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Penzion,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Kemp,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Jihozápadní Vysočina,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,HUZ celkem,143.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,"Hotel, motel, botel ***",19.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,"Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Hotel garni,4.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Penzion,62.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Kemp,7.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Chatová osada,8.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Turistická ubytovna,14.0
2024,Počet hromadných ubytovacích zařízení,Koruna Vysočiny,Ostatní HUZ,22.0
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Penzion,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Kemp,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Severozápadní Vysočina,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,HUZ celkem,73.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,"Hotel, motel, botel ****",5.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,"Hotel, motel, botel ***",9.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Penzion,22.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Kemp,9.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Turistická ubytovna,9.0
2024,Počet hromadných ubytovacích zařízení,Třebíčsko,Ostatní HUZ,13.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,HUZ celkem,236.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,"Hotel, motel, botel ****",25.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,"Hotel, motel, botel ***",48.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,"Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,"Hotel, motel, botel *",2.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Hotel garni,6.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Penzion,93.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Chatová osada,7.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Turistická ubytovna,9.0
2024,Počet hromadných ubytovacích zařízení,Brno a okolí,Ostatní HUZ,37.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,HUZ celkem,90.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,"Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,"Hotel, motel, botel ***",19.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Penzion,39.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Kemp,6.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Chatová osada,3.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Moravský kras a okolí,Ostatní HUZ,13.0
