Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,"Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,"Hotel, motel, botel ***",3.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,"Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Penzion,17.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Kemp,2.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,Ostatní HUZ,6.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,HUZ celkem,47.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,"Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,"Hotel, motel, botel ***",9.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Penzion,21.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Mělnicko - Kokořínsko,Ostatní HUZ,5.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,HUZ celkem,119.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,"Hotel, motel, botel ****",17.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,"Hotel, motel, botel ***",29.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,"Hotel, motel, botel **",5.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Hotel garni,4.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Penzion,44.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Kemp,5.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Chatová osada,1.0
