Území,Ukazatel,Čtvrtletí,value
Česko,Vývoz zboží,4. čtvrtletí 2023,100.2
Česko,Vývoz zboží,1. čtvrtletí 2024,99.7
Česko,Vývoz zboží,2. čtvrtletí 2024,98.4
Česko,Vývoz zboží,3. čtvrtletí 2024,102.4
Česko,Vývoz zboží,4. čtvrtletí 2024,100.9
Česko,Vývoz zboží,1. čtvrtletí 2025,103.8
Česko,Vývoz zboží,2. čtvrtletí 2025,104.7
Česko,Vývoz služeb,3. čtvrtletí 2023,105.6
Česko,Vývoz služeb,4. čtvrtletí 2023,102.2
Česko,Vývoz služeb,1. čtvrtletí 2024,103.0
Česko,Vývoz služeb,2. čtvrtletí 2024,106.4
Česko,Vývoz služeb,3. čtvrtletí 2024,109.1
Česko,Vývoz služeb,4. čtvrtletí 2024,102.2
Česko,Vývoz služeb,1. čtvrtletí 2025,104.4
Česko,Vývoz služeb,2. čtvrtletí 2025,102.2
Česko,Dovoz celkem,3. čtvrtletí 2023,97.5
Česko,Dovoz celkem,4. čtvrtletí 2023,95.2
Česko,Dovoz celkem,1. čtvrtletí 2024,97.3
Česko,Dovoz celkem,2. čtvrtletí 2024,98.0
Česko,Dovoz celkem,3. čtvrtletí 2024,102.9
Česko,Dovoz celkem,4. čtvrtletí 2024,102.7
Česko,Dovoz celkem,1. čtvrtletí 2025,104.9
Česko,Dovoz celkem,2. čtvrtletí 2025,106.0
Česko,Dovoz zboží,3. čtvrtletí 2023,96.4
Česko,Dovoz zboží,4. čtvrtletí 2023,94.4
Česko,Dovoz zboží,1. čtvrtletí 2024,96.7
Česko,Dovoz zboží,2. čtvrtletí 2024,97.1
Česko,Dovoz zboží,3. čtvrtletí 2024,101.5
Česko,Dovoz zboží,4. čtvrtletí 2024,102.3
Česko,Dovoz zboží,1. čtvrtletí 2025,105.1
Česko,Dovoz zboží,2. čtvrtletí 2025,105.7
Česko,Dovoz služeb,3. čtvrtletí 2023,104.2
Česko,Dovoz služeb,4. čtvrtletí 2023,100.2
Česko,Dovoz služeb,1. čtvrtletí 2024,100.4
Česko,Dovoz služeb,2. čtvrtletí 2024,103.3
Česko,Dovoz služeb,3. čtvrtletí 2024,110.2
Česko,Dovoz služeb,4. čtvrtletí 2024,104.5
Česko,Dovoz služeb,1. čtvrtletí 2025,104.0
Česko,Dovoz služeb,2. čtvrtletí 2025,107.3
