Území,Ukazatel,Očištění,Typ indexu,Typ tržeb,Vybraná průmyslová činnost,Čtvrtletí,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2014,90.8521521365
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2014,88.9593621673
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2014,98.5896868204
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2014,91.8206766506
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2013,102.1166191153
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2013,89.5173842604
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2013,85.609590965
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2013,86.6532332134
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2012,84.0262672144
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2012,87.8815884586
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2012,88.1275975283
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2012,97.0757648278
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2011,102.1012538074
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2011,101.0752381589
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2011,111.5171008871
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2011,109.7484617779
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2010,104.6767788602
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2010,114.0854009615
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2010,111.7958487091
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2010,97.9463227048
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2009,88.1492324663
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2009,83.5663271451
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2009,79.1726846999
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2009,81.9131646864
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2008,109.6387598203
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2008,113.9694423122
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2008,116.6741784098
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2008,118.3114114276
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2007,102.2841102023
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2007,98.4614473163
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2007,108.4698640221
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2007,103.5277497878
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2006,110.773150049
