Ukazatel;Území;Typ indexu;Klasifikace produkce;Měsíce;value
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2015;100.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2015;101.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2015;101.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2015;99.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2015;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2015;99.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2015;98.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2015;98.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2016;96.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2016;96.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2016;96.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2016;96.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2016;96.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2016;96.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2016;96.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2016;97.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2016;97.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2016;97.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2017;99.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2017;98.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2017;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2017;98.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2017;98.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2017;97.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2017;98.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2017;98.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2017;98.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2017;98.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2018;99.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2018;98.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2018;99.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2018;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2018;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2018;100.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2018;101.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2018;101.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2018;101.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2018;102.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2018;102.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2018;101.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2019;102.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2019;102.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2019;102.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2019;103.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2019;104.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2019;103.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2019;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2019;103.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2019;103.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2019;103.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2020;104.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2020;103.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2020;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2020;102.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2020;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2020;103.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2020;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2020;102.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2020;103.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2020;103.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2020;102.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2020;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2021;104.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2021;105.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2021;106.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2021;107.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2021;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2021;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2021;111.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2021;112.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2021;113.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2021;115.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2021;116.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2021;116.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2022;124.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2022;132.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2022;136.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2022;138.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2022;140.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2022;140.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2022;140.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2022;142.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2022;143.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2022;141.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2022;140.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2023;148.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2023;147.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2023;146.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2023;144.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2023;143.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2023;143.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2023;142.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2023;143.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2023;143.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2023;143.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2023;142.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2023;142.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2024;145.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2024;146.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2024;146.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2024;146.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2024;145.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2024;144.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2024;145.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2024;144.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2024;144.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2024;144.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2024;145.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2024;146.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2025;146.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2025;146.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2025;145.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2025;144.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2015;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2015;100.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2015;100.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2015;99.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2015;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2015;99.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2015;99.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2015;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2016;94.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2016;93.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2016;93.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2016;93.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2016;94.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2016;94.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2016;94.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2017;96.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2017;99.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2017;99.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2017;99.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2017;97.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2017;97.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2017;96.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2017;95.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2017;95.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2017;97.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2017;97.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2017;97.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2018;102.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2018;104.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2018;103.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2018;103.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2018;104.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2018;105.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2018;104.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2018;105.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2018;105.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2018;105.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2018;106.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2018;105.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2019;110.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2019;112.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2019;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2019;112.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2019;112.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2019;112.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2019;112.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2019;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2019;112.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2019;109.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2019;109.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2019;110.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2020;108.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2020;110.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2020;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2020;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2020;109.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2020;108.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2020;108.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2020;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2020;107.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2020;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2020;107.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2020;107.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2021;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2021;109.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2021;109.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2021;109.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2021;109.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2021;109.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2021;110.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2021;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2021;112.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2021;121.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2021;122.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2021;123.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2022;134.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2022;136.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2022;137.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2022;140.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2022;146.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2022;146.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2022;144.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2022;144.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2022;147.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2022;150.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2022;151.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2022;150.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2023;207.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2023;209.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2023;212.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2023;212.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2023;213.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2023;213.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2023;210.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2023;209.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2023;210.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2023;211.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2023;212.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;prosinec 2023;211.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2024;204.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;únor 2024;208.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;březen 2024;208.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;duben 2024;210.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;květen 2024;209.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červen 2024;209.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;červenec 2024;209.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;srpen 2024;209.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;září 2024;207.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;říjen 2024;207.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;listopad 2024;208.0
