Území;Ukazatel;Typ ploch;Roky;value
Česko;Plocha území (ha);Zastavěná plocha a nádvoří;2020;133276.719
Česko;Plocha území (ha);Zastavěná plocha a nádvoří;2019;132867.3608
Česko;Plocha území (ha);Zastavěná plocha a nádvoří;2018;132462.5718
Česko;Plocha území (ha);Zastavěná plocha a nádvoří;2017;132333.4586
Česko;Plocha území (ha);Zastavěná plocha a nádvoří;2016;132216.9024
Česko;Plocha území (ha);Ostatní plocha;2023;705425.1907
Česko;Plocha území (ha);Ostatní plocha;2022;705657.4621
Česko;Plocha území (ha);Ostatní plocha;2021;707253.2218
Česko;Plocha území (ha);Ostatní plocha;2020;709043.9436
Česko;Plocha území (ha);Ostatní plocha;2019;709600.3491
Česko;Plocha území (ha);Ostatní plocha;2018;710994.6469
Česko;Plocha území (ha);Ostatní plocha;2017;711494.0932
Česko;Plocha území (ha);Ostatní plocha;2016;710723.9051
Česko;Plocha území (%);Celková výměra;2023;
Česko;Plocha území (%);Celková výměra;2022;
Česko;Plocha území (%);Celková výměra;2021;
Česko;Plocha území (%);Celková výměra;2020;
Česko;Plocha území (%);Celková výměra;2019;
Česko;Plocha území (%);Celková výměra;2018;
Česko;Plocha území (%);Celková výměra;2017;
Česko;Plocha území (%);Celková výměra;2016;
Česko;Plocha území (%);Zemědělská půda;2023;53.17738363
Česko;Plocha území (%);Zemědělská půda;2022;
Česko;Plocha území (%);Zemědělská půda;2021;
Česko;Plocha území (%);Zemědělská půda;2020;
Česko;Plocha území (%);Zemědělská půda;2019;
Česko;Plocha území (%);Zemědělská půda;2018;
Česko;Plocha území (%);Zemědělská půda;2017;
Česko;Plocha území (%);Zemědělská půda;2016;
Česko;Plocha území (%);Orná půda;2023;36.77763793
Česko;Plocha území (%);Orná půda;2022;
Česko;Plocha území (%);Orná půda;2021;
Česko;Plocha území (%);Orná půda;2020;
Česko;Plocha území (%);Orná půda;2019;
Česko;Plocha území (%);Orná půda;2018;
Česko;Plocha území (%);Orná půda;2017;
Česko;Plocha území (%);Orná půda;2016;
Česko;Plocha území (%);Chmelnice;2023;0.11028053
Česko;Plocha území (%);Chmelnice;2022;
Česko;Plocha území (%);Chmelnice;2021;
Česko;Plocha území (%);Chmelnice;2020;
Česko;Plocha území (%);Chmelnice;2019;
Česko;Plocha území (%);Chmelnice;2018;
Česko;Plocha území (%);Chmelnice;2017;
Česko;Plocha území (%);Chmelnice;2016;
Česko;Plocha území (%);Vinice;2023;0.26061116
Česko;Plocha území (%);Vinice;2022;
Česko;Plocha území (%);Vinice;2021;
Česko;Plocha území (%);Vinice;2020;
Česko;Plocha území (%);Vinice;2019;
Česko;Plocha území (%);Vinice;2018;
Česko;Plocha území (%);Vinice;2017;
Česko;Plocha území (%);Vinice;2016;
Česko;Plocha území (%);Zahrada;2023;2.31560252
Česko;Plocha území (%);Zahrada;2022;
Česko;Plocha území (%);Zahrada;2021;
Česko;Plocha území (%);Zahrada;2020;
Česko;Plocha území (%);Zahrada;2019;
Česko;Plocha území (%);Zahrada;2018;
Česko;Plocha území (%);Zahrada;2017;
Česko;Plocha území (%);Zahrada;2016;
Česko;Plocha území (%);Ovocný sad;2023;0.53788465
Česko;Plocha území (%);Ovocný sad;2022;
Česko;Plocha území (%);Ovocný sad;2021;
Česko;Plocha území (%);Ovocný sad;2020;
Česko;Plocha území (%);Ovocný sad;2019;
Česko;Plocha území (%);Ovocný sad;2018;
Česko;Plocha území (%);Ovocný sad;2017;
Česko;Plocha území (%);Ovocný sad;2016;
Česko;Plocha území (%);Trvalý travní porost;2023;13.17536685
Česko;Plocha území (%);Trvalý travní porost;2022;
Česko;Plocha území (%);Trvalý travní porost;2021;
Česko;Plocha území (%);Trvalý travní porost;2020;
Česko;Plocha území (%);Trvalý travní porost;2019;
Česko;Plocha území (%);Trvalý travní porost;2018;
Česko;Plocha území (%);Trvalý travní porost;2017;
Česko;Plocha území (%);Trvalý travní porost;2016;
Česko;Plocha území (%);Nezemědělská půda;2023;46.82261637
Česko;Plocha území (%);Nezemědělská půda;2022;
Česko;Plocha území (%);Nezemědělská půda;2021;
Česko;Plocha území (%);Nezemědělská půda;2020;
Česko;Plocha území (%);Nezemědělská půda;2019;
Česko;Plocha území (%);Nezemědělská půda;2018;
Česko;Plocha území (%);Nezemědělská půda;2017;
Česko;Plocha území (%);Nezemědělská půda;2016;
Česko;Plocha území (%);Lesní pozemek;2023;34.00171256
Česko;Plocha území (%);Lesní pozemek;2022;
Česko;Plocha území (%);Lesní pozemek;2021;
Česko;Plocha území (%);Lesní pozemek;2020;
Česko;Plocha území (%);Lesní pozemek;2019;
Česko;Plocha území (%);Lesní pozemek;2018;
Česko;Plocha území (%);Lesní pozemek;2017;
Česko;Plocha území (%);Lesní pozemek;2016;
Česko;Plocha území (%);Vodní plocha;2023;2.16062751
Česko;Plocha území (%);Vodní plocha;2022;
Česko;Plocha území (%);Vodní plocha;2021;
Česko;Plocha území (%);Vodní plocha;2020;
Česko;Plocha území (%);Vodní plocha;2019;
Česko;Plocha území (%);Vodní plocha;2018;
Česko;Plocha území (%);Vodní plocha;2017;
Česko;Plocha území (%);Vodní plocha;2016;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2023;1.71628745
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2022;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2021;
