ČR, Reg. soudržnosti, Kraje;Roky;Rezidence;Ukazatel;value
Česko;2023;Celkem;Počet hostů;21977671
Česko;2023;Celkem;Počet přenocování;55842471
Česko;2023;Rezidenti;Počet hostů;12418741
Česko;2023;Rezidenti;Počet přenocování;32480862
Česko;2023;Nerezidenti;Počet hostů;9558930
Česko;2023;Nerezidenti;Počet přenocování;23361609
Česko;2023;Belgie;Počet hostů;94192
Česko;2023;Belgie;Počet přenocování;243031
Česko;2023;Bulharsko;Počet hostů;54353
Česko;2023;Bulharsko;Počet přenocování;139724
Česko;2023;Dánsko;Počet hostů;108861
Česko;2023;Dánsko;Počet přenocování;310152
Česko;2023;Estonsko;Počet hostů;23681
Česko;2023;Estonsko;Počet přenocování;53237
Česko;2023;Finsko;Počet hostů;48494
Česko;2023;Finsko;Počet přenocování;123412
Česko;2023;Francie;Počet hostů;252916
Česko;2023;Francie;Počet přenocování;648001
Česko;2023;Chorvatsko;Počet hostů;51007
Česko;2023;Chorvatsko;Počet přenocování;123019
Česko;2023;Irsko;Počet hostů;58507
Česko;2023;Irsko;Počet přenocování;155545
Česko;2023;Island;Počet hostů;8437
Česko;2023;Island;Počet přenocování;24053
Česko;2023;Itálie;Počet hostů;390459
Česko;2023;Itálie;Počet přenocování;1040510
Česko;2023;Kypr;Počet hostů;12415
Česko;2023;Kypr;Počet přenocování;39007
Česko;2023;Litva;Počet hostů;88234
Česko;2023;Litva;Počet přenocování;137821
Česko;2023;Lotyšsko;Počet hostů;38014
Česko;2023;Lotyšsko;Počet přenocování;78484
Česko;2023;Lucembursko;Počet hostů;6651
Česko;2023;Lucembursko;Počet přenocování;15827
Česko;2023;Lichtenštejnsko;Počet hostů;1106
Česko;2023;Lichtenštejnsko;Počet přenocování;2418
Česko;2023;Maďarsko;Počet hostů;172524
Česko;2023;Maďarsko;Počet přenocování;364408
Česko;2023;Malta;Počet hostů;8162
Česko;2023;Malta;Počet přenocování;28016
Česko;2023;Německo;Počet hostů;2283924
Česko;2023;Německo;Počet přenocování;6258838
Česko;2023;Nizozemské království;Počet hostů;261678
Česko;2023;Nizozemské království;Počet přenocování;714882
Česko;2023;Norsko;Počet hostů;54362
Česko;2023;Norsko;Počet přenocování;136988
Česko;2023;Polsko;Počet hostů;759518
Česko;2023;Polsko;Počet přenocování;1525017
Česko;2023;Portugalsko;Počet hostů;44200
Česko;2023;Portugalsko;Počet přenocování;123234
Česko;2023;Rakousko;Počet hostů;319450
Česko;2023;Rakousko;Počet přenocování;613197
Česko;2023;Rumunsko;Počet hostů;120604
Česko;2023;Rumunsko;Počet přenocování;290349
Česko;2023;Rusko;Počet hostů;43040
Česko;2023;Rusko;Počet přenocování;117831
Česko;2023;Řecko;Počet hostů;53003
Česko;2023;Řecko;Počet přenocování;150789
Česko;2023;Slovensko;Počet hostů;860893
Česko;2023;Slovensko;Počet přenocování;1712603
Česko;2023;Slovinsko;Počet hostů;38923
Česko;2023;Slovinsko;Počet přenocování;81744
Česko;2023;Velká Británie a Severní Irsko;Počet hostů;455262
Česko;2023;Velká Británie a Severní Irsko;Počet přenocování;1200507
Česko;2023;Srbsko a Černá Hora;Počet hostů;40192
Česko;2023;Srbsko a Černá Hora;Počet přenocování;102591
Česko;2023;Španělsko;Počet hostů;226200
Česko;2023;Španělsko;Počet přenocování;646305
Česko;2023;Švédsko;Počet hostů;112978
Česko;2023;Švédsko;Počet přenocování;274606
Česko;2023;Švýcarsko;Počet hostů;98975
Česko;2023;Švýcarsko;Počet přenocování;243942
Česko;2023;Turecko;Počet hostů;95036
Česko;2023;Turecko;Počet přenocování;221459
Česko;2023;Ukrajina;Počet hostů;333862
Česko;2023;Ukrajina;Počet přenocování;703596
Česko;2023;Ostatní evropské země;Počet hostů;107310
Česko;2023;Ostatní evropské země;Počet přenocování;240269
Česko;2023;Kanada;Počet hostů;69150
Česko;2023;Kanada;Počet přenocování;187228
Česko;2023;Spojené státy;Počet hostů;489261
Česko;2023;Spojené státy;Počet přenocování;1271068
Česko;2023;Brazílie;Počet hostů;47735
Česko;2023;Brazílie;Počet přenocování;122383
Česko;2023;Mexiko;Počet hostů;46264
Česko;2023;Mexiko;Počet přenocování;109309
Česko;2023;Argentina;Počet hostů;15992
Česko;2023;Argentina;Počet přenocování;39832
Česko;2023;Ostatní americké země;Počet hostů;56802
Česko;2023;Ostatní americké země;Počet přenocování;135975
Česko;2023;Čína;Počet hostů;89628
Česko;2023;Čína;Počet přenocování;177009
Česko;2023;Indie;Počet hostů;70665
Česko;2023;Indie;Počet přenocování;170663
Česko;2023;Izrael;Počet hostů;117368
Česko;2023;Izrael;Počet přenocování;448228
Česko;2023;Japonsko;Počet hostů;53256
Česko;2023;Japonsko;Počet přenocování;112514
Česko;2023;Korejská republika;Počet hostů;238138
Česko;2023;Korejská republika;Počet přenocování;380962
Česko;2023;Tchaj-wan;Počet hostů;141521
Česko;2023;Tchaj-wan;Počet přenocování;235974
Česko;2023;Saúdská Arábie;Počet hostů;27859
Česko;2023;Saúdská Arábie;Počet přenocování;105037
Česko;2023;Spojené arabské emiráty;Počet hostů;24979
Česko;2023;Spojené arabské emiráty;Počet přenocování;69182
Česko;2023;Thajsko;Počet hostů;18683
Česko;2023;Thajsko;Počet přenocování;30657
Česko;2023;Kazachstán;Počet hostů;14372
Česko;2023;Kazachstán;Počet přenocování;65098
Česko;2023;Ostatní asijské země;Počet hostů;183322
Česko;2023;Ostatní asijské země;Počet přenocování;486197
Česko;2023;Jižní Afrika;Počet hostů;8899
Česko;2023;Jižní Afrika;Počet přenocování;24170
Česko;2023;Ostatní africké země;Počet hostů;29745
Česko;2023;Ostatní africké země;Počet přenocování;83813
Česko;2023;Austrálie;Počet hostů;72491
Česko;2023;Austrálie;Počet přenocování;185528
Česko;2023;Nový Zéland;Počet hostů;11341
Česko;2023;Nový Zéland;Počet přenocování;27351
Česko;2023;Oceánie;Počet hostů;4036
Česko;2023;Oceánie;Počet přenocování;8019
