Území;Roky;Ukazatel;Pohlaví;Věk;value
Česko;2024;Osoby používající internet (%);ženy;Celkem (16+);87.360398017
Česko;2024;Osoby používající internet (%);ženy;16 - 34;99.929112867
Česko;2024;Osoby používající internet (%);ženy;35 - 54;98.873377066
Česko;2024;Osoby používající internet (%);ženy;55 - 74;82.798101776
Česko;2024;Osoby používající internet (%);ženy;75+;34.358602948
Česko;2024;Osoby používající internet (%);muži;Celkem (16+);88.052436066
Česko;2024;Osoby používající internet (%);muži;16 - 34;99.520305684
Česko;2024;Osoby používající internet (%);muži;35 - 54;98.364421566
Česko;2024;Osoby používající internet (%);muži;55 - 74;81.366255582
Česko;2024;Osoby používající internet (%);muži;75+;44.026268827
Česko;2024;Osoby používající internet na mobilním telefonu (%);ženy;Celkem (16+);81.560194301
Česko;2024;Osoby používající internet na mobilním telefonu (%);ženy;16 - 34;99.262537951
Česko;2024;Osoby používající internet na mobilním telefonu (%);ženy;35 - 54;96.844030697
Česko;2024;Osoby používající internet na mobilním telefonu (%);ženy;55 - 74;71.228029055
Česko;2024;Osoby používající internet na mobilním telefonu (%);ženy;75+;19.480211682
Česko;2024;Osoby používající internet na mobilním telefonu (%);muži;Celkem (16+);80.228350884
Česko;2024;Osoby používající internet na mobilním telefonu (%);muži;16 - 34;98.467113653
Česko;2024;Osoby používající internet na mobilním telefonu (%);muži;35 - 54;95.290537685
Česko;2024;Osoby používající internet na mobilním telefonu (%);muži;55 - 74;67.493914412
Česko;2024;Osoby používající internet na mobilním telefonu (%);muži;75+;20.729230217
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);ženy;Celkem (16+);73.394450782
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);ženy;16 - 34;93.553120211
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);ženy;35 - 54;89.766450016
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);ženy;55 - 74;58.098700884
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);ženy;75+;14.666801303
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);muži;Celkem (16+);73.781301794
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);muži;16 - 34;93.691348558
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);muži;35 - 54;90.054100329
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);muži;55 - 74;58.124115491
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes mobilní data (%);muži;75+;14.347365402
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);ženy;Celkem (16+);78.361309791
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);ženy;16 - 34;95.691032531
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);ženy;35 - 54;94.567554674
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);ženy;55 - 74;67.082823676
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);ženy;75+;16.486150444
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);muži;Celkem (16+);77.510656778
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);muži;16 - 34;95.775748268
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);muži;35 - 54;92.722146518
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);muži;55 - 74;64.291885245
Česko;2024;Osoby připojující se na mobilním telefonu k internetu přes Wi-Fi (%);muži;75+;18.79388383
Česko;2024;Osoby nakupující na internetu (%);ženy;Celkem (16+);75.267044585
Česko;2024;Osoby nakupující na internetu (%);ženy;16 - 34;95.610254097
Česko;2024;Osoby nakupující na internetu (%);ženy;35 - 54;92.140154291
Česko;2024;Osoby nakupující na internetu (%);ženy;55 - 74;59.832599984
Česko;2024;Osoby nakupující na internetu (%);ženy;75+;14.879749516
Česko;2024;Osoby nakupující na internetu (%);muži;Celkem (16+);73.193528994
Česko;2024;Osoby nakupující na internetu (%);muži;16 - 34;93.689787512
Česko;2024;Osoby nakupující na internetu (%);muži;35 - 54;87.068253651
Česko;2024;Osoby nakupující na internetu (%);muži;55 - 74;57.472342336
Česko;2024;Osoby nakupující na internetu (%);muži;75+;20.830139138
Česko;2024;Osoby používající internetové bankovnictví (%);ženy;Celkem (16+);77.309445708
Česko;2024;Osoby používající internetové bankovnictví (%);ženy;16 - 34;89.372618298
Česko;2024;Osoby používající internetové bankovnictví (%);ženy;35 - 54;93.26736193
Česko;2024;Osoby používající internetové bankovnictví (%);ženy;55 - 74;68.662276088
Česko;2024;Osoby používající internetové bankovnictví (%);ženy;75+;21.299001654
Česko;2024;Osoby používající internetové bankovnictví (%);muži;Celkem (16+);76.752915059
Česko;2024;Osoby používající internetové bankovnictví (%);muži;16 - 34;88.777715949
Česko;2024;Osoby používající internetové bankovnictví (%);muži;35 - 54;91.388068393
Česko;2024;Osoby používající internetové bankovnictví (%);muži;55 - 74;66.323063723
Česko;2024;Osoby používající internetové bankovnictví (%);muži;75+;26.992138266
Česko;2024;Osoby používající sociální sítě (%);ženy;Celkem (16+);66.509028486
Česko;2024;Osoby používající sociální sítě (%);ženy;16 - 34;98.648668674
Česko;2024;Osoby používající sociální sítě (%);ženy;35 - 54;83.673675628
Česko;2024;Osoby používající sociální sítě (%);ženy;55 - 74;40.095880731
Česko;2024;Osoby používající sociální sítě (%);ženy;75+;6.3283822026
Česko;2024;Osoby používající sociální sítě (%);muži;Celkem (16+);59.688332858
Česko;2024;Osoby používající sociální sítě (%);muži;16 - 34;95.572359644
Česko;2024;Osoby používající sociální sítě (%);muži;35 - 54;73.590494348
Česko;2024;Osoby používající sociální sítě (%);muži;55 - 74;31.163536323
Česko;2024;Osoby používající sociální sítě (%);muži;75+;6.6992317546
