Stát,Kumulace měsíců,Ukazatel,value
Česko,únor 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",55160.0
Česko,únor 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",25734.0
Česko,únor 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",29426.0
Česko,únor 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",19124.0
Česko,leden 2025,Počet stavebních povolení v ČR,4200.0
Česko,leden 2025,Počet vydaných stavebních povolení - budovy,2523.0
Česko,leden 2025,Počet vydaných stavebních povolení - budovy bytové,1496.0
Česko,leden 2025,Počet vydaných stavebních povolení - budovy nebytové,1027.0
Česko,leden 2025,Počet vydaných stavebních povolení - inženýrské stavby,1677.0
Česko,leden 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",28094.0
Česko,leden 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",21825.0
Česko,leden 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",12154.0
Česko,leden 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",9671.0
Česko,leden 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",6269.0
Česko,prosinec 2024,Počet stavebních povolení v ČR,72066.0
Česko,prosinec 2024,Počet vydaných stavebních povolení - budovy,42118.0
Česko,prosinec 2024,Počet vydaných stavebních povolení - budovy bytové,24260.0
Česko,prosinec 2024,Počet vydaných stavebních povolení - budovy nebytové,17858.0
Česko,prosinec 2024,Počet vydaných stavebních povolení - inženýrské stavby,29948.0
Česko,prosinec 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",580378.0
Česko,prosinec 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",371782.0
Česko,prosinec 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",183457.0
Česko,prosinec 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",188325.0
Česko,prosinec 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",208596.0
Česko,listopad 2024,Počet stavebních povolení v ČR,66992.0
Česko,listopad 2024,Počet vydaných stavebních povolení - budovy,39106.0
Česko,listopad 2024,Počet vydaných stavebních povolení - budovy bytové,22586.0
Česko,listopad 2024,Počet vydaných stavebních povolení - budovy nebytové,16520.0
Česko,listopad 2024,Počet vydaných stavebních povolení - inženýrské stavby,27886.0
Česko,listopad 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",501094.0
Česko,listopad 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",344375.0
Česko,listopad 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",168015.0
Česko,listopad 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",176360.0
Česko,listopad 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",156719.0
Česko,říjen 2024,Počet stavebních povolení v ČR,61579.0
Česko,říjen 2024,Počet vydaných stavebních povolení - budovy,35971.0
Česko,říjen 2024,Počet vydaných stavebních povolení - budovy bytové,20860.0
Česko,říjen 2024,Počet vydaných stavebních povolení - budovy nebytové,15111.0
Česko,říjen 2024,Počet vydaných stavebních povolení - inženýrské stavby,25608.0
Česko,říjen 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",458018.0
Česko,říjen 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",309323.0
Česko,říjen 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",146560.0
Česko,říjen 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",162763.0
Česko,říjen 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",148695.0
Česko,září 2024,Počet stavebních povolení v ČR,55449.0
Česko,září 2024,Počet vydaných stavebních povolení - budovy,32513.0
Česko,září 2024,Počet vydaných stavebních povolení - budovy bytové,18846.0
Česko,září 2024,Počet vydaných stavebních povolení - budovy nebytové,13667.0
Česko,září 2024,Počet vydaných stavebních povolení - inženýrské stavby,22936.0
Česko,září 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",414567.0
Česko,září 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",281385.0
Česko,září 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",133637.0
Česko,září 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",147748.0
Česko,září 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",133182.0
Česko,srpen 2024,Počet stavebních povolení v ČR,49427.0
Česko,srpen 2024,Počet vydaných stavebních povolení - budovy,28889.0
Česko,srpen 2024,Počet vydaných stavebních povolení - budovy bytové,16678.0
Česko,srpen 2024,Počet vydaných stavebních povolení - budovy nebytové,12211.0
Česko,srpen 2024,Počet vydaných stavebních povolení - inženýrské stavby,20538.0
Česko,srpen 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",369427.0
Česko,srpen 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",243344.0
Česko,srpen 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",113272.0
Česko,srpen 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",130072.0
Česko,srpen 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",126083.0
Česko,červenec 2024,Počet stavebních povolení v ČR,43266.0
Česko,červenec 2024,Počet vydaných stavebních povolení - budovy,25276.0
Česko,červenec 2024,Počet vydaných stavebních povolení - budovy bytové,14587.0
Česko,červenec 2024,Počet vydaných stavebních povolení - budovy nebytové,10689.0
Česko,červenec 2024,Počet vydaných stavebních povolení - inženýrské stavby,17990.0
Česko,červenec 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",318884.0
Česko,červenec 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",215299.0
Česko,červenec 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",99693.0
Česko,červenec 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",115606.0
Česko,červenec 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",103585.0
Česko,červen 2024,Počet stavebních povolení v ČR,37208.0
Česko,červen 2024,Počet vydaných stavebních povolení - budovy,21542.0
Česko,červen 2024,Počet vydaných stavebních povolení - budovy bytové,12448.0
Česko,červen 2024,Počet vydaných stavebních povolení - budovy nebytové,9094.0
Česko,červen 2024,Počet vydaných stavebních povolení - inženýrské stavby,15666.0
Česko,červen 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",279574.0
Česko,červen 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",185138.0
Česko,červen 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",84921.0
Česko,červen 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",100217.0
Česko,červen 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",94436.0
Česko,květen 2024,Počet stavebních povolení v ČR,30596.0
Česko,květen 2024,Počet vydaných stavebních povolení - budovy,17794.0
Česko,květen 2024,Počet vydaných stavebních povolení - budovy bytové,10223.0
Česko,květen 2024,Počet vydaných stavebních povolení - budovy nebytové,7571.0
Česko,květen 2024,Počet vydaných stavebních povolení - inženýrské stavby,12802.0
Česko,květen 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",238416.0
Česko,květen 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",157188.0
Česko,květen 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",71490.0
Česko,květen 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",85698.0
Česko,květen 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",81228.0
Česko,duben 2024,Počet stavebních povolení v ČR,23822.0
Česko,duben 2024,Počet vydaných stavebních povolení - budovy,13824.0
Česko,duben 2024,Počet vydaných stavebních povolení - budovy bytové,7857.0
Česko,duben 2024,Počet vydaných stavebních povolení - budovy nebytové,5967.0
Česko,duben 2024,Počet vydaných stavebních povolení - inženýrské stavby,9998.0
Česko,duben 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",185474.0
Česko,duben 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",120062.0
Česko,duben 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",57086.0
Česko,duben 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",62976.0
