Stát,Kumulace měsíců,Ukazatel,value
Česko,srpen 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",86201.0
Česko,červenec 2020,Počet stavebních povolení v ČR,49375.0
Česko,červenec 2020,Počet vydaných stavebních povolení - budovy,28468.0
Česko,červenec 2020,Počet vydaných stavebních povolení - budovy bytové,18873.0
Česko,červenec 2020,Počet vydaných stavebních povolení - budovy nebytové,9595.0
Česko,červenec 2020,Počet vydaných stavebních povolení - inženýrské stavby,20907.0
Česko,červenec 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",229012.0
Česko,červenec 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",152212.0
Česko,červenec 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",77216.0
Česko,červenec 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",74996.0
Česko,červenec 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",76800.0
Česko,červen 2020,Počet stavebních povolení v ČR,41956.0
Česko,červen 2020,Počet vydaných stavebních povolení - budovy,24240.0
Česko,červen 2020,Počet vydaných stavebních povolení - budovy bytové,16076.0
Česko,červen 2020,Počet vydaných stavebních povolení - budovy nebytové,8164.0
Česko,červen 2020,Počet vydaných stavebních povolení - inženýrské stavby,17716.0
Česko,červen 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",190626.0
Česko,červen 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",130069.0
Česko,červen 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",66109.0
Česko,červen 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",63960.0
Česko,červen 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",60557.0
Česko,květen 2020,Počet stavebních povolení v ČR,34107.0
Česko,květen 2020,Počet vydaných stavebních povolení - budovy,19635.0
Česko,květen 2020,Počet vydaných stavebních povolení - budovy bytové,13144.0
Česko,květen 2020,Počet vydaných stavebních povolení - budovy nebytové,6491.0
Česko,květen 2020,Počet vydaných stavebních povolení - inženýrské stavby,14472.0
Česko,květen 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",161130.0
Česko,květen 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",108914.0
Česko,květen 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",55196.0
Česko,květen 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",53718.0
Česko,květen 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",52216.0
Česko,duben 2020,Počet stavebních povolení v ČR,26482.0
Česko,duben 2020,Počet vydaných stavebních povolení - budovy,15149.0
Česko,duben 2020,Počet vydaných stavebních povolení - budovy bytové,10195.0
Česko,duben 2020,Počet vydaných stavebních povolení - budovy nebytové,4954.0
Česko,duben 2020,Počet vydaných stavebních povolení - inženýrské stavby,11333.0
Česko,duben 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",124966.0
Česko,duben 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",82427.0
Česko,duben 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",43642.0
Česko,duben 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",38785.0
Česko,duben 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",42539.0
Česko,březen 2020,Počet stavebních povolení v ČR,19470.0
Česko,březen 2020,Počet vydaných stavebních povolení - budovy,11187.0
Česko,březen 2020,Počet vydaných stavebních povolení - budovy bytové,7536.0
Česko,březen 2020,Počet vydaných stavebních povolení - budovy nebytové,3651.0
Česko,březen 2020,Počet vydaných stavebních povolení - inženýrské stavby,8283.0
Česko,březen 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",90424.0
Česko,březen 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",60470.0
Česko,březen 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",31513.0
Česko,březen 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",28957.0
Česko,březen 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",29954.0
Česko,únor 2020,Počet stavebních povolení v ČR,13246.0
Česko,únor 2020,Počet vydaných stavebních povolení - budovy,7649.0
Česko,únor 2020,Počet vydaných stavebních povolení - budovy bytové,5128.0
Česko,únor 2020,Počet vydaných stavebních povolení - budovy nebytové,2521.0
Česko,únor 2020,Počet vydaných stavebních povolení - inženýrské stavby,5597.0
Česko,únor 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",61372.0
Česko,únor 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",40318.0
Česko,únor 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",20408.0
Česko,únor 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",19910.0
Česko,únor 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",21054.0
Česko,leden 2020,Počet stavebních povolení v ČR,6893.0
Česko,leden 2020,Počet vydaných stavebních povolení - budovy,3960.0
Česko,leden 2020,Počet vydaných stavebních povolení - budovy bytové,2669.0
Česko,leden 2020,Počet vydaných stavebních povolení - budovy nebytové,1291.0
Česko,leden 2020,Počet vydaných stavebních povolení - inženýrské stavby,2933.0
Česko,leden 2020,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",35974.0
Česko,leden 2020,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",22843.0
Česko,leden 2020,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",10278.0
Česko,leden 2020,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",12565.0
Česko,leden 2020,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",13131.0
Česko,prosinec 2019,Počet stavebních povolení v ČR,86283.0
Česko,prosinec 2019,Počet vydaných stavebních povolení - budovy,48010.0
Česko,prosinec 2019,Počet vydaných stavebních povolení - budovy bytové,31606.0
Česko,prosinec 2019,Počet vydaných stavebních povolení - budovy nebytové,16404.0
Česko,prosinec 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",414320.0
Česko,prosinec 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",258842.0
Česko,prosinec 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",129912.0
Česko,prosinec 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",128930.0
Česko,prosinec 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2019,Počet stavebních povolení v ČR,79024.0
Česko,listopad 2019,Počet vydaných stavebních povolení - budovy,44043.0
Česko,listopad 2019,Počet vydaných stavebních povolení - budovy bytové,29003.0
Česko,listopad 2019,Počet vydaných stavebních povolení - budovy nebytové,15040.0
Česko,listopad 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",379684.0
Česko,listopad 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",236031.0
Česko,listopad 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",118551.0
Česko,listopad 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",117480.0
Česko,listopad 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2019,Počet stavebních povolení v ČR,72018.0
Česko,říjen 2019,Počet vydaných stavebních povolení - budovy,40188.0
Česko,říjen 2019,Počet vydaných stavebních povolení - budovy bytové,26430.0
Česko,říjen 2019,Počet vydaných stavebních povolení - budovy nebytové,13758.0
Česko,říjen 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",349687.0
Česko,říjen 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",218181.0
Česko,říjen 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",108985.0
Česko,říjen 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",109196.0
Česko,říjen 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,září 2019,Počet stavebních povolení v ČR,64436.0
Česko,září 2019,Počet vydaných stavebních povolení - budovy,36172.0
Česko,září 2019,Počet vydaných stavebních povolení - budovy bytové,23907.0
Česko,září 2019,Počet vydaných stavebních povolení - budovy nebytové,12265.0
Česko,září 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,září 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",298588.0
Česko,září 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",193431.0
Česko,září 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",97917.0
Česko,září 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",95514.0
Česko,září 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,srpen 2019,Počet stavebních povolení v ČR,56930.0
Česko,srpen 2019,Počet vydaných stavebních povolení - budovy,32072.0
Česko,srpen 2019,Počet vydaných stavebních povolení - budovy bytové,21279.0
Česko,srpen 2019,Počet vydaných stavebních povolení - budovy nebytové,10793.0
Česko,srpen 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,srpen 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",265630.0
Česko,srpen 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",170314.0
Česko,srpen 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",84529.0
Česko,srpen 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",85785.0
Česko,srpen 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červenec 2019,Počet stavebních povolení v ČR,49556.0
Česko,červenec 2019,Počet vydaných stavebních povolení - budovy,27972.0
Česko,červenec 2019,Počet vydaných stavebních povolení - budovy bytové,18556.0
Česko,červenec 2019,Počet vydaných stavebních povolení - budovy nebytové,9416.0
Česko,červenec 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červenec 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",230344.0
Česko,červenec 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",145893.0
Česko,červenec 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",73813.0
Česko,červenec 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",72080.0
Česko,červenec 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červen 2019,Počet stavebních povolení v ČR,41990.0
Česko,červen 2019,Počet vydaných stavebních povolení - budovy,23605.0
Česko,červen 2019,Počet vydaných stavebních povolení - budovy bytové,15667.0
Česko,červen 2019,Počet vydaných stavebních povolení - budovy nebytové,7938.0
Česko,červen 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červen 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",198538.0
Česko,červen 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",125040.0
Česko,červen 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",63166.0
Česko,červen 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",61874.0
Česko,červen 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,květen 2019,Počet stavebních povolení v ČR,34635.0
Česko,květen 2019,Počet vydaných stavebních povolení - budovy,19418.0
Česko,květen 2019,Počet vydaných stavebních povolení - budovy bytové,12827.0
Česko,květen 2019,Počet vydaných stavebních povolení - budovy nebytové,6591.0
Česko,květen 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,květen 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",159016.0
Česko,květen 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",102271.0
Česko,květen 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",52894.0
Česko,květen 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",49377.0
Česko,květen 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,duben 2019,Počet stavebních povolení v ČR,26788.0
Česko,duben 2019,Počet vydaných stavebních povolení - budovy,14927.0
Česko,duben 2019,Počet vydaných stavebních povolení - budovy bytové,9879.0
Česko,duben 2019,Počet vydaných stavebních povolení - budovy nebytové,5048.0
Česko,duben 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,duben 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",126406.0
Česko,duben 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",79149.0
Česko,duben 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",41854.0
Česko,duben 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",37295.0
Česko,duben 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,březen 2019,Počet stavebních povolení v ČR,19413.0
Česko,březen 2019,Počet vydaných stavebních povolení - budovy,10728.0
Česko,březen 2019,Počet vydaných stavebních povolení - budovy bytové,7021.0
Česko,březen 2019,Počet vydaných stavebních povolení - budovy nebytové,3707.0
Česko,březen 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,březen 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",91613.0
Česko,březen 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",58015.0
Česko,březen 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",30920.0
Česko,březen 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",27095.0
Česko,březen 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,únor 2019,Počet stavebních povolení v ČR,12174.0
Česko,únor 2019,Počet vydaných stavebních povolení - budovy,6547.0
Česko,únor 2019,Počet vydaných stavebních povolení - budovy bytové,4253.0
Česko,únor 2019,Počet vydaných stavebních povolení - budovy nebytové,2294.0
Česko,únor 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,únor 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",56557.0
Česko,únor 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",35494.0
Česko,únor 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",16921.0
Česko,únor 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",18573.0
Česko,únor 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,leden 2019,Počet stavebních povolení v ČR,6078.0
Česko,leden 2019,Počet vydaných stavebních povolení - budovy,3296.0
Česko,leden 2019,Počet vydaných stavebních povolení - budovy bytové,2153.0
Česko,leden 2019,Počet vydaných stavebních povolení - budovy nebytové,1143.0
Česko,leden 2019,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,leden 2019,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",30839.0
Česko,leden 2019,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",17497.0
Česko,leden 2019,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",9052.0
Česko,leden 2019,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",8445.0
Česko,leden 2019,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,prosinec 2018,Počet stavebních povolení v ČR,81174.0
Česko,prosinec 2018,Počet vydaných stavebních povolení - budovy,47115.0
Česko,prosinec 2018,Počet vydaných stavebních povolení - budovy bytové,30702.0
Česko,prosinec 2018,Počet vydaných stavebních povolení - budovy nebytové,16413.0
Česko,prosinec 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",358058.0
Česko,prosinec 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",224619.0
Česko,prosinec 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",102719.0
Česko,prosinec 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",121900.0
Česko,prosinec 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2018,Počet stavebních povolení v ČR,74928.0
Česko,listopad 2018,Počet vydaných stavebních povolení - budovy,43639.0
Česko,listopad 2018,Počet vydaných stavebních povolení - budovy bytové,28558.0
Česko,listopad 2018,Počet vydaných stavebních povolení - budovy nebytové,15081.0
Česko,listopad 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",329730.0
Česko,listopad 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",207006.0
Česko,listopad 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",94636.0
Česko,listopad 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",112370.0
Česko,listopad 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2018,Počet stavebních povolení v ČR,68100.0
Česko,říjen 2018,Počet vydaných stavebních povolení - budovy,39854.0
Česko,říjen 2018,Počet vydaných stavebních povolení - budovy bytové,26135.0
Česko,říjen 2018,Počet vydaných stavebních povolení - budovy nebytové,13719.0
Česko,říjen 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",294409.0
Česko,říjen 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",185696.0
Česko,říjen 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",86467.0
Česko,říjen 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",99229.0
Česko,říjen 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,září 2018,Počet stavebních povolení v ČR,60497.0
Česko,září 2018,Počet vydaných stavebních povolení - budovy,35450.0
Česko,září 2018,Počet vydaných stavebních povolení - budovy bytové,23346.0
Česko,září 2018,Počet vydaných stavebních povolení - budovy nebytové,12104.0
Česko,září 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,září 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",258137.0
Česko,září 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",161889.0
Česko,září 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",77194.0
Česko,září 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",84695.0
Česko,září 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,srpen 2018,Počet stavebních povolení v ČR,53770.0
Česko,srpen 2018,Počet vydaných stavebních povolení - budovy,31571.0
Česko,srpen 2018,Počet vydaných stavebních povolení - budovy bytové,20788.0
Česko,srpen 2018,Počet vydaných stavebních povolení - budovy nebytové,10783.0
Česko,srpen 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,srpen 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",226384.0
Česko,srpen 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",145805.0
Česko,srpen 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",68964.0
Česko,srpen 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",76841.0
Česko,srpen 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červenec 2018,Počet stavebních povolení v ČR,46496.0
Česko,červenec 2018,Počet vydaných stavebních povolení - budovy,27348.0
Česko,červenec 2018,Počet vydaných stavebních povolení - budovy bytové,18033.0
Česko,červenec 2018,Počet vydaných stavebních povolení - budovy nebytové,9315.0
Česko,červenec 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červenec 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",192477.0
Česko,červenec 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",123865.0
Česko,červenec 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",59068.0
Česko,červenec 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",64797.0
Česko,červenec 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červen 2018,Počet stavebních povolení v ČR,39750.0
Česko,červen 2018,Počet vydaných stavebních povolení - budovy,23238.0
Česko,červen 2018,Počet vydaných stavebních povolení - budovy bytové,15270.0
Česko,červen 2018,Počet vydaných stavebních povolení - budovy nebytové,7968.0
Česko,červen 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červen 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",167063.0
Česko,červen 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",105295.0
Česko,červen 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",50313.0
Česko,červen 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",54982.0
Česko,červen 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,květen 2018,Počet stavebních povolení v ČR,32661.0
Česko,květen 2018,Počet vydaných stavebních povolení - budovy,18989.0
Česko,květen 2018,Počet vydaných stavebních povolení - budovy bytové,12474.0
Česko,květen 2018,Počet vydaných stavebních povolení - budovy nebytové,6515.0
Česko,květen 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,květen 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",134760.0
Česko,květen 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",86431.0
Česko,květen 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",41093.0
Česko,květen 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",45338.0
Česko,květen 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,duben 2018,Počet stavebních povolení v ČR,25096.0
Česko,duben 2018,Počet vydaných stavebních povolení - budovy,14341.0
Česko,duben 2018,Počet vydaných stavebních povolení - budovy bytové,9385.0
Česko,duben 2018,Počet vydaných stavebních povolení - budovy nebytové,4956.0
Česko,duben 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,duben 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",106912.0
Česko,duben 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",66854.0
Česko,duben 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",31024.0
Česko,duben 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",35830.0
Česko,duben 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,březen 2018,Počet stavebních povolení v ČR,18086.0
Česko,březen 2018,Počet vydaných stavebních povolení - budovy,10286.0
Česko,březen 2018,Počet vydaných stavebních povolení - budovy bytové,6672.0
Česko,březen 2018,Počet vydaných stavebních povolení - budovy nebytové,3614.0
Česko,březen 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,březen 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",77565.0
Česko,březen 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",48268.0
Česko,březen 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",22832.0
Česko,březen 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",25436.0
Česko,březen 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,únor 2018,Počet stavebních povolení v ČR,11588.0
Česko,únor 2018,Počet vydaných stavebních povolení - budovy,6610.0
Česko,únor 2018,Počet vydaných stavebních povolení - budovy bytové,4274.0
Česko,únor 2018,Počet vydaných stavebních povolení - budovy nebytové,2336.0
Česko,únor 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,únor 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",52821.0
Česko,únor 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",30602.0
Česko,únor 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",14141.0
Česko,únor 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",16461.0
Česko,únor 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,leden 2018,Počet stavebních povolení v ČR,6045.0
Česko,leden 2018,Počet vydaných stavebních povolení - budovy,3413.0
Česko,leden 2018,Počet vydaných stavebních povolení - budovy bytové,2237.0
Česko,leden 2018,Počet vydaných stavebních povolení - budovy nebytové,1176.0
Česko,leden 2018,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,leden 2018,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",26294.0
Česko,leden 2018,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",14581.0
Česko,leden 2018,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",7141.0
Česko,leden 2018,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",7440.0
Česko,leden 2018,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,prosinec 2017,Počet stavebních povolení v ČR,84164.0
Česko,prosinec 2017,Počet vydaných stavebních povolení - budovy,49850.0
Česko,prosinec 2017,Počet vydaných stavebních povolení - budovy bytové,32069.0
Česko,prosinec 2017,Počet vydaných stavebních povolení - budovy nebytové,17781.0
Česko,prosinec 2017,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2017,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",352939.0
Česko,prosinec 2017,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",232027.0
Česko,prosinec 2017,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",102795.0
Česko,prosinec 2017,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",129232.0
Česko,prosinec 2017,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2017,Počet stavebních povolení v ČR,77863.0
Česko,listopad 2017,Počet vydaných stavebních povolení - budovy,46306.0
Česko,listopad 2017,Počet vydaných stavebních povolení - budovy bytové,29827.0
Česko,listopad 2017,Počet vydaných stavebních povolení - budovy nebytové,16479.0
Česko,listopad 2017,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2017,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",330802.0
Česko,listopad 2017,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",217446.0
Česko,listopad 2017,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",94676.0
Česko,listopad 2017,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",122770.0
Česko,listopad 2017,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2017,Počet stavebních povolení v ČR,70864.0
Česko,říjen 2017,Počet vydaných stavebních povolení - budovy,42319.0
Česko,říjen 2017,Počet vydaných stavebních povolení - budovy bytové,27298.0
Česko,říjen 2017,Počet vydaných stavebních povolení - budovy nebytové,15021.0
Česko,říjen 2017,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2017,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",296080.0
Česko,říjen 2017,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",200491.0
