Kategorie,Čtvrtletí,Oblasti destinačního managementu členěné,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet hostů,Celkem,2195269.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet hostů,Rezidenti,400509.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet hostů,Nerezidenti,1794760.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet přenocování,Celkem,4984489.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet přenocování,Rezidenti,663246.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Počet přenocování,Nerezidenti,4321243.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Průměrný počet přenocování ,Celkem,2.2705595533
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Průměrný počet přenocování ,Rezidenti,1.6560077302
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Průměrný počet přenocování ,Nerezidenti,2.4076996367
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet hostů,Celkem,27678.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet hostů,Rezidenti,20713.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet hostů,Nerezidenti,6965.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet přenocování,Celkem,53542.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet přenocování,Rezidenti,39069.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Počet přenocování,Nerezidenti,14473.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Průměrný počet přenocování ,Celkem,1.9344605824
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Průměrný počet přenocování ,Rezidenti,1.8862067301
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Berounsko,Průměrný počet přenocování ,Nerezidenti,2.0779612347
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet hostů,Celkem,43221.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet hostů,Rezidenti,35590.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet hostů,Nerezidenti,7631.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet přenocování,Celkem,80081.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet přenocování,Rezidenti,65215.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Počet přenocování,Nerezidenti,14866.0
