Roky;Kategorie ubytovacího zařízení;Kraje a obce;Ukazatel;Rezidence;value
2023;HUZ celkem;Plzeňský kraj;Počet přenocování;Nerezidenti;643504.0
2023;HUZ celkem;Plzeňský kraj;Průměrný počet přenocování ;Celkem;2.4895593404
2023;HUZ celkem;Plzeňský kraj;Průměrný počet přenocování ;Rezidenti;2.6322978451
2023;HUZ celkem;Plzeňský kraj;Průměrný počet přenocování ;Nerezidenti;2.1949558965
2023;HUZ celkem;Karlovarský kraj;Počet hostů;Celkem;1347879.0
2023;HUZ celkem;Karlovarský kraj;Počet hostů;Rezidenti;644567.0
2023;HUZ celkem;Karlovarský kraj;Počet hostů;Nerezidenti;703312.0
2023;HUZ celkem;Karlovarský kraj;Počet přenocování;Celkem;5094415.0
2023;HUZ celkem;Karlovarský kraj;Počet přenocování;Rezidenti;2401333.0
2023;HUZ celkem;Karlovarský kraj;Počet přenocování;Nerezidenti;2693082.0
2023;HUZ celkem;Karlovarský kraj;Průměrný počet přenocování ;Celkem;3.7795788791
2023;HUZ celkem;Karlovarský kraj;Průměrný počet přenocování ;Rezidenti;3.7254978924
2023;HUZ celkem;Karlovarský kraj;Průměrný počet přenocování ;Nerezidenti;3.8291426849
2023;HUZ celkem;Ústecký kraj;Počet hostů;Celkem;625475.0
2023;HUZ celkem;Ústecký kraj;Počet hostů;Rezidenti;413758.0
2023;HUZ celkem;Ústecký kraj;Počet hostů;Nerezidenti;211717.0
2023;HUZ celkem;Ústecký kraj;Počet přenocování;Celkem;1610225.0
2023;HUZ celkem;Ústecký kraj;Počet přenocování;Rezidenti;1105345.0
2023;HUZ celkem;Ústecký kraj;Počet přenocování;Nerezidenti;504880.0
2023;HUZ celkem;Ústecký kraj;Průměrný počet přenocování ;Celkem;2.5744034534
2023;HUZ celkem;Ústecký kraj;Průměrný počet přenocování ;Rezidenti;2.671477047
2023;HUZ celkem;Ústecký kraj;Průměrný počet přenocování ;Nerezidenti;2.3846927738
2023;HUZ celkem;Liberecký kraj;Počet hostů;Celkem;1154930.0
2023;HUZ celkem;Liberecký kraj;Počet hostů;Rezidenti;957349.0
2023;HUZ celkem;Liberecký kraj;Počet hostů;Nerezidenti;197581.0
2023;HUZ celkem;Liberecký kraj;Počet přenocování;Celkem;3349977.0
2023;HUZ celkem;Liberecký kraj;Počet přenocování;Rezidenti;2808507.0
2023;HUZ celkem;Liberecký kraj;Počet přenocování;Nerezidenti;541470.0
