Území,Roky,Druh cesty ,Pohlaví,Ukazatel,Cíl cesty,value
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Domácí,25663.029826
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Zahraniční,4127.46394
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Domácí,23149.92637
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Zahraniční,10344.658221
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Domácí,6200.432254
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Zahraniční,849.32213561
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Domácí,12381.757431
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Zahraniční,2019.8887528
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Domácí,11530.355978
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Zahraniční,4962.8869299
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Domácí,6640.3973448
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Zahraniční,904.66027165
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Domácí,13281.272394
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Zahraniční,2107.5751872
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Domácí,11619.570392
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Zahraniční,5381.7712908
Česko,2023,Služební cesty,Celkem,Počet cest (v tis.),Domácí,617.03001506
Česko,2023,Služební cesty,Celkem,Počet cest (v tis.),Zahraniční,416.63785332
Česko,2023,Služební cesty,Celkem,Počet přenocování (v tis.),Domácí,1050.5262139
Česko,2023,Služební cesty,Celkem,Počet přenocování (v tis.),Zahraniční,1294.4292664
Česko,2023,Služební cesty,Celkem,Náklady (mil. Kč),Domácí,2307.7884347
Česko,2023,Služební cesty,Celkem,Náklady (mil. Kč),Zahraniční,7065.1423298
Česko,2023,Služební cesty,Muži,Počet cest (v tis.),Domácí,369.1599109
Česko,2023,Služební cesty,Muži,Počet cest (v tis.),Zahraniční,358.03964065
Česko,2023,Služební cesty,Muži,Počet přenocování (v tis.),Domácí,651.85154949
Česko,2023,Služební cesty,Muži,Počet přenocování (v tis.),Zahraniční,1047.3094922
Česko,2023,Služební cesty,Muži,Náklady (mil. Kč),Domácí,1456.8634107
Česko,2023,Služební cesty,Muži,Náklady (mil. Kč),Zahraniční,6365.190163
Česko,2023,Služební cesty,Ženy,Počet cest (v tis.),Domácí,247.87010416
Česko,2023,Služební cesty,Ženy,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Ženy,Počet přenocování (v tis.),Domácí,398.67466439
Česko,2023,Služební cesty,Ženy,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Ženy,Náklady (mil. Kč),Domácí,850.92502394
Česko,2023,Služební cesty,Ženy,Náklady (mil. Kč),Zahraniční,
