"Kraje, SO ORP",Ukazatel,Odvětví ekonomické činnosti CZ-NACE,Čtvrtletí,value
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,4. čtvrtletí 2023,55889.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,3. čtvrtletí 2023,55524.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,2. čtvrtletí 2023,54883.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,1. čtvrtletí 2023,55089.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,4. čtvrtletí 2022,56406.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,3. čtvrtletí 2022,55929.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,2. čtvrtletí 2022,55304.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,1. čtvrtletí 2022,54565.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,4. čtvrtletí 2021,54020.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,3. čtvrtletí 2021,53477.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,2. čtvrtletí 2021,53057.0
Hlavní město Praha,Počet ekonomických subjektů celkem,B-E Průmysl celkem,1. čtvrtletí 2021,52720.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,3. čtvrtletí 2025,59058.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,2. čtvrtletí 2025,58134.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,1. čtvrtletí 2025,57166.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,4. čtvrtletí 2024,56065.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,3. čtvrtletí 2024,55443.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,2. čtvrtletí 2024,54467.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,1. čtvrtletí 2024,53855.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,4. čtvrtletí 2023,53095.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,3. čtvrtletí 2023,52703.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,2. čtvrtletí 2023,52117.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,1. čtvrtletí 2023,52452.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,4. čtvrtletí 2022,53862.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,3. čtvrtletí 2022,53386.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,2. čtvrtletí 2022,52606.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,1. čtvrtletí 2022,51725.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,4. čtvrtletí 2021,51550.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,3. čtvrtletí 2021,51270.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,2. čtvrtletí 2021,51087.0
Hlavní město Praha,Počet ekonomických subjektů celkem,F Stavebnictví,1. čtvrtletí 2021,50697.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,3. čtvrtletí 2025,120619.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2. čtvrtletí 2025,121359.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1. čtvrtletí 2025,121791.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,4. čtvrtletí 2024,122661.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,3. čtvrtletí 2024,123363.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2. čtvrtletí 2024,124759.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1. čtvrtletí 2024,127153.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,4. čtvrtletí 2023,128600.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,3. čtvrtletí 2023,131834.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2. čtvrtletí 2023,134059.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1. čtvrtletí 2023,136947.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,4. čtvrtletí 2022,142726.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,3. čtvrtletí 2022,143912.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2. čtvrtletí 2022,144504.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1. čtvrtletí 2022,144161.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,4. čtvrtletí 2021,144825.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,3. čtvrtletí 2021,144870.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2. čtvrtletí 2021,145370.0
Hlavní město Praha,Počet ekonomických subjektů celkem,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1. čtvrtletí 2021,146073.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,3. čtvrtletí 2025,27460.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,2. čtvrtletí 2025,26892.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,1. čtvrtletí 2025,26250.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,4. čtvrtletí 2024,25554.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,3. čtvrtletí 2024,24793.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,2. čtvrtletí 2024,24320.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,1. čtvrtletí 2024,23839.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,4. čtvrtletí 2023,23299.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,3. čtvrtletí 2023,22803.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,2. čtvrtletí 2023,22221.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,1. čtvrtletí 2023,22115.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,4. čtvrtletí 2022,22388.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,3. čtvrtletí 2022,21944.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,2. čtvrtletí 2022,21448.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,1. čtvrtletí 2022,20831.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,4. čtvrtletí 2021,20375.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,3. čtvrtletí 2021,19631.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,2. čtvrtletí 2021,19141.0
Hlavní město Praha,Počet ekonomických subjektů celkem,H Doprava a skladování,1. čtvrtletí 2021,18613.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",3. čtvrtletí 2025,27398.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",2. čtvrtletí 2025,27126.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",1. čtvrtletí 2025,26755.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",4. čtvrtletí 2024,26493.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",3. čtvrtletí 2024,26346.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",2. čtvrtletí 2024,26090.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",1. čtvrtletí 2024,25805.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",4. čtvrtletí 2023,25625.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",3. čtvrtletí 2023,25795.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",2. čtvrtletí 2023,25622.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",1. čtvrtletí 2023,25859.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",4. čtvrtletí 2022,26697.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",3. čtvrtletí 2022,26846.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",2. čtvrtletí 2022,26862.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",1. čtvrtletí 2022,26803.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",4. čtvrtletí 2021,26784.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",3. čtvrtletí 2021,26952.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",2. čtvrtletí 2021,26950.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"I Ubytování, stravování a pohostinství",1. čtvrtletí 2021,26791.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,3. čtvrtletí 2025,44321.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,2. čtvrtletí 2025,43658.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,1. čtvrtletí 2025,42707.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,4. čtvrtletí 2024,41944.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,3. čtvrtletí 2024,41388.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,2. čtvrtletí 2024,40799.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,1. čtvrtletí 2024,39772.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,4. čtvrtletí 2023,39027.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,3. čtvrtletí 2023,37833.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,2. čtvrtletí 2023,36769.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,1. čtvrtletí 2023,36523.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,4. čtvrtletí 2022,36502.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,3. čtvrtletí 2022,35954.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,2. čtvrtletí 2022,35537.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,1. čtvrtletí 2022,34589.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,4. čtvrtletí 2021,34045.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,3. čtvrtletí 2021,33213.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,2. čtvrtletí 2021,32639.0
Hlavní město Praha,Počet ekonomických subjektů celkem,J Informační a komunikační činnosti,1. čtvrtletí 2021,32002.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,3. čtvrtletí 2025,8434.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,2. čtvrtletí 2025,8296.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,1. čtvrtletí 2025,8137.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,4. čtvrtletí 2024,8105.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,3. čtvrtletí 2024,7764.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,2. čtvrtletí 2024,7622.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,1. čtvrtletí 2024,7416.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,4. čtvrtletí 2023,7364.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,3. čtvrtletí 2023,4037.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,2. čtvrtletí 2023,3886.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,1. čtvrtletí 2023,3897.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,4. čtvrtletí 2022,3993.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,3. čtvrtletí 2022,3688.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,2. čtvrtletí 2022,3656.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,1. čtvrtletí 2022,3535.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,4. čtvrtletí 2021,3498.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,3. čtvrtletí 2021,3434.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,2. čtvrtletí 2021,3424.0
Hlavní město Praha,Počet ekonomických subjektů celkem,K Peněžnictví a pojišťovnictví,1. čtvrtletí 2021,3336.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,3. čtvrtletí 2025,71509.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,2. čtvrtletí 2025,71433.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,1. čtvrtletí 2025,70871.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,4. čtvrtletí 2024,70899.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,3. čtvrtletí 2024,70671.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,2. čtvrtletí 2024,70697.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,1. čtvrtletí 2024,70367.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,4. čtvrtletí 2023,70184.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,3. čtvrtletí 2023,70183.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,2. čtvrtletí 2023,69850.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,1. čtvrtletí 2023,70262.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,4. čtvrtletí 2022,70731.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,3. čtvrtletí 2022,70697.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,2. čtvrtletí 2022,70585.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,1. čtvrtletí 2022,69636.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,4. čtvrtletí 2021,69504.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,3. čtvrtletí 2021,69104.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,2. čtvrtletí 2021,68752.0
Hlavní město Praha,Počet ekonomických subjektů celkem,L Činnosti v oblasti nemovitostí,1. čtvrtletí 2021,66862.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",3. čtvrtletí 2025,120729.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",2. čtvrtletí 2025,120430.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",1. čtvrtletí 2025,119578.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",4. čtvrtletí 2024,119417.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",3. čtvrtletí 2024,119348.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",2. čtvrtletí 2024,118871.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",1. čtvrtletí 2024,117948.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",4. čtvrtletí 2023,117613.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",3. čtvrtletí 2023,117635.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",2. čtvrtletí 2023,116748.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",1. čtvrtletí 2023,118145.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",4. čtvrtletí 2022,121332.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",3. čtvrtletí 2022,121705.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",2. čtvrtletí 2022,121567.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",1. čtvrtletí 2022,120860.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",4. čtvrtletí 2021,120985.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",3. čtvrtletí 2021,120268.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",2. čtvrtletí 2021,120099.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"M Profesní, vědecké a technické činnosti",1. čtvrtletí 2021,119638.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,3. čtvrtletí 2025,25069.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,2. čtvrtletí 2025,24831.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,1. čtvrtletí 2025,24344.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,4. čtvrtletí 2024,24016.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,3. čtvrtletí 2024,23627.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,2. čtvrtletí 2024,23369.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,1. čtvrtletí 2024,22719.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,4. čtvrtletí 2023,22421.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,3. čtvrtletí 2023,22016.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,2. čtvrtletí 2023,21433.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,1. čtvrtletí 2023,21587.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,4. čtvrtletí 2022,22181.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,3. čtvrtletí 2022,21769.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,2. čtvrtletí 2022,21571.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,1. čtvrtletí 2022,20912.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,4. čtvrtletí 2021,20079.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,3. čtvrtletí 2021,18939.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,2. čtvrtletí 2021,18599.0
Hlavní město Praha,Počet ekonomických subjektů celkem,N Administrativní a podpůrné činnosti,1. čtvrtletí 2021,17995.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,3. čtvrtletí 2025,283.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,2. čtvrtletí 2025,281.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,1. čtvrtletí 2025,279.0
