Území,Měsíce,Ukazatel,value
Česko,prosinec 2024,Živě narození na 1 000 obyvatel,7.0789876459
Česko,prosinec 2024,Potraty na 1 000 obyvatel,
Česko,prosinec 2024,UPT na 1 000 obyvatel,
Česko,prosinec 2024,Zemřelí na 1 000 obyvatel,11.0140433072
Česko,prosinec 2024,Přistěhovalí na 1 000 obyvatel,6.3095089399
Česko,prosinec 2024,Vystěhovalí na 1 000 obyvatel,1.6958834492
Česko,prosinec 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.9350556613
Česko,prosinec 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,4.6136254907
Česko,prosinec 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,0.6785698294
Česko,prosinec 2024,Kojenecká úmrtnost,4.4335728482
Česko,prosinec 2024,Novorozenecká úmrtnost,3.5162819141
Česko,listopad 2024,Sňatky na 1 000 obyvatel,1.8267498842
Česko,listopad 2024,Rozvody na 1 000 obyvatel,1.983360407
Česko,listopad 2024,Živě narození na 1 000 obyvatel,7.2286942754
Česko,listopad 2024,Potraty na 1 000 obyvatel,
Česko,listopad 2024,UPT na 1 000 obyvatel,
Česko,listopad 2024,Zemřelí na 1 000 obyvatel,10.2635824785
Česko,listopad 2024,Přistěhovalí na 1 000 obyvatel,11.5153480146
Česko,listopad 2024,Vystěhovalí na 1 000 obyvatel,2.1321404037
Česko,listopad 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.0348882032
Česko,listopad 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,9.3832076109
Česko,listopad 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,6.3483194077
Česko,listopad 2024,Kojenecká úmrtnost,3.7140204271
Česko,listopad 2024,Novorozenecká úmrtnost,2.9402661715
Česko,říjen 2024,Sňatky na 1 000 obyvatel,3.5084177499
Česko,říjen 2024,Rozvody na 1 000 obyvatel,1.9512866622
Česko,říjen 2024,Živě narození na 1 000 obyvatel,7.4066596943
Česko,říjen 2024,Potraty na 1 000 obyvatel,
Česko,říjen 2024,UPT na 1 000 obyvatel,
Česko,říjen 2024,Zemřelí na 1 000 obyvatel,10.7862188911
Česko,říjen 2024,Přistěhovalí na 1 000 obyvatel,12.3000361794
Česko,říjen 2024,Vystěhovalí na 1 000 obyvatel,8.8771631833
Česko,říjen 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.3795591968
Česko,říjen 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,3.4228729961
Česko,říjen 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,0.0433137994
Česko,říjen 2024,Kojenecká úmrtnost,2.1929824561
Česko,říjen 2024,Novorozenecká úmrtnost,1.3157894737
Česko,září 2024,Sňatky na 1 000 obyvatel,7.163937614
Česko,září 2024,Rozvody na 1 000 obyvatel,1.9392539652
Česko,září 2024,Živě narození na 1 000 obyvatel,7.7760391252
Česko,září 2024,Potraty na 1 000 obyvatel,
Česko,září 2024,UPT na 1 000 obyvatel,
Česko,září 2024,Zemřelí na 1 000 obyvatel,10.1360429408
Česko,září 2024,Přistěhovalí na 1 000 obyvatel,13.7090596234
Česko,září 2024,Vystěhovalí na 1 000 obyvatel,9.7410304482
Česko,září 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.3600038157
Česko,září 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,3.9680291751
Česko,září 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,1.6080253595
Česko,září 2024,Kojenecká úmrtnost,1.2951503813
Česko,září 2024,Novorozenecká úmrtnost,0.7195279896
Česko,srpen 2024,Sňatky na 1 000 obyvatel,8.4120686888
Česko,srpen 2024,Rozvody na 1 000 obyvatel,1.6488304629
Česko,srpen 2024,Živě narození na 1 000 obyvatel,8.1943190679
Česko,srpen 2024,Potraty na 1 000 obyvatel,
Česko,srpen 2024,UPT na 1 000 obyvatel,
Česko,srpen 2024,Zemřelí na 1 000 obyvatel,9.8550661767
Česko,srpen 2024,Přistěhovalí na 1 000 obyvatel,11.8169794279
Česko,srpen 2024,Vystěhovalí na 1 000 obyvatel,2.7039952926
Česko,srpen 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.6607471088
Česko,srpen 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,9.1129841353
Česko,srpen 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,7.4522370265
Česko,srpen 2024,Kojenecká úmrtnost,1.8508725542
Česko,srpen 2024,Novorozenecká úmrtnost,1.3220518244
Česko,červenec 2024,Sňatky na 1 000 obyvatel,5.9050215965
Česko,červenec 2024,Rozvody na 1 000 obyvatel,1.8418637218
Česko,červenec 2024,Živě narození na 1 000 obyvatel,8.2910969653
Česko,červenec 2024,Potraty na 1 000 obyvatel,
Česko,červenec 2024,UPT na 1 000 obyvatel,
Česko,červenec 2024,Zemřelí na 1 000 obyvatel,9.7220917344
Česko,červenec 2024,Přistěhovalí na 1 000 obyvatel,13.061079529
Česko,červenec 2024,Vystěhovalí na 1 000 obyvatel,2.6202381492
Česko,červenec 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.4309947691
Česko,červenec 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,10.4408413798
Česko,červenec 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,9.0098466107
Česko,červenec 2024,Kojenecká úmrtnost,2.6150627615
Česko,červenec 2024,Novorozenecká úmrtnost,1.8305439331
Česko,červen 2024,Sňatky na 1 000 obyvatel,9.9291070732
Česko,červen 2024,Rozvody na 1 000 obyvatel,1.9591465362
Česko,červen 2024,Živě narození na 1 000 obyvatel,7.8108079008
Česko,červen 2024,Potraty na 1 000 obyvatel,
Česko,červen 2024,UPT na 1 000 obyvatel,
Česko,červen 2024,Zemřelí na 1 000 obyvatel,9.7262435017
Česko,červen 2024,Přistěhovalí na 1 000 obyvatel,6.8323554259
Česko,červen 2024,Vystěhovalí na 1 000 obyvatel,1.8156850049
Česko,červen 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.9154356009
Česko,červen 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,5.016670421
Česko,červen 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,3.1012348201
Česko,červen 2024,Kojenecká úmrtnost,1.4349261013
Česko,červen 2024,Novorozenecká úmrtnost,1.0044482709
Česko,květen 2024,Sňatky na 1 000 obyvatel,3.7832738433
Česko,květen 2024,Rozvody na 1 000 obyvatel,1.9665209994
Česko,květen 2024,Živě narození na 1 000 obyvatel,7.9496502874
Česko,květen 2024,Potraty na 1 000 obyvatel,
Česko,květen 2024,UPT na 1 000 obyvatel,
Česko,květen 2024,Zemřelí na 1 000 obyvatel,9.4581846082
Česko,květen 2024,Přistěhovalí na 1 000 obyvatel,16.4365124373
Česko,květen 2024,Vystěhovalí na 1 000 obyvatel,4.0437402008
Česko,květen 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.5085343208
Česko,květen 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,12.3927722365
Česko,květen 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,10.8842379157
Česko,květen 2024,Kojenecká úmrtnost,1.7747440273
Česko,květen 2024,Novorozenecká úmrtnost,1.5017064846
Česko,duben 2024,Sňatky na 1 000 obyvatel,3.6428684181
Česko,duben 2024,Rozvody na 1 000 obyvatel,2.1255677091
Česko,duben 2024,Živě narození na 1 000 obyvatel,7.8883925171
Česko,duben 2024,Potraty na 1 000 obyvatel,
Česko,duben 2024,UPT na 1 000 obyvatel,
Česko,duben 2024,Zemřelí na 1 000 obyvatel,9.7502282243
Česko,duben 2024,Přistěhovalí na 1 000 obyvatel,10.4280755824
Česko,duben 2024,Vystěhovalí na 1 000 obyvatel,2.1670914711
Česko,duben 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.8618357072
Česko,duben 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,8.2609841113
Česko,duben 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,6.3991484041
Česko,duben 2024,Kojenecká úmrtnost,1.7072129748
Česko,duben 2024,Novorozenecká úmrtnost,0.8536064874
Česko,březen 2024,Sňatky na 1 000 obyvatel,1.4671116734
Česko,březen 2024,Rozvody na 1 000 obyvatel,1.7457869875
Česko,březen 2024,Živě narození na 1 000 obyvatel,7.7486918093
Česko,březen 2024,Potraty na 1 000 obyvatel,
Česko,březen 2024,UPT na 1 000 obyvatel,
Česko,březen 2024,Zemřelí na 1 000 obyvatel,10.0008654572
Česko,březen 2024,Přistěhovalí na 1 000 obyvatel,8.9056823159
Česko,březen 2024,Vystěhovalí na 1 000 obyvatel,50.2754122218
Česko,březen 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.2521736479
Česko,březen 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-41.3697299059
Česko,březen 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,-43.6219035538
Česko,březen 2024,Kojenecká úmrtnost,2.9387069689
Česko,březen 2024,Novorozenecká úmrtnost,1.8191995522
Česko,únor 2024,Sňatky na 1 000 obyvatel,1.4417089032
Česko,únor 2024,Rozvody na 1 000 obyvatel,1.9635473586
Česko,únor 2024,Živě narození na 1 000 obyvatel,7.9027863637
Česko,únor 2024,Potraty na 1 000 obyvatel,
Česko,únor 2024,UPT na 1 000 obyvatel,
Česko,únor 2024,Zemřelí na 1 000 obyvatel,11.4098647631
Česko,únor 2024,Přistěhovalí na 1 000 obyvatel,8.3366875183
Česko,únor 2024,Vystěhovalí na 1 000 obyvatel,2.9678838979
Česko,únor 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.5070783995
Česko,únor 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,5.3688036204
Česko,únor 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,1.861725221
Česko,únor 2024,Kojenecká úmrtnost,2.0497803807
Česko,únor 2024,Novorozenecká úmrtnost,1.4641288433
Česko,leden 2024,Sňatky na 1 000 obyvatel,0.8359236675
Česko,leden 2024,Rozvody na 1 000 obyvatel,1.7963696431
Česko,leden 2024,Živě narození na 1 000 obyvatel,7.5882811686
Česko,leden 2024,Potraty na 1 000 obyvatel,
Česko,leden 2024,UPT na 1 000 obyvatel,
Česko,leden 2024,Zemřelí na 1 000 obyvatel,11.4885364154
Česko,leden 2024,Přistěhovalí na 1 000 obyvatel,14.2735049036
Česko,leden 2024,Vystěhovalí na 1 000 obyvatel,3.7703189254
Česko,leden 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.9002552468
Česko,leden 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,10.5031859782
Česko,leden 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,6.6029307315
Česko,leden 2024,Kojenecká úmrtnost,2.1404109589
Česko,leden 2024,Novorozenecká úmrtnost,0.8561643836
Česko,prosinec 2023,Sňatky na 1 000 obyvatel,1.209815625
Česko,prosinec 2023,Rozvody na 1 000 obyvatel,1.645133211
Česko,prosinec 2023,Živě narození na 1 000 obyvatel,7.269695674
Česko,prosinec 2023,Potraty na 1 000 obyvatel,2.025360979
Česko,prosinec 2023,UPT na 1 000 obyvatel,1.215216587
Česko,prosinec 2023,Zemřelí na 1 000 obyvatel,11.69092367
Česko,prosinec 2023,Přistěhovalí na 1 000 obyvatel,7.312903375
Česko,prosinec 2023,Vystěhovalí na 1 000 obyvatel,1.881695374
