Kategorie ubytovacího zařízení;ČR, kraje;Roky;Rezidence;Ukazatel;value
HUZ celkem;Česko;2023;Slovensko;Počet hostů;860893.0
HUZ celkem;Česko;2023;Slovensko;Počet přenocování;1712603.0
HUZ celkem;Česko;2023;Slovensko;Průměrný počet přenocování ;1.9893331692
HUZ celkem;Česko;2023;Slovinsko;Počet hostů;38923.0
HUZ celkem;Česko;2023;Slovinsko;Počet přenocování;81744.0
HUZ celkem;Česko;2023;Slovinsko;Průměrný počet přenocování ;2.100146443
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Počet hostů;455262.0
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Počet přenocování;1200507.0
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Průměrný počet přenocování ;2.6369584986
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Počet hostů;40192.0
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Počet přenocování;102591.0
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Průměrný počet přenocování ;2.5525228901
HUZ celkem;Česko;2023;Španělsko;Počet hostů;226200.0
HUZ celkem;Česko;2023;Španělsko;Počet přenocování;646305.0
HUZ celkem;Česko;2023;Španělsko;Průměrný počet přenocování ;2.8572281167
HUZ celkem;Česko;2023;Švédsko;Počet hostů;112978.0
HUZ celkem;Česko;2023;Švédsko;Počet přenocování;274606.0
HUZ celkem;Česko;2023;Švédsko;Průměrný počet přenocování ;2.43061481
HUZ celkem;Česko;2023;Švýcarsko;Počet hostů;98975.0
HUZ celkem;Česko;2023;Švýcarsko;Počet přenocování;243942.0
HUZ celkem;Česko;2023;Švýcarsko;Průměrný počet přenocování ;2.4646830008
HUZ celkem;Česko;2023;Turecko;Počet hostů;95036.0
HUZ celkem;Česko;2023;Turecko;Počet přenocování;221459.0
HUZ celkem;Česko;2023;Turecko;Průměrný počet přenocování ;2.3302643209
HUZ celkem;Česko;2023;Ukrajina;Počet hostů;333862.0
HUZ celkem;Česko;2023;Ukrajina;Počet přenocování;703596.0
HUZ celkem;Česko;2023;Ukrajina;Průměrný počet přenocování ;2.1074455913
HUZ celkem;Česko;2023;Ostatní evropské země;Počet hostů;107310.0
HUZ celkem;Česko;2023;Ostatní evropské země;Počet přenocování;240269.0
HUZ celkem;Česko;2023;Ostatní evropské země;Průměrný počet přenocování ;2.2390177989
HUZ celkem;Česko;2023;Kanada;Počet hostů;69150.0
HUZ celkem;Česko;2023;Kanada;Počet přenocování;187228.0
HUZ celkem;Česko;2023;Kanada;Průměrný počet přenocování ;2.7075632683
HUZ celkem;Česko;2023;Spojené státy;Počet hostů;489261.0
HUZ celkem;Česko;2023;Spojené státy;Počet přenocování;1271068.0
HUZ celkem;Česko;2023;Spojené státy;Průměrný počet přenocování ;2.5979344358
HUZ celkem;Česko;2023;Brazílie;Počet hostů;47735.0
HUZ celkem;Česko;2023;Brazílie;Počet přenocování;122383.0
HUZ celkem;Česko;2023;Brazílie;Průměrný počet přenocování ;2.5638001466
HUZ celkem;Česko;2023;Mexiko;Počet hostů;46264.0
HUZ celkem;Česko;2023;Mexiko;Počet přenocování;109309.0
HUZ celkem;Česko;2023;Mexiko;Průměrný počet přenocování ;2.3627226353
HUZ celkem;Česko;2023;Argentina;Počet hostů;15992.0
HUZ celkem;Česko;2023;Argentina;Počet přenocování;39832.0
HUZ celkem;Česko;2023;Argentina;Průměrný počet přenocování ;2.4907453727
HUZ celkem;Česko;2023;Ostatní americké země;Počet hostů;56802.0
HUZ celkem;Česko;2023;Ostatní americké země;Počet přenocování;135975.0
HUZ celkem;Česko;2023;Ostatní americké země;Průměrný počet přenocování ;2.3938417661
HUZ celkem;Česko;2023;Čína;Počet hostů;89628.0
HUZ celkem;Česko;2023;Čína;Počet přenocování;177009.0
HUZ celkem;Česko;2023;Čína;Průměrný počet přenocování ;1.9749297095
HUZ celkem;Česko;2023;Indie;Počet hostů;70665.0
HUZ celkem;Česko;2023;Indie;Počet přenocování;170663.0
HUZ celkem;Česko;2023;Indie;Průměrný počet přenocování ;2.4150994127
HUZ celkem;Česko;2023;Izrael;Počet hostů;117368.0
HUZ celkem;Česko;2023;Izrael;Počet přenocování;448228.0
HUZ celkem;Česko;2023;Izrael;Průměrný počet přenocování ;3.8189966601
HUZ celkem;Česko;2023;Japonsko;Počet hostů;53256.0
HUZ celkem;Česko;2023;Japonsko;Počet přenocování;112514.0
HUZ celkem;Česko;2023;Japonsko;Průměrný počet přenocování ;2.1127009163
HUZ celkem;Česko;2023;Korejská republika;Počet hostů;238138.0
HUZ celkem;Česko;2023;Korejská republika;Počet přenocování;380962.0
HUZ celkem;Česko;2023;Korejská republika;Průměrný počet přenocování ;1.5997530843
HUZ celkem;Česko;2023;Tchaj-wan;Počet hostů;141521.0
HUZ celkem;Česko;2023;Tchaj-wan;Počet přenocování;235974.0
HUZ celkem;Česko;2023;Tchaj-wan;Průměrný počet přenocování ;1.6674133168
HUZ celkem;Česko;2023;Saúdská Arábie;Počet hostů;27859.0
HUZ celkem;Česko;2023;Saúdská Arábie;Počet přenocování;105037.0
HUZ celkem;Česko;2023;Saúdská Arábie;Průměrný počet přenocování ;3.7703076205
HUZ celkem;Česko;2023;Spojené arabské emiráty;Počet hostů;24979.0
HUZ celkem;Česko;2023;Spojené arabské emiráty;Počet přenocování;69182.0
HUZ celkem;Česko;2023;Spojené arabské emiráty;Průměrný počet přenocování ;2.7696064694
HUZ celkem;Česko;2023;Thajsko;Počet hostů;18683.0
HUZ celkem;Česko;2023;Thajsko;Počet přenocování;30657.0
HUZ celkem;Česko;2023;Thajsko;Průměrný počet přenocování ;1.6409034952
HUZ celkem;Česko;2023;Kazachstán;Počet hostů;14372.0
HUZ celkem;Česko;2023;Kazachstán;Počet přenocování;65098.0
HUZ celkem;Česko;2023;Kazachstán;Průměrný počet přenocování ;4.5295018091
HUZ celkem;Česko;2023;Ostatní asijské země;Počet hostů;183322.0
HUZ celkem;Česko;2023;Ostatní asijské země;Počet přenocování;486197.0
HUZ celkem;Česko;2023;Ostatní asijské země;Průměrný počet přenocování ;2.6521475873
HUZ celkem;Česko;2023;Jižní Afrika;Počet hostů;8899.0
HUZ celkem;Česko;2023;Jižní Afrika;Počet přenocování;24170.0
HUZ celkem;Česko;2023;Jižní Afrika;Průměrný počet přenocování ;2.7160355096
HUZ celkem;Česko;2023;Ostatní africké země;Počet hostů;29745.0
HUZ celkem;Česko;2023;Ostatní africké země;Počet přenocování;83813.0
HUZ celkem;Česko;2023;Ostatní africké země;Průměrný počet přenocování ;2.8177172634
HUZ celkem;Česko;2023;Austrálie;Počet hostů;72491.0
HUZ celkem;Česko;2023;Austrálie;Počet přenocování;185528.0
HUZ celkem;Česko;2023;Austrálie;Průměrný počet přenocování ;2.5593246058
HUZ celkem;Česko;2023;Nový Zéland;Počet hostů;11341.0
HUZ celkem;Česko;2023;Nový Zéland;Počet přenocování;27351.0
HUZ celkem;Česko;2023;Nový Zéland;Průměrný počet přenocování ;2.4116920906
HUZ celkem;Česko;2023;Oceánie;Počet hostů;4036.0
HUZ celkem;Česko;2023;Oceánie;Počet přenocování;8019.0
HUZ celkem;Česko;2023;Oceánie;Průměrný počet přenocování ;1.9868681863
