Území;Ukazatel;Druh paliva;Roky;value
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2023;518.497
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2022;863.686
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2021;1501.0
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2020;1025.0
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2019;2032.0
Česko;Vytěžené množství (kilotuna);Černé uhlí vhodné pro koksování;2018;2240.0
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2023;850.648
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2022;819.477
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2021;678.0
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2020;1120.0
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2019;1400.0
Česko;Vytěžené množství (kilotuna);Černé uhlí energetické;2018;2141.0
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2023;28663.173
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2022;33388.135
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2021;29279.0
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2020;29433.0
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2019;37471.0
Česko;Vytěžené množství (kilotuna);Hnědé uhlí a lignit;2018;39191.0
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2023;15331.952
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2022;25573.733
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2021;44940.0
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2020;29853.0
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2019;58065.0
Česko;Vytěžené množství (TJ);Černé uhlí vhodné pro koksování;2018;64075.0
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2023;19403.289
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2022;19773.991
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2021;16200.0
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2020;27625.0
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2019;34825.0
Česko;Vytěžené množství (TJ);Černé uhlí energetické;2018;51994.0
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2023;371883.303
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2022;430949.204
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2021;377441.0
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2020;368472.0
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2019;466514.0
Česko;Vytěžené množství (TJ);Hnědé uhlí a lignit;2018;494394.0
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2023;29.5699917261
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2022;29.6099890469
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2021;29.94
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2020;29.12
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2019;28.57
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí vhodné pro koksování;2018;28.61
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2023;22.8100095457
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2022;24.130013411
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2021;23.89
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2020;24.66
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2019;24.88
Česko;Výhřevnost paliva (GJ na tunu);Černé uhlí energetické;2018;24.28
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2023;12.97425456
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2022;12.9072559459
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2021;12.891
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2020;12.519
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2019;12.45
Česko;Výhřevnost paliva (GJ na tunu);Hnědé uhlí a lignit;2018;12.615
