Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2021,Kraj Vysočina,Domácnosti tvořené 2 a více rodinami,4583
Počet hospodařících domácností,2021,Kraj Vysočina,Nerodinné domácnosti celkem,73332
Počet hospodařících domácností,2021,Kraj Vysočina,Domácnosti jednotlivce,70547
Počet hospodařících domácností,2021,Kraj Vysočina,Vícečlenné nerodinné domácnosti,2785
Počet hospodařících domácností,2021,Jihomoravský kraj,Domácnosti celkem,529939
Počet hospodařících domácností,2021,Jihomoravský kraj,Rodinné domácnosti celkem,323350
Počet hospodařících domácností,2021,Jihomoravský kraj,Domácnosti tvořené 1 rodinou ,313064
Počet hospodařících domácností,2021,Jihomoravský kraj,Domácnosti tvořené 2 a více rodinami,10286
Počet hospodařících domácností,2021,Jihomoravský kraj,Nerodinné domácnosti celkem,206589
Počet hospodařících domácností,2021,Jihomoravský kraj,Domácnosti jednotlivce,195401
Počet hospodařících domácností,2021,Jihomoravský kraj,Vícečlenné nerodinné domácnosti,11188
Počet hospodařících domácností,2021,Olomoucký kraj,Domácnosti celkem,280121
Počet hospodařících domácností,2021,Olomoucký kraj,Rodinné domácnosti celkem,170521
Počet hospodařících domácností,2021,Olomoucký kraj,Domácnosti tvořené 1 rodinou ,166342
Počet hospodařících domácností,2021,Olomoucký kraj,Domácnosti tvořené 2 a více rodinami,4179
Počet hospodařících domácností,2021,Olomoucký kraj,Nerodinné domácnosti celkem,109600
Počet hospodařících domácností,2021,Olomoucký kraj,Domácnosti jednotlivce,105060
Počet hospodařících domácností,2021,Olomoucký kraj,Vícečlenné nerodinné domácnosti,4540
Počet hospodařících domácností,2021,Zlínský kraj,Domácnosti celkem,245325
Počet hospodařících domácností,2021,Zlínský kraj,Rodinné domácnosti celkem,155266
Počet hospodařících domácností,2021,Zlínský kraj,Domácnosti tvořené 1 rodinou ,150510
Počet hospodařících domácností,2021,Zlínský kraj,Domácnosti tvořené 2 a více rodinami,4756
Počet hospodařících domácností,2021,Zlínský kraj,Nerodinné domácnosti celkem,90059
Počet hospodařících domácností,2021,Zlínský kraj,Domácnosti jednotlivce,86562
Počet hospodařících domácností,2021,Zlínský kraj,Vícečlenné nerodinné domácnosti,3497
Počet hospodařících domácností,2021,Moravskoslezský kraj,Domácnosti celkem,541276
Počet hospodařících domácností,2021,Moravskoslezský kraj,Rodinné domácnosti celkem,317080
Počet hospodařících domácností,2021,Moravskoslezský kraj,Domácnosti tvořené 1 rodinou ,310235
Počet hospodařících domácností,2021,Moravskoslezský kraj,Domácnosti tvořené 2 a více rodinami,6845
Počet hospodařících domácností,2021,Moravskoslezský kraj,Nerodinné domácnosti celkem,224196
Počet hospodařících domácností,2021,Moravskoslezský kraj,Domácnosti jednotlivce,215727
Počet hospodařících domácností,2021,Moravskoslezský kraj,Vícečlenné nerodinné domácnosti,8469
