Území;Ukazatel;Odvětví CZ-NACE;Čtvrtletí;value
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;3. čtvrtletí 2022;4054
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2. čtvrtletí 2022;3811
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;1. čtvrtletí 2022;4190
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;4. čtvrtletí 2021;3195
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;1. čtvrtletí 2025;4663
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;4. čtvrtletí 2024;3238
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;3. čtvrtletí 2024;4431
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2. čtvrtletí 2024;3979
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;1. čtvrtletí 2024;3895
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;4. čtvrtletí 2023;2725
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;3. čtvrtletí 2023;3429
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2. čtvrtletí 2023;3389
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;1. čtvrtletí 2023;3935
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;4. čtvrtletí 2022;3243
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;3. čtvrtletí 2022;3965
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2. čtvrtletí 2022;3557
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;1. čtvrtletí 2022;3124
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;4. čtvrtletí 2021;2194
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2025;2658
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2024;2357
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2024;2323
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2024;2293
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2024;2754
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2023;2039
