Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Pardubický kraj,25.9132682366
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Kraj Vysočina,24.3030426511
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Jihomoravský kraj,31.2293403202
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Olomoucký kraj,23.9971639845
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Zlínský kraj,31.5241770757
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Moravskoslezský kraj,27.8257461679
Hotely a penziony,Čisté využití lůžek (%),září 2023,Česko,41.0336393257
Hotely a penziony,Čisté využití lůžek (%),září 2023,Hlavní město Praha,62.4463392445
Hotely a penziony,Čisté využití lůžek (%),září 2023,Středočeský kraj,32.6795025724
Hotely a penziony,Čisté využití lůžek (%),září 2023,Jihočeský kraj,32.4518412147
Hotely a penziony,Čisté využití lůžek (%),září 2023,Plzeňský kraj,36.6893374443
Hotely a penziony,Čisté využití lůžek (%),září 2023,Karlovarský kraj,50.7802639198
Hotely a penziony,Čisté využití lůžek (%),září 2023,Ústecký kraj,29.6888295266
Hotely a penziony,Čisté využití lůžek (%),září 2023,Liberecký kraj,25.6384239166
Hotely a penziony,Čisté využití lůžek (%),září 2023,Královéhradecký kraj,30.6143045246
Hotely a penziony,Čisté využití lůžek (%),září 2023,Pardubický kraj,31.1736946749
Hotely a penziony,Čisté využití lůžek (%),září 2023,Kraj Vysočina,30.1045816032
Hotely a penziony,Čisté využití lůžek (%),září 2023,Jihomoravský kraj,38.9796368233
Hotely a penziony,Čisté využití lůžek (%),září 2023,Olomoucký kraj,29.9377910685
Hotely a penziony,Čisté využití lůžek (%),září 2023,Zlínský kraj,39.1443751484
Hotely a penziony,Čisté využití lůžek (%),září 2023,Moravskoslezský kraj,33.1036243437
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Česko,49.3534627779
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Hlavní město Praha,68.055969303
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Středočeský kraj,41.8346414556
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Jihočeský kraj,47.3668269032
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Plzeňský kraj,42.3781761789
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Karlovarský kraj,53.0193983694
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Ústecký kraj,37.005633156
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Liberecký kraj,42.0412308317
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Královéhradecký kraj,43.1583008495
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Pardubický kraj,41.7174304963
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Kraj Vysočina,40.3832803978
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Jihomoravský kraj,45.7365031407
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Olomoucký kraj,37.5989864488
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Zlínský kraj,47.2171210476
Hotely a penziony,Čisté využití lůžek (%),srpen 2023,Moravskoslezský kraj,39.0401483789
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Česko,47.8455189812
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Hlavní město Praha,63.8402108617
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Středočeský kraj,41.186942883
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Jihočeský kraj,49.4803480751
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Plzeňský kraj,43.2122546527
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Karlovarský kraj,50.9848351364
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Ústecký kraj,38.2155495611
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Liberecký kraj,38.4239147078
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Královéhradecký kraj,38.232592201
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Pardubický kraj,41.6885189615
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Kraj Vysočina,38.7550087628
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Jihomoravský kraj,46.4055156056
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Olomoucký kraj,36.2991874751
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Zlínský kraj,47.1728227599
Hotely a penziony,Čisté využití lůžek (%),červenec 2023,Moravskoslezský kraj,40.2921230556
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Česko,40.0832538034
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Hlavní město Praha,58.9556988428
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Středočeský kraj,34.2467948476
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Jihočeský kraj,35.6471455327
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Plzeňský kraj,34.8142348989
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Karlovarský kraj,45.2500021668
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Ústecký kraj,28.6487058139
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Liberecký kraj,29.5015348776
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Královéhradecký kraj,28.3544867622
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Pardubický kraj,33.6532565851
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Kraj Vysočina,28.7518770684
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Jihomoravský kraj,36.9948557442
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Olomoucký kraj,29.289486533
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Zlínský kraj,37.4102608026
Hotely a penziony,Čisté využití lůžek (%),červen 2023,Moravskoslezský kraj,33.7784077504
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Česko,38.0009458619
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Hlavní město Praha,57.0584186213
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Středočeský kraj,32.8915633016
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Jihočeský kraj,29.8696752554
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Plzeňský kraj,31.2550998891
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Karlovarský kraj,46.4287198584
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Ústecký kraj,30.0838318427
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Liberecký kraj,27.9886934753
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Královéhradecký kraj,27.3472439608
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Pardubický kraj,31.6369856122
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Kraj Vysočina,27.8026803731
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Jihomoravský kraj,32.2445368018
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Olomoucký kraj,27.457022788
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Zlínský kraj,34.6914712154
Hotely a penziony,Čisté využití lůžek (%),květen 2023,Moravskoslezský kraj,30.6050628454
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Česko,35.581151598
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Hlavní město Praha,58.75486568
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Středočeský kraj,29.1043073872
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Jihočeský kraj,24.1348712174
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Plzeňský kraj,29.7178359441
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Karlovarský kraj,44.2384492207
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Ústecký kraj,26.0142847999
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Liberecký kraj,21.2804080402
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Královéhradecký kraj,20.7175793916
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Pardubický kraj,26.7184932265
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Kraj Vysočina,22.4452888039
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Jihomoravský kraj,29.6073728905
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Olomoucký kraj,22.6050689295
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Zlínský kraj,30.7389208449
Hotely a penziony,Čisté využití lůžek (%),duben 2023,Moravskoslezský kraj,28.8381402797
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Česko,30.2829484146
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Hlavní město Praha,45.909978923
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Středočeský kraj,22.7629302769
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Jihočeský kraj,19.6818821025
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Plzeňský kraj,27.9488839446
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Karlovarský kraj,38.4683351595
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Ústecký kraj,16.3724390388
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Liberecký kraj,25.3916706826
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Královéhradecký kraj,28.079499377
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Pardubický kraj,25.0471955885
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Kraj Vysočina,19.625505355
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Jihomoravský kraj,21.4165541417
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Olomoucký kraj,21.3354880048
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Zlínský kraj,27.303267256
Hotely a penziony,Čisté využití lůžek (%),březen 2023,Moravskoslezský kraj,26.9477007993
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Česko,33.5419068547
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Hlavní město Praha,39.7785147946
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Středočeský kraj,21.3846035849
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Jihočeský kraj,24.4849727858
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Plzeňský kraj,32.7224161126
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Karlovarský kraj,46.2717998475
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Ústecký kraj,18.256353538
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Liberecký kraj,45.0740497808
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Královéhradecký kraj,46.7163264109
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Pardubický kraj,30.0500607579
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Kraj Vysočina,19.005705134
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Jihomoravský kraj,20.5540770448
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Olomoucký kraj,28.6932010432
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Zlínský kraj,26.3665093155
Hotely a penziony,Čisté využití lůžek (%),únor 2023,Moravskoslezský kraj,29.8024599329
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Česko,26.2545968427
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Hlavní město Praha,36.3350913511
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Středočeský kraj,16.9623699814
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Jihočeský kraj,17.1758099049
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Plzeňský kraj,24.9659309828
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Karlovarský kraj,33.084107434
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Ústecký kraj,13.3744244765
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Liberecký kraj,29.1268337574
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Královéhradecký kraj,32.4274254655
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Pardubický kraj,22.9530281711
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Kraj Vysočina,14.643039733
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Jihomoravský kraj,16.3725571592
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Olomoucký kraj,20.2799406347
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Zlínský kraj,18.1651769347
Hotely a penziony,Čisté využití lůžek (%),leden 2023,Moravskoslezský kraj,23.8996622322
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Česko,29.6074146885
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Hlavní město Praha,56.2378109862
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Středočeský kraj,18.6549833978
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Jihočeský kraj,17.4396726441
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Plzeňský kraj,21.647474387
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Karlovarský kraj,34.6075888645
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Ústecký kraj,14.6519358991
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Liberecký kraj,19.3973643987
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Královéhradecký kraj,21.8206070579
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Pardubický kraj,20.1760931863
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Kraj Vysočina,14.6978373686
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Jihomoravský kraj,18.5690918501
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Olomoucký kraj,17.6375834305
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Zlínský kraj,18.1393091336
Hotely a penziony,Čisté využití lůžek (%),prosinec 2022,Moravskoslezský kraj,21.0164746215
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Česko,28.903547333
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Hlavní město Praha,45.4256821005
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Středočeský kraj,23.9048023743
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Jihočeský kraj,19.0774895493
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Plzeňský kraj,26.0619754856
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Karlovarský kraj,39.0576243242
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Ústecký kraj,17.4583111825
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Liberecký kraj,16.6571109924
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Královéhradecký kraj,17.2259032399
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Pardubický kraj,21.6928057328
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Kraj Vysočina,18.356702868
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Jihomoravský kraj,23.5566270717
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Olomoucký kraj,20.1882110947
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Zlínský kraj,26.5251124631
Hotely a penziony,Čisté využití lůžek (%),listopad 2022,Moravskoslezský kraj,23.9391564173
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Česko,36.5980840958
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Hlavní město Praha,56.4323540149
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Středočeský kraj,29.7689093829
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Jihočeský kraj,26.341383192
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Plzeňský kraj,31.5002109129
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Karlovarský kraj,47.5951478805
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Ústecký kraj,25.1217242148
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Liberecký kraj,24.8753423348
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Královéhradecký kraj,26.6247090201
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Pardubický kraj,28.1793949651
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Kraj Vysočina,25.2255722604
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Jihomoravský kraj,30.6735166223
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Olomoucký kraj,24.805240335
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Zlínský kraj,32.2895235768
Hotely a penziony,Čisté využití lůžek (%),říjen 2022,Moravskoslezský kraj,29.6274491703
Hotely a penziony,Čisté využití lůžek (%),září 2022,Česko,36.4163518952
Hotely a penziony,Čisté využití lůžek (%),září 2022,Hlavní město Praha,52.8050966091
Hotely a penziony,Čisté využití lůžek (%),září 2022,Středočeský kraj,30.362173513
Hotely a penziony,Čisté využití lůžek (%),září 2022,Jihočeský kraj,28.2328890661
Hotely a penziony,Čisté využití lůžek (%),září 2022,Plzeňský kraj,32.6776767055
Hotely a penziony,Čisté využití lůžek (%),září 2022,Karlovarský kraj,45.93416712
Hotely a penziony,Čisté využití lůžek (%),září 2022,Ústecký kraj,25.8770260451
Hotely a penziony,Čisté využití lůžek (%),září 2022,Liberecký kraj,23.5782001332
Hotely a penziony,Čisté využití lůžek (%),září 2022,Královéhradecký kraj,26.5083790045
Hotely a penziony,Čisté využití lůžek (%),září 2022,Pardubický kraj,31.9665725981
Hotely a penziony,Čisté využití lůžek (%),září 2022,Kraj Vysočina,28.0503599863
Hotely a penziony,Čisté využití lůžek (%),září 2022,Jihomoravský kraj,35.7798910032
Hotely a penziony,Čisté využití lůžek (%),září 2022,Olomoucký kraj,27.2516208366
Hotely a penziony,Čisté využití lůžek (%),září 2022,Zlínský kraj,37.2224176692
Hotely a penziony,Čisté využití lůžek (%),září 2022,Moravskoslezský kraj,31.8149842019
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Česko,47.2357794652
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Hlavní město Praha,60.2684764393
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Středočeský kraj,42.4412619148
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Jihočeský kraj,48.7004768913
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Plzeňský kraj,41.2840471247
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Karlovarský kraj,50.7090795158
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Ústecký kraj,34.4731669415
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Liberecký kraj,39.9974547685
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Královéhradecký kraj,41.4318806704
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Pardubický kraj,43.514340838
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Kraj Vysočina,40.2013048497
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Jihomoravský kraj,45.922305796
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Olomoucký kraj,39.562344323
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Zlínský kraj,47.2944160571
Hotely a penziony,Čisté využití lůžek (%),srpen 2022,Moravskoslezský kraj,39.2415801594
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Česko,45.4685525123
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Hlavní město Praha,55.5636102228
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Středočeský kraj,39.8185547855
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Jihočeský kraj,48.8848928113
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Plzeňský kraj,38.5674985695
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Karlovarský kraj,48.1753206465
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Ústecký kraj,35.7259902255
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Liberecký kraj,38.7280532187
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Královéhradecký kraj,39.4026930878
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Pardubický kraj,42.0771020146
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Kraj Vysočina,39.5506203276
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Jihomoravský kraj,46.3696944391
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Olomoucký kraj,38.5455850131
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Zlínský kraj,47.3978396088
Hotely a penziony,Čisté využití lůžek (%),červenec 2022,Moravskoslezský kraj,40.7933541696
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Česko,37.263701291
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Hlavní město Praha,53.1217282339
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Středočeský kraj,32.4889624814
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Jihočeský kraj,32.557597391
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Plzeňský kraj,31.8355147892
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Karlovarský kraj,39.3515421029
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Ústecký kraj,28.2772569449
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Liberecký kraj,27.9461820357
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Královéhradecký kraj,28.6745200875
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Pardubický kraj,34.1775383804
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Kraj Vysočina,29.2049905661
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Jihomoravský kraj,34.0407658354
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Olomoucký kraj,30.3472145336
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Zlínský kraj,37.559090919
Hotely a penziony,Čisté využití lůžek (%),červen 2022,Moravskoslezský kraj,32.9443440702
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Česko,32.8493423501
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Hlavní město Praha,48.3072871016
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Středočeský kraj,29.0349883062
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Jihočeský kraj,25.422347315
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Plzeňský kraj,28.8313999804
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Karlovarský kraj,36.6631196619
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Ústecký kraj,23.8475499093
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Liberecký kraj,24.1286377926
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Královéhradecký kraj,23.7920911717
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Pardubický kraj,28.0742939449
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Kraj Vysočina,26.1215906543
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Jihomoravský kraj,29.6029524249
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Olomoucký kraj,24.7613291619
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Zlínský kraj,34.6278077337
Hotely a penziony,Čisté využití lůžek (%),květen 2022,Moravskoslezský kraj,27.8045790275
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Česko,29.4506500619
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Hlavní město Praha,45.9768826131
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Středočeský kraj,25.2899178472
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Jihočeský kraj,20.9649942373
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Plzeňský kraj,24.9973261624
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Karlovarský kraj,33.0286699664
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Ústecký kraj,22.8635891331
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Liberecký kraj,18.8693750929
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Královéhradecký kraj,19.5653246159
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Pardubický kraj,22.2802915124
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Kraj Vysočina,21.1025644005
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Jihomoravský kraj,26.0368186259
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Olomoucký kraj,21.9405238431
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Zlínský kraj,30.7525330554
Hotely a penziony,Čisté využití lůžek (%),duben 2022,Moravskoslezský kraj,25.2791014483
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Česko,26.0323916498
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Hlavní město Praha,32.8846784408
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Středočeský kraj,19.7909074007
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Jihočeský kraj,18.8289487507
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Plzeňský kraj,23.1857848551
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Karlovarský kraj,31.5999799531
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Ústecký kraj,15.9958027176
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Liberecký kraj,27.3272636655
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Královéhradecký kraj,31.5638256046
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Pardubický kraj,24.3252267362
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Kraj Vysočina,17.5819752854
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Jihomoravský kraj,17.5128420537
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Olomoucký kraj,23.480425709
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Zlínský kraj,28.2644942113
Hotely a penziony,Čisté využití lůžek (%),březen 2022,Moravskoslezský kraj,26.124358024
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Česko,25.9552276861
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Hlavní město Praha,24.3027159359
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Středočeský kraj,16.066716992
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Jihočeský kraj,21.029436271
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Plzeňský kraj,26.295102669
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Karlovarský kraj,30.5219676845
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Ústecký kraj,15.7236101122
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Liberecký kraj,39.6334203242
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Královéhradecký kraj,44.2704622965
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Pardubický kraj,25.8187174568
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Kraj Vysočina,15.4694879128
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Jihomoravský kraj,14.3869715746
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Olomoucký kraj,27.1614302245
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Zlínský kraj,26.0458324761
Hotely a penziony,Čisté využití lůžek (%),únor 2022,Moravskoslezský kraj,25.6451440606
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Česko,16.6201723498
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Hlavní město Praha,15.4175760688
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Středočeský kraj,10.5835307343
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Jihočeský kraj,11.9627614771
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Plzeňský kraj,17.2071347004
Hotely a penziony,Čisté využití lůžek (%),leden 2022,Karlovarský kraj,18.0495152151
