Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Středočeský kraj,20.154966036
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Jihočeský kraj,23.4423241968
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Plzeňský kraj,29.0480884283
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Karlovarský kraj,46.928985867
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Ústecký kraj,18.5640695819
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Liberecký kraj,44.5723701008
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Královéhradecký kraj,47.8918383554
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Pardubický kraj,30.2491411415
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Kraj Vysočina,19.1449657011
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Jihomoravský kraj,20.5616873087
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Olomoucký kraj,27.4533946299
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Zlínský kraj,26.5195277069
Hotely a penziony,Čisté využití lůžek (%),únor 2025,Moravskoslezský kraj,29.9720884074
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Česko,29.4190890166
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Hlavní město Praha,41.9911158969
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Středočeský kraj,17.4317540928
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Jihočeský kraj,19.0469515265
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Plzeňský kraj,24.6053196472
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Karlovarský kraj,35.2203015254
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Ústecký kraj,15.0066129372
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Liberecký kraj,34.3671090458
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Královéhradecký kraj,39.128136257
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Pardubický kraj,24.4776437284
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Kraj Vysočina,16.515079845
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Jihomoravský kraj,16.7547911082
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Olomoucký kraj,20.3802179298
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Zlínský kraj,18.7755714017
Hotely a penziony,Čisté využití lůžek (%),leden 2025,Moravskoslezský kraj,26.0241013991
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Česko,34.8144861696
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Hlavní město Praha,69.2093299466
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Středočeský kraj,21.5184686434
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Jihočeský kraj,19.1713833624
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Plzeňský kraj,24.0044766959
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Karlovarský kraj,41.08816812
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Ústecký kraj,17.1130628553
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Liberecký kraj,21.1690642637
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Královéhradecký kraj,25.0768657354
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Pardubický kraj,18.6634911986
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Kraj Vysočina,14.8746303124
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Jihomoravský kraj,20.919047619
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Olomoucký kraj,17.4556534438
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Zlínský kraj,17.4471527779
Hotely a penziony,Čisté využití lůžek (%),prosinec 2024,Moravskoslezský kraj,20.9128462599
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Česko,33.3002830576
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Hlavní město Praha,55.8090505522
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Středočeský kraj,26.5849505179
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Jihočeský kraj,21.4841482377
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Plzeňský kraj,25.7470331077
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Karlovarský kraj,43.2845899589
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Ústecký kraj,18.1393450059
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Liberecký kraj,17.2280509067
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Královéhradecký kraj,18.5472117934
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Pardubický kraj,20.7162867493
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Kraj Vysočina,19.8435373749
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Jihomoravský kraj,27.963161392
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Olomoucký kraj,20.6435600338
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Zlínský kraj,27.925332567
Hotely a penziony,Čisté využití lůžek (%),listopad 2024,Moravskoslezský kraj,25.3740702509
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Česko,40.8118395685
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Hlavní město Praha,64.2645506924
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Středočeský kraj,32.5792383323
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Jihočeský kraj,30.9602497016
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Plzeňský kraj,33.2858187314
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Karlovarský kraj,52.4164931279
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Ústecký kraj,27.0237007784
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Liberecký kraj,26.9279361183
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Královéhradecký kraj,28.6140982023
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Pardubický kraj,28.4198699806
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Kraj Vysočina,25.5512880035
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Jihomoravský kraj,33.3728429079
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Olomoucký kraj,24.4575300075
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Zlínský kraj,35.0768051489
Hotely a penziony,Čisté využití lůžek (%),říjen 2024,Moravskoslezský kraj,30.2817599624
Hotely a penziony,Čisté využití lůžek (%),září 2024,Česko,37.9868875625
Hotely a penziony,Čisté využití lůžek (%),září 2024,Hlavní město Praha,60.0304475578
Hotely a penziony,Čisté využití lůžek (%),září 2024,Středočeský kraj,31.2640264792
Hotely a penziony,Čisté využití lůžek (%),září 2024,Jihočeský kraj,29.7972668461
Hotely a penziony,Čisté využití lůžek (%),září 2024,Plzeňský kraj,32.1715031658
Hotely a penziony,Čisté využití lůžek (%),září 2024,Karlovarský kraj,48.8125556957
Hotely a penziony,Čisté využití lůžek (%),září 2024,Ústecký kraj,26.3232772866
Hotely a penziony,Čisté využití lůžek (%),září 2024,Liberecký kraj,23.4921186467
Hotely a penziony,Čisté využití lůžek (%),září 2024,Královéhradecký kraj,26.3864814335
Hotely a penziony,Čisté využití lůžek (%),září 2024,Pardubický kraj,27.3209998471
Hotely a penziony,Čisté využití lůžek (%),září 2024,Kraj Vysočina,24.7124793364
Hotely a penziony,Čisté využití lůžek (%),září 2024,Jihomoravský kraj,33.7242727248
Hotely a penziony,Čisté využití lůžek (%),září 2024,Olomoucký kraj,22.3094463758
Hotely a penziony,Čisté využití lůžek (%),září 2024,Zlínský kraj,34.4654613621
Hotely a penziony,Čisté využití lůžek (%),září 2024,Moravskoslezský kraj,29.4403662747
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Česko,50.3275918818
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Hlavní město Praha,69.4449486332
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Středočeský kraj,44.1950478917
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Jihočeský kraj,49.5927134861
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Plzeňský kraj,43.0101156483
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Karlovarský kraj,52.3715306403
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Ústecký kraj,38.2483633357
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Liberecký kraj,42.2982437111
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Královéhradecký kraj,43.1057529205
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Pardubický kraj,40.7304095075
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Kraj Vysočina,39.5010761611
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Jihomoravský kraj,47.4136972279
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Olomoucký kraj,37.0056580321
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Zlínský kraj,47.7575028981
Hotely a penziony,Čisté využití lůžek (%),srpen 2024,Moravskoslezský kraj,38.7000890849
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Česko,48.7094620269
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Hlavní město Praha,68.6048146341
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Středočeský kraj,42.0779004062
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Jihočeský kraj,48.0569142342
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Plzeňský kraj,41.5745019779
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Karlovarský kraj,49.8012054575
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Ústecký kraj,36.915218433
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Liberecký kraj,39.4184509648
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Královéhradecký kraj,40.3405765126
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Pardubický kraj,40.5818292412
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Kraj Vysočina,37.3433021286
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Jihomoravský kraj,44.7407325756
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Olomoucký kraj,34.9035162607
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Zlínský kraj,46.0998416441
Hotely a penziony,Čisté využití lůžek (%),červenec 2024,Moravskoslezský kraj,40.3329535977
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Česko,41.1173425585
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Hlavní město Praha,60.9844314339
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Středočeský kraj,35.141271603
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Jihočeský kraj,36.5015670494
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Plzeňský kraj,35.101723584
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Karlovarský kraj,45.565086108
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Ústecký kraj,30.2339952212
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Liberecký kraj,30.3002084308
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Královéhradecký kraj,31.1076728601
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Pardubický kraj,32.651026393
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Kraj Vysočina,29.3488595132
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Jihomoravský kraj,36.0394638748
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Olomoucký kraj,28.5650296867
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Zlínský kraj,38.0279800733
Hotely a penziony,Čisté využití lůžek (%),červen 2024,Moravskoslezský kraj,33.4671283529
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Česko,41.2599894363
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Hlavní město Praha,62.335846082
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Středočeský kraj,35.9351610082
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Jihočeský kraj,33.6520418524
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Plzeňský kraj,33.8058413248
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Karlovarský kraj,49.4194559173
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Ústecký kraj,30.9282159794
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Liberecký kraj,30.3791411143
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Královéhradecký kraj,30.3303652884
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Pardubický kraj,31.2569150242
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Kraj Vysočina,27.6431407853
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Jihomoravský kraj,34.2595473999
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Olomoucký kraj,28.0379705278
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Zlínský kraj,36.0155436353
Hotely a penziony,Čisté využití lůžek (%),květen 2024,Moravskoslezský kraj,33.9719633649
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Česko,33.1627743235
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Hlavní město Praha,58.090131048
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Středočeský kraj,27.6533099008
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Jihočeský kraj,21.250451031
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Plzeňský kraj,25.5996913225
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Karlovarský kraj,37.8521316919
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Ústecký kraj,21.337269942
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Liberecký kraj,18.081567812
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Královéhradecký kraj,17.6664343434
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Pardubický kraj,23.2600601912
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Kraj Vysočina,20.5361942693
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Jihomoravský kraj,26.8937993188
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Olomoucký kraj,20.4854610017
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Zlínský kraj,27.430335399
Hotely a penziony,Čisté využití lůžek (%),duben 2024,Moravskoslezský kraj,26.6805198478
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Česko,33.3843993598
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Hlavní město Praha,56.459186837
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Středočeský kraj,26.1209939867
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Jihočeský kraj,22.4825121374
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Plzeňský kraj,26.2464100013
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Karlovarský kraj,43.1219929567
