Kumulace měsíců;Kraje;Ukazatel;Směr výstavby;value
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy;Celkem;1466
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy;Nová výstavba;239
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1227
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy bytové;Celkem;950
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;183
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;767
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy nebytové;Celkem;516
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;56
srpen 2024;Hlavní město Praha;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;460
srpen 2024;Hlavní město Praha;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;31933
srpen 2024;Hlavní město Praha;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;24785
srpen 2024;Hlavní město Praha;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;7148
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;21186
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;17949
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3237
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;10747
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;6836
srpen 2024;Hlavní město Praha;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3911
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy;Celkem;5369
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;2522
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2847
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;3334
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;1541
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1793
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;2035
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;981
srpen 2024;Středočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1054
srpen 2024;Středočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;40004
srpen 2024;Středočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;30789
srpen 2024;Středočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;9215
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;17219
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;13532
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3687
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;22785
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;17257
srpen 2024;Středočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;5528
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy;Celkem;2222
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;1112
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1110
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;1176
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;530
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;646
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1046
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;582
srpen 2024;Jihočeský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;464
srpen 2024;Jihočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;13479
srpen 2024;Jihočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;9825
srpen 2024;Jihočeský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3654
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;8083
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;6400
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1683
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5396
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;3425
srpen 2024;Jihočeský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;1971
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy;Celkem;1742
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;985
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;757
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;980
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;553
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;427
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;762
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;432
srpen 2024;Plzeňský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;330
srpen 2024;Plzeňský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;13394
srpen 2024;Plzeňský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;9896
srpen 2024;Plzeňský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3498
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;7466
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;6457
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1009
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5928
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;3439
srpen 2024;Plzeňský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2489
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy;Celkem;754
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;328
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;426
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;369
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;168
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;201
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;385
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;160
srpen 2024;Karlovarský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;225
srpen 2024;Karlovarský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;8046
srpen 2024;Karlovarský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;4681
srpen 2024;Karlovarský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3365
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;1504
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;1075
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;429
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;6542
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;3606
srpen 2024;Karlovarský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2936
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy;Celkem;1798
