Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Vysočina west,Počet lůžek v hromadných ubytovacích zařízeních,6616.0
2024,HUZ celkem,Vysočina west,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,515.0
2024,HUZ celkem,Havlíčkobrodsko - Ledečsko,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Havlíčkobrodsko - Ledečsko,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Havlíčkobrodsko - Ledečsko,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Havlíčkobrodsko - Ledečsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Tepna Vysočiny,Počet hromadných ubytovacích zařízení,60.0
2024,HUZ celkem,Tepna Vysočiny,Počet pokojů v hromadných ubytovacích zařízeních,1322.0
2024,HUZ celkem,Tepna Vysočiny,Počet lůžek v hromadných ubytovacích zařízeních,3474.0
2024,HUZ celkem,Tepna Vysočiny,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,135.0
2024,HUZ celkem,Brno a okolí,Počet hromadných ubytovacích zařízení,236.0
2024,HUZ celkem,Brno a okolí,Počet pokojů v hromadných ubytovacích zařízeních,7222.0
2024,HUZ celkem,Brno a okolí,Počet lůžek v hromadných ubytovacích zařízeních,16097.0
2024,HUZ celkem,Brno a okolí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,447.0
2024,HUZ celkem,Moravský kras a okolí,Počet hromadných ubytovacích zařízení,90.0
2024,HUZ celkem,Moravský kras a okolí,Počet pokojů v hromadných ubytovacích zařízeních,1290.0
2024,HUZ celkem,Moravský kras a okolí,Počet lůžek v hromadných ubytovacích zařízeních,3779.0
2024,HUZ celkem,Moravský kras a okolí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1072.0
2024,HUZ celkem,Pálava a Lednicko-valtický areál,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Pálava a Lednicko-valtický areál,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pálava a Lednicko-valtický areál,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pálava a Lednicko-valtický areál,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Slovácko - Jihomoravský kraj,Počet hromadných ubytovacích zařízení,131.0
2024,HUZ celkem,Slovácko - Jihomoravský kraj,Počet pokojů v hromadných ubytovacích zařízeních,2414.0
2024,HUZ celkem,Slovácko - Jihomoravský kraj,Počet lůžek v hromadných ubytovacích zařízeních,6211.0
2024,HUZ celkem,Slovácko - Jihomoravský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,492.0
2024,HUZ celkem,Znojemsko a Podyjí,Počet hromadných ubytovacích zařízení,179.0
2024,HUZ celkem,Znojemsko a Podyjí,Počet pokojů v hromadných ubytovacích zařízeních,2562.0
2024,HUZ celkem,Znojemsko a Podyjí,Počet lůžek v hromadných ubytovacích zařízeních,7227.0
2024,HUZ celkem,Znojemsko a Podyjí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1210.0
2024,HUZ celkem,LVA a Hustopečsko,Počet hromadných ubytovacích zařízení,200.0
2024,HUZ celkem,LVA a Hustopečsko,Počet pokojů v hromadných ubytovacích zařízeních,3134.0
2024,HUZ celkem,LVA a Hustopečsko,Počet lůžek v hromadných ubytovacích zařízeních,8172.0
2024,HUZ celkem,LVA a Hustopečsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,298.0
2024,HUZ celkem,Pálava,Počet hromadných ubytovacích zařízení,169.0
2024,HUZ celkem,Pálava,Počet pokojů v hromadných ubytovacích zařízeních,2169.0
2024,HUZ celkem,Pálava,Počet lůžek v hromadných ubytovacích zařízeních,5902.0
2024,HUZ celkem,Pálava,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1564.0
2024,HUZ celkem,Jeseníky-západ,Počet hromadných ubytovacích zařízení,329.0
2024,HUZ celkem,Jeseníky-západ,Počet pokojů v hromadných ubytovacích zařízeních,5446.0
2024,HUZ celkem,Jeseníky-západ,Počet lůžek v hromadných ubytovacích zařízeních,15339.0
2024,HUZ celkem,Jeseníky-západ,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,779.0
2024,HUZ celkem,Střední Morava,Počet hromadných ubytovacích zařízení,204.0
2024,HUZ celkem,Střední Morava,Počet pokojů v hromadných ubytovacích zařízeních,4587.0
2024,HUZ celkem,Střední Morava,Počet lůžek v hromadných ubytovacích zařízeních,10902.0
2024,HUZ celkem,Střední Morava,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,945.0
2024,HUZ celkem,Valašsko,Počet hromadných ubytovacích zařízení,183.0
2024,HUZ celkem,Valašsko,Počet pokojů v hromadných ubytovacích zařízeních,3165.0
2024,HUZ celkem,Valašsko,Počet lůžek v hromadných ubytovacích zařízeních,8964.0
2024,HUZ celkem,Valašsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,722.0
2024,HUZ celkem,Kroměřížsko,Počet hromadných ubytovacích zařízení,68.0
2024,HUZ celkem,Kroměřížsko,Počet pokojů v hromadných ubytovacích zařízeních,1234.0
2024,HUZ celkem,Kroměřížsko,Počet lůžek v hromadných ubytovacích zařízeních,3609.0
2024,HUZ celkem,Kroměřížsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,220.0
2024,HUZ celkem,Slovácko - Zlínský kraj,Počet hromadných ubytovacích zařízení,107.0
2024,HUZ celkem,Slovácko - Zlínský kraj,Počet pokojů v hromadných ubytovacích zařízeních,1776.0
2024,HUZ celkem,Slovácko - Zlínský kraj,Počet lůžek v hromadných ubytovacích zařízeních,4536.0
2024,HUZ celkem,Slovácko - Zlínský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,587.0
2024,HUZ celkem,Zlínsko - Luhačovicko,Počet hromadných ubytovacích zařízení,159.0
2024,HUZ celkem,Zlínsko - Luhačovicko,Počet pokojů v hromadných ubytovacích zařízeních,4163.0
2024,HUZ celkem,Zlínsko - Luhačovicko,Počet lůžek v hromadných ubytovacích zařízeních,8940.0
2024,HUZ celkem,Zlínsko - Luhačovicko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,280.0
2024,HUZ celkem,Beskydy,Počet hromadných ubytovacích zařízení,189.0
2024,HUZ celkem,Beskydy,Počet pokojů v hromadných ubytovacích zařízeních,3012.0
2024,HUZ celkem,Beskydy,Počet lůžek v hromadných ubytovacích zařízeních,8456.0
2024,HUZ celkem,Beskydy,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1077.0
2024,HUZ celkem,Jeseníky-východ,Počet hromadných ubytovacích zařízení,166.0
2024,HUZ celkem,Jeseníky-východ,Počet pokojů v hromadných ubytovacích zařízeních,2346.0
2024,HUZ celkem,Jeseníky-východ,Počet lůžek v hromadných ubytovacích zařízeních,6889.0
2024,HUZ celkem,Jeseníky-východ,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,220.0
2024,HUZ celkem,Opavské Slezsko,Počet hromadných ubytovacích zařízení,67.0
2024,HUZ celkem,Opavské Slezsko,Počet pokojů v hromadných ubytovacích zařízeních,1110.0
2024,HUZ celkem,Opavské Slezsko,Počet lůžek v hromadných ubytovacích zařízeních,3301.0
2024,HUZ celkem,Opavské Slezsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,546.0
2024,HUZ celkem,Ostrava a okolí,Počet hromadných ubytovacích zařízení,77.0
2024,HUZ celkem,Ostrava a okolí,Počet pokojů v hromadných ubytovacích zařízeních,2655.0
2024,HUZ celkem,Ostrava a okolí,Počet lůžek v hromadných ubytovacích zařízeních,5533.0
2024,HUZ celkem,Ostrava a okolí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Poodří,Počet hromadných ubytovacích zařízení,38.0
2024,HUZ celkem,Poodří,Počet pokojů v hromadných ubytovacích zařízeních,831.0
2024,HUZ celkem,Poodří,Počet lůžek v hromadných ubytovacích zařízeních,2051.0
2024,HUZ celkem,Poodří,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,14.0
2024,HUZ celkem,Těšínské Slezsko,Počet hromadných ubytovacích zařízení,107.0
2024,HUZ celkem,Těšínské Slezsko,Počet pokojů v hromadných ubytovacích zařízeních,1911.0
2024,HUZ celkem,Těšínské Slezsko,Počet lůžek v hromadných ubytovacích zařízeních,4482.0
2024,HUZ celkem,Těšínské Slezsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,192.0
