Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Máchův kraj - Středočeský kraj,Počet pokojů v hromadných ubytovacích zařízeních,73.0
2024,HUZ celkem,Máchův kraj - Středočeský kraj,Počet lůžek v hromadných ubytovacích zařízeních,224.0
2024,HUZ celkem,Máchův kraj - Středočeský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Česká Kanada,Počet hromadných ubytovacích zařízení,133.0
2024,HUZ celkem,Česká Kanada,Počet pokojů v hromadných ubytovacích zařízeních,1983.0
2024,HUZ celkem,Česká Kanada,Počet lůžek v hromadných ubytovacích zařízeních,6004.0
2024,HUZ celkem,Česká Kanada,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1187.0
2024,HUZ celkem,Budějovicko,Počet hromadných ubytovacích zařízení,120.0
2024,HUZ celkem,Budějovicko,Počet pokojů v hromadných ubytovacích zařízeních,2652.0
2024,HUZ celkem,Budějovicko,Počet lůžek v hromadných ubytovacích zařízeních,6602.0
2024,HUZ celkem,Budějovicko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1042.0
2024,HUZ celkem,Český Krumlov a okolí,Počet hromadných ubytovacích zařízení,149.0
2024,HUZ celkem,Český Krumlov a okolí,Počet pokojů v hromadných ubytovacích zařízeních,1823.0
2024,HUZ celkem,Český Krumlov a okolí,Počet lůžek v hromadných ubytovacích zařízeních,4902.0
2024,HUZ celkem,Český Krumlov a okolí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1540.0
2024,HUZ celkem,Lipensko,Počet hromadných ubytovacích zařízení,192.0
2024,HUZ celkem,Lipensko,Počet pokojů v hromadných ubytovacích zařízeních,3284.0
2024,HUZ celkem,Lipensko,Počet lůžek v hromadných ubytovacích zařízeních,11208.0
2024,HUZ celkem,Lipensko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,2337.0
2024,HUZ celkem,Novohradsko-Doudlebsko,Počet hromadných ubytovacích zařízení,61.0
2024,HUZ celkem,Novohradsko-Doudlebsko,Počet pokojů v hromadných ubytovacích zařízeních,874.0
2024,HUZ celkem,Novohradsko-Doudlebsko,Počet lůžek v hromadných ubytovacích zařízeních,2497.0
2024,HUZ celkem,Novohradsko-Doudlebsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,460.0
2024,HUZ celkem,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet hromadných ubytovacích zařízení,118.0
2024,HUZ celkem,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet pokojů v hromadných ubytovacích zařízeních,2633.0
2024,HUZ celkem,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet lůžek v hromadných ubytovacích zařízeních,7741.0
2024,HUZ celkem,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1728.0
2024,HUZ celkem,PodKletí-Jihočeský venkov,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,PodKletí-Jihočeský venkov,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,PodKletí-Jihočeský venkov,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,PodKletí-Jihočeský venkov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Šumavsko,Počet hromadných ubytovacích zařízení,172.0
2024,HUZ celkem,Šumavsko,Počet pokojů v hromadných ubytovacích zařízeních,2155.0
2024,HUZ celkem,Šumavsko,Počet lůžek v hromadných ubytovacích zařízeních,6483.0
2024,HUZ celkem,Šumavsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1647.0
2024,HUZ celkem,Toulava - Jihočeský kraj,Počet hromadných ubytovacích zařízení,121.0
2024,HUZ celkem,Toulava - Jihočeský kraj,Počet pokojů v hromadných ubytovacích zařízeních,2474.0
2024,HUZ celkem,Toulava - Jihočeský kraj,Počet lůžek v hromadných ubytovacích zařízeních,7077.0
2024,HUZ celkem,Toulava - Jihočeský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1000.0
