Kategorie;Druh zařízení;ČR, kraje;Roky;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet hostů;Celkem;965243.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet hostů;Rezidenti;543258.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet hostů;Nerezidenti;421985.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet přenocování;Celkem;6487816.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet přenocování;Rezidenti;4473275.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Počet přenocování;Nerezidenti;2014541.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Průměrný počet přenocování ;Celkem;6.7214328413
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Průměrný počet přenocování ;Rezidenti;8.2341631416
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2024;Průměrný počet přenocování ;Nerezidenti;4.7739635295
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet hostů;Celkem;925893.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet hostů;Rezidenti;541462.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet hostů;Nerezidenti;384431.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet přenocování;Celkem;6413218.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet přenocování;Rezidenti;4554558.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Počet přenocování;Nerezidenti;1858660.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Průměrný počet přenocování ;Celkem;6.9265217471
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Průměrný počet přenocování ;Rezidenti;8.4115930573
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2023;Průměrný počet přenocování ;Nerezidenti;4.8348338193
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet hostů;Celkem;842020.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet hostů;Rezidenti;548530.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet hostů;Nerezidenti;293490.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet přenocování;Celkem;5916665.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet přenocování;Rezidenti;4477856.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Počet přenocování;Nerezidenti;1438809.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Průměrný počet přenocování ;Celkem;7.0267511461
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Průměrný počet přenocování ;Rezidenti;8.1633748382
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2022;Průměrný počet přenocování ;Nerezidenti;4.902412348
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet hostů;Celkem;571208.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet hostů;Rezidenti;469357.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet hostů;Nerezidenti;101851.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet přenocování;Celkem;4427776.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet přenocování;Rezidenti;3891586.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Počet přenocování;Nerezidenti;536190.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Průměrný počet přenocování ;Celkem;7.7516001176
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Průměrný počet přenocování ;Rezidenti;8.2913134352
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2021;Průměrný počet přenocování ;Nerezidenti;5.2644549391
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet hostů;Celkem;518516.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet hostů;Rezidenti;384652.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet hostů;Nerezidenti;133864.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet přenocování;Celkem;4290128.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet přenocování;Rezidenti;3509810.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Počet přenocování;Nerezidenti;780318.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Průměrný počet přenocování ;Celkem;8.273858473
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Průměrný počet přenocování ;Rezidenti;9.1246373345
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2020;Průměrný počet přenocování ;Nerezidenti;5.8291848443
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet hostů;Celkem;880134.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet hostů;Rezidenti;481883.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet hostů;Nerezidenti;398251.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet přenocování;Celkem;7407742.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet přenocování;Rezidenti;4733352.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Počet přenocování;Nerezidenti;2674390.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Průměrný počet přenocování ;Celkem;8.4166070167
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Průměrný počet přenocování ;Rezidenti;9.8226166933
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2019;Průměrný počet přenocování ;Nerezidenti;6.7153378146
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet hostů;Celkem;851002.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet hostů;Rezidenti;463606.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet hostů;Nerezidenti;387396.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet přenocování;Celkem;7321539.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet přenocování;Rezidenti;4592821.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Počet přenocování;Nerezidenti;2728718.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Průměrný počet přenocování ;Celkem;8.6034333644
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Průměrný počet přenocování ;Rezidenti;9.9067333037
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2018;Průměrný počet přenocování ;Nerezidenti;7.0437433531
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet hostů;Celkem;839127.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet hostů;Rezidenti;453778.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet hostů;Nerezidenti;385349.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet přenocování;Celkem;7376552.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet přenocování;Rezidenti;4501372.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Počet přenocování;Nerezidenti;2875180.0
