Stát,Ukazatel,Typ ceny,Měsíce,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Meziroční index,Bez očištění,114.965044434
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",117.0960162759
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",115.9504443866
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Bazický index (2021 = 100),Bez očištění,128.97700249
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",132.04241814
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",115.0424753
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Meziroční index,Bez očištění,112.1712510329
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",110.1545231853
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",110.2251265043
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Bazický index (2021 = 100),Bez očištění,125.18688698
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",120.38789966
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",112.49460797
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Meziroční index,Bez očištění,117.4494043413
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",115.2768829104
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",115.1005495072
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Bazický index (2021 = 100),Bez očištění,122.08875743
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",123.35001504
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",111.0028151
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Meziroční index,Bez očištění,111.369426579
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",113.495560491
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",113.0762107026
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Bazický index (2021 = 100),Bez očištění,110.20268524
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",111.98616485
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",107.57085581
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Meziroční index,Bez očištění,101.396739371
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.2904211866
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.5415375235
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Bazický index (2021 = 100),Bez očištění,98.13914852
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.26606401
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.34665763
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Meziroční index,Bez očištění,114.6815923628
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.5307391187
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",112.2819789416
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Bazický index (2021 = 100),Bez očištění,92.26202715
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.56064363
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",109.33144673
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Meziroční index,Bez očištění,98.8420037652
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.6855146695
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.9831067442
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Bazický index (2021 = 100),Bez očištění,66.97581815
