Roky,Ukazatel,"ČR, kraje",value
2023,Náklady práce celkem,Česko,59451.1823484487
2023,Náklady práce celkem,Hlavní město Praha,69392.0433396626
2023,Náklady práce celkem,Středočeský kraj,60721.0550744435
2023,Náklady práce celkem,Jihočeský kraj,53079.5068797128
2023,Náklady práce celkem,Plzeňský kraj,56183.4204380908
2023,Náklady práce celkem,Karlovarský kraj,50328.5363750631
2023,Náklady práce celkem,Ústecký kraj,55786.1396597312
2023,Náklady práce celkem,Liberecký kraj,53463.0322534778
2023,Náklady práce celkem,Královéhradecký kraj,53846.22021475
2023,Náklady práce celkem,Pardubický kraj,52120.6456342521
2023,Náklady práce celkem,Kraj Vysočina,53770.0352709778
2023,Náklady práce celkem,Jihomoravský kraj,56992.3092637892
2023,Náklady práce celkem,Olomoucký kraj,51972.0886805298
2023,Náklady práce celkem,Zlínský kraj,53213.6643848211
2023,Náklady práce celkem,Moravskoslezský kraj,52855.070475517
2023,Přímé náklady celkem,Česko,42802.3810007776
2023,Přímé náklady celkem,Hlavní město Praha,49683.848364897
2023,Přímé náklady celkem,Středočeský kraj,43712.007414271
2023,Přímé náklady celkem,Jihočeský kraj,38491.551915523
2023,Přímé náklady celkem,Plzeňský kraj,40551.5964530201
2023,Přímé náklady celkem,Karlovarský kraj,36556.9890265549
2023,Přímé náklady celkem,Ústecký kraj,40253.4676046079
2023,Přímé náklady celkem,Liberecký kraj,38658.1741387292
2023,Přímé náklady celkem,Královéhradecký kraj,38885.4732392018
2023,Přímé náklady celkem,Pardubický kraj,37512.1310434825
2023,Přímé náklady celkem,Kraj Vysočina,38829.6956734656
2023,Přímé náklady celkem,Jihomoravský kraj,41270.5229440691
2023,Přímé náklady celkem,Olomoucký kraj,37493.2377090267
2023,Přímé náklady celkem,Zlínský kraj,38433.329864462
2023,Přímé náklady celkem,Moravskoslezský kraj,38160.6176842069
2023,Přímé náklady - mzdy za vykonanou práci,Česko,37982.512660366
2023,Přímé náklady - mzdy za vykonanou práci,Hlavní město Praha,44369.8841881396
2023,Přímé náklady - mzdy za vykonanou práci,Středočeský kraj,38518.9472172081
2023,Přímé náklady - mzdy za vykonanou práci,Jihočeský kraj,34006.4412234776
2023,Přímé náklady - mzdy za vykonanou práci,Plzeňský kraj,35925.587690263
2023,Přímé náklady - mzdy za vykonanou práci,Karlovarský kraj,32388.767471138
2023,Přímé náklady - mzdy za vykonanou práci,Ústecký kraj,35633.0986001605
2023,Přímé náklady - mzdy za vykonanou práci,Liberecký kraj,34178.46783453
2023,Přímé náklady - mzdy za vykonanou práci,Královéhradecký kraj,34417.5844779071
2023,Přímé náklady - mzdy za vykonanou práci,Pardubický kraj,33060.4561515829
2023,Přímé náklady - mzdy za vykonanou práci,Kraj Vysočina,34273.1966368825
2023,Přímé náklady - mzdy za vykonanou práci,Jihomoravský kraj,36636.5137913961
2023,Přímé náklady - mzdy za vykonanou práci,Olomoucký kraj,33046.8837709727
2023,Přímé náklady - mzdy za vykonanou práci,Zlínský kraj,33964.8782492857
2023,Přímé náklady - mzdy za vykonanou práci,Moravskoslezský kraj,33787.5125050873
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Česko,29168.9391053282
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Hlavní město Praha,34609.9261484842
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Středočeský kraj,28783.411711671
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Jihočeský kraj,25716.5298974396
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Plzeňský kraj,27334.3032433055
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Karlovarský kraj,24922.5282067638
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Ústecký kraj,26967.4812458452
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Liberecký kraj,26011.23248596
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Královéhradecký kraj,26252.770491338
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Pardubický kraj,25660.8617803037
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Kraj Vysočina,25839.256235768
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Jihomoravský kraj,28406.1367208315
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Olomoucký kraj,25258.4276876811
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Zlínský kraj,25790.193577843
2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Moravskoslezský kraj,25658.9266405499
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Česko,3631.6126803342
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Hlavní město Praha,3896.5812948702
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Středočeský kraj,3736.5827983632
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Jihočeský kraj,3676.11825971
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Plzeňský kraj,3780.4599806147
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Karlovarský kraj,3114.1204676818
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Ústecký kraj,3302.9941036597
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Liberecký kraj,3320.6636134257
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Královéhradecký kraj,3451.6157230462
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Pardubický kraj,3369.6357933573
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Kraj Vysočina,3700.6408843394
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Jihomoravský kraj,3515.1175804016
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Olomoucký kraj,3211.9273719994
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Zlínský kraj,3867.6124437498
2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Moravskoslezský kraj,3298.6291305551
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Česko,1297.666149848
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Hlavní město Praha,1598.3154306289
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Středočeský kraj,1450.5599753868
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Jihočeský kraj,1048.8261849068
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Plzeňský kraj,1135.5328719886
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Karlovarský kraj,836.8195278453
