Tříleté období,Území,Ukazatel,Druh nemovitosti,value
2017-2019,Česko,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2645.0
2017-2019,Česko,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],26514.0
2017-2019,Česko,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2552.0
2017-2019,Česko,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1863.0
2017-2019,Česko,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],20861.0
2017-2019,Česko,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],2134.0
2017-2019,Česko,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],33.8
2017-2019,Česko,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],9.5
2017-2019,Česko,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],59.8
2017-2019,Hlavní město Praha,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],9418.0
2017-2019,Hlavní město Praha,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],62459.0
2017-2019,Hlavní město Praha,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],6673.0
2017-2019,Hlavní město Praha,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],6933.0
2017-2019,Hlavní město Praha,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],52257.0
2017-2019,Hlavní město Praha,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],4360.0
2017-2019,Hlavní město Praha,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],17.8
2017-2019,Hlavní město Praha,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],12.7
2017-2019,Hlavní město Praha,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],56.8
2017-2019,Středočeský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],3766.0
2017-2019,Středočeský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],28212.0
2017-2019,Středočeský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2493.0
2017-2019,Středočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],2660.0
2017-2019,Středočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],21641.0
2017-2019,Středočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1888.0
2017-2019,Středočeský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],27.1
2017-2019,Středočeský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],7.3
2017-2019,Středočeský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],57.5
2017-2019,Jihočeský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2354.0
2017-2019,Jihočeský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],19115.0
2017-2019,Jihočeský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2373.0
2017-2019,Jihočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1694.0
2017-2019,Jihočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],14683.0
2017-2019,Jihočeský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1961.0
2017-2019,Jihočeský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],32.3
2017-2019,Jihočeský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],7.0
2017-2019,Jihočeský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],57.7
2017-2019,Plzeňský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2570.0
2017-2019,Plzeňský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],25435.0
2017-2019,Plzeňský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2315.0
2017-2019,Plzeňský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1780.0
2017-2019,Plzeňský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],19437.0
