Území,Ukazatel,Měsíce,value
Česko,Index cen průmyslových výrobců,srpen 2025,-0.8
Česko,Index cen průmyslových výrobců,červenec 2025,-1.2
Česko,Index cen průmyslových výrobců,červen 2025,-0.7
Česko,Index cen průmyslových výrobců,květen 2025,-0.8
Česko,Index cen průmyslových výrobců,duben 2025,-1.3
Česko,Index cen průmyslových výrobců,březen 2025,-0.3
Česko,Index cen průmyslových výrobců,únor 2025,-0.1
Česko,Index cen průmyslových výrobců,leden 2025,0.5
Česko,Index cen průmyslových výrobců,prosinec 2024,2.8
Česko,Index cen průmyslových výrobců,listopad 2024,1.7
Česko,Index cen průmyslových výrobců,říjen 2024,0.8
Česko,Index cen průmyslových výrobců,září 2024,0.6
Česko,Index cen stavebních prací,srpen 2025,2.6
Česko,Index cen stavebních prací,červenec 2025,2.6
Česko,Index cen stavebních prací,červen 2025,2.6
Česko,Index cen stavebních prací,květen 2025,2.9
Česko,Index cen stavebních prací,duben 2025,3.3
Česko,Index cen stavebních prací,březen 2025,3.3
Česko,Index cen stavebních prací,únor 2025,3.0
Česko,Index cen stavebních prací,leden 2025,2.6
Česko,Index cen stavebních prací,prosinec 2024,2.3
Česko,Index cen stavebních prací,listopad 2024,2.3
Česko,Index cen stavebních prací,říjen 2024,2.1
Česko,Index cen stavebních prací,září 2024,2.1
Česko,Index cen tržních služeb,srpen 2025,4.4
Česko,Index cen tržních služeb,červenec 2025,4.1
Česko,Index cen tržních služeb,červen 2025,4.2
Česko,Index cen tržních služeb,květen 2025,4.4
Česko,Index cen tržních služeb,duben 2025,4.0
Česko,Index cen tržních služeb,březen 2025,3.7
Česko,Index cen tržních služeb,únor 2025,3.5
Česko,Index cen tržních služeb,leden 2025,3.2
Česko,Index cen tržních služeb,prosinec 2024,3.8
Česko,Index cen tržních služeb,listopad 2024,3.7
Česko,Index cen tržních služeb,říjen 2024,3.6
Česko,Index cen tržních služeb,září 2024,3.4
Česko,Index cen zemědělských výrobců,srpen 2025,11.4
Česko,Index cen zemědělských výrobců,červenec 2025,11.2
Česko,Index cen zemědělských výrobců,červen 2025,13.4
Česko,Index cen zemědělských výrobců,květen 2025,15.7
Česko,Index cen zemědělských výrobců,duben 2025,15.7
Česko,Index cen zemědělských výrobců,březen 2025,8.2
Česko,Index cen zemědělských výrobců,únor 2025,9.3
Česko,Index cen zemědělských výrobců,leden 2025,9.1
Česko,Index cen zemědělských výrobců,prosinec 2024,8.1
Česko,Index cen zemědělských výrobců,listopad 2024,5.5
Česko,Index cen zemědělských výrobců,říjen 2024,2.4
Česko,Index cen zemědělských výrobců,září 2024,-0.2
