Ukazatel;Roky;Území;Kategorie ubytovacího zařízení;value
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;HUZ celkem;1159.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel, motel, botel ****;57.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel, motel, botel ***;153.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel, motel, botel **;27.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel, motel, botel *;13.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Hotel garni;5.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Penzion;542.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Kemp;53.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Chatová osada;18.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Turistická ubytovna;78.0
Počet hromadných ubytovacích zařízení;2023;Královéhradecký kraj;Ostatní HUZ;213.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;HUZ celkem;377.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel, motel, botel ****;11.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel, motel, botel ***;47.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel, motel, botel **;18.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel, motel, botel *;6.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Hotel garni;8.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Penzion;167.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Kemp;23.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Chatová osada;20.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Turistická ubytovna;28.0
Počet hromadných ubytovacích zařízení;2023;Pardubický kraj;Ostatní HUZ;49.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;HUZ celkem;454.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel *****;2.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel, motel, botel ****;23.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel, motel, botel ***;58.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel, motel, botel **;11.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel, motel, botel *;6.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Hotel garni;9.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Penzion;164.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Kemp;29.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Chatová osada;25.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Turistická ubytovna;48.0
Počet hromadných ubytovacích zařízení;2023;Kraj Vysočina;Ostatní HUZ;79.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;HUZ celkem;1001.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel *****;2.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel, motel, botel ****;48.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel, motel, botel ***;137.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel, motel, botel **;11.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel, motel, botel *;5.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Hotel garni;10.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Penzion;559.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Kemp;39.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Chatová osada;32.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Turistická ubytovna;43.0
Počet hromadných ubytovacích zařízení;2023;Jihomoravský kraj;Ostatní HUZ;115.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;HUZ celkem;541.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel, motel, botel ****;23.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel, motel, botel ***;68.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel, motel, botel **;8.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel, motel, botel *;10.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Hotel garni;7.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Penzion;265.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Kemp;13.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Chatová osada;10.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Turistická ubytovna;53.0
Počet hromadných ubytovacích zařízení;2023;Olomoucký kraj;Ostatní HUZ;84.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;HUZ celkem;525.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel, motel, botel ****;49.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel, motel, botel ***;86.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel, motel, botel **;8.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel, motel, botel *;6.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Hotel garni;7.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Penzion;223.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Kemp;22.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Chatová osada;9.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Turistická ubytovna;41.0
Počet hromadných ubytovacích zařízení;2023;Zlínský kraj;Ostatní HUZ;73.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;HUZ celkem;665.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel, motel, botel ****;45.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel, motel, botel ***;123.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel, motel, botel **;16.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel, motel, botel *;8.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Hotel garni;8.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Penzion;285.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Kemp;23.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Chatová osada;5.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Turistická ubytovna;75.0
Počet hromadných ubytovacích zařízení;2023;Moravskoslezský kraj;Ostatní HUZ;77.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;HUZ celkem;844.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel *****;51.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel, motel, botel ****;271.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel, motel, botel ***;190.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel, motel, botel **;17.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel, motel, botel *;4.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Hotel garni;35.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Penzion;102.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Kemp;19.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Turistická ubytovna;56.0
Počet hromadných ubytovacích zařízení;2023;Hlavní město Praha;Ostatní HUZ;99.0
Počet hromadných ubytovacích zařízení;2023;Benešov;HUZ celkem;117.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel, motel, botel ****;8.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel, motel, botel ***;16.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel, motel, botel *;4.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Penzion;50.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Chatová osada;4.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Turistická ubytovna;10.0
Počet hromadných ubytovacích zařízení;2023;Benešov;Ostatní HUZ;10.0
Počet hromadných ubytovacích zařízení;2023;Beroun;HUZ celkem;49.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel, motel, botel ****;5.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel, motel, botel ***;13.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Beroun;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Penzion;19.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Kemp;4.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Beroun;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Beroun;Ostatní HUZ;1.0
Počet hromadných ubytovacích zařízení;2023;Kladno;HUZ celkem;24.0
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel, motel, botel ****;1.0
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel, motel, botel ***;9.0
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Kladno;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Kladno;Penzion;8.0
Počet hromadných ubytovacích zařízení;2023;Kladno;Kemp;
Počet hromadných ubytovacích zařízení;2023;Kladno;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Kladno;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Kladno;Ostatní HUZ;3.0
Počet hromadných ubytovacích zařízení;2023;Kolín;HUZ celkem;34.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel, motel, botel ***;5.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Kolín;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Penzion;20.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Kemp;2.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Chatová osada;1.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Kolín;Ostatní HUZ;
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;HUZ celkem;70.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel, motel, botel ****;6.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel, motel, botel ***;14.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Penzion;25.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Kemp;8.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Chatová osada;5.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Kutná Hora;Ostatní HUZ;9.0
Počet hromadných ubytovacích zařízení;2023;Mělník;HUZ celkem;51.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel, motel, botel ***;8.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Mělník;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Penzion;22.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Mělník;Ostatní HUZ;8.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;HUZ celkem;81.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel, motel, botel ****;7.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel, motel, botel ***;14.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Penzion;28.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Chatová osada;7.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Mladá Boleslav;Ostatní HUZ;12.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;HUZ celkem;69.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel, motel, botel ****;10.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel, motel, botel ***;11.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Nymburk;Hotel garni;3.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Penzion;32.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Kemp;3.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Chatová osada;1.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Nymburk;Ostatní HUZ;5.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;HUZ celkem;74.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel, motel, botel ****;9.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel, motel, botel ***;21.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel, motel, botel **;3.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Penzion;26.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Kemp;4.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Praha-východ;Ostatní HUZ;4.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;HUZ celkem;74.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel, motel, botel ****;10.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel, motel, botel ***;16.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Penzion;33.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Turistická ubytovna;
Počet hromadných ubytovacích zařízení;2023;Praha-západ;Ostatní HUZ;4.0
Počet hromadných ubytovacích zařízení;2023;Příbram;HUZ celkem;120.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel, motel, botel ****;4.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel, motel, botel ***;18.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Příbram;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Penzion;41.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Chatová osada;12.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Turistická ubytovna;7.0
Počet hromadných ubytovacích zařízení;2023;Příbram;Ostatní HUZ;22.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;HUZ celkem;52.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel, motel, botel ****;1.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel, motel, botel ***;7.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel, motel, botel **;3.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Rakovník;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Penzion;9.0
