Území;Ukazatel;Typ indexu;Očištění;Typ ceny;Odvětví (NACE);Roky;value
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2001;108.4839356822
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2002;101.7228615695
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2003;107.2472215094
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2004;103.8456295539
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2005;108.0641107167
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2006;110.7824457736
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2007;109.9561470011
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2008;102.6819374825
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2009;95.3123643647
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2010;101.4677906831
