Roky,Území,Ukazatel,Druh chráněného území,value
2023,Karlovarský kraj,Počet chráněných území,Národní přírodní památka,9.0
2023,Karlovarský kraj,Počet chráněných území,Národní přírodní rezervace,6.0
2023,Karlovarský kraj,Počet chráněných území,Přírodní památka,49.0
2023,Karlovarský kraj,Počet chráněných území,Přírodní rezervace,31.0
2023,Karlovarský kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Karlovarský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,59272.8616
2023,Karlovarský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,6032.1939
2023,Karlovarský kraj,Rozloha chráněného území (ha),Národní přírodní památka,676.6928
2023,Karlovarský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2993.3862
2023,Karlovarský kraj,Rozloha chráněného území (ha),Přírodní památka,1307.2226
2023,Karlovarský kraj,Rozloha chráněného území (ha),Přírodní rezervace,1054.8923
2023,Ústecký kraj,Počet chráněných území,Národní park,1.0
2023,Ústecký kraj,Počet chráněných území,Chráněná krajinná oblast,4.0
2023,Ústecký kraj,Počet chráněných území,Maloplošné chráněné území,182.0
2023,Ústecký kraj,Počet chráněných území,Národní přírodní památka,14.0
2023,Ústecký kraj,Počet chráněných území,Národní přírodní rezervace,13.0
2023,Ústecký kraj,Počet chráněných území,Přírodní památka,100.0
2023,Ústecký kraj,Počet chráněných území,Přírodní rezervace,55.0
2023,Ústecký kraj,Rozloha chráněného území (ha),Národní park,7927.7565
2023,Ústecký kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,132652.8892
2023,Ústecký kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,9951.4999
2023,Ústecký kraj,Rozloha chráněného území (ha),Národní přírodní památka,214.2357
2023,Ústecký kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2024.5622
2023,Ústecký kraj,Rozloha chráněného území (ha),Přírodní památka,3805.8901
2023,Ústecký kraj,Rozloha chráněného území (ha),Přírodní rezervace,3906.8119
2023,Liberecký kraj,Počet chráněných území,Národní park,1.0
2023,Liberecký kraj,Počet chráněných území,Chráněná krajinná oblast,5.0
2023,Liberecký kraj,Počet chráněných území,Maloplošné chráněné území,126.0
2023,Liberecký kraj,Počet chráněných území,Národní přírodní památka,9.0
2023,Liberecký kraj,Počet chráněných území,Národní přírodní rezervace,8.0
2023,Liberecký kraj,Počet chráněných území,Přírodní památka,73.0
2023,Liberecký kraj,Počet chráněných území,Přírodní rezervace,36.0
2023,Liberecký kraj,Rozloha chráněného území (ha),Národní park,11654.7247
2023,Liberecký kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,98734.6118
2023,Liberecký kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,5927.7217
2023,Liberecký kraj,Rozloha chráněného území (ha),Národní přírodní památka,462.7257
2023,Liberecký kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2766.5336
2023,Liberecký kraj,Rozloha chráněného území (ha),Přírodní památka,753.6361
2023,Liberecký kraj,Rozloha chráněného území (ha),Přírodní rezervace,1944.8263
2023,Královéhradecký kraj,Počet chráněných území,Národní park,1.0
2023,Královéhradecký kraj,Počet chráněných území,Chráněná krajinná oblast,3.0
2023,Královéhradecký kraj,Počet chráněných území,Maloplošné chráněné území,135.0
2023,Královéhradecký kraj,Počet chráněných území,Národní přírodní památka,2.0
2023,Královéhradecký kraj,Počet chráněných území,Národní přírodní rezervace,5.0
2023,Královéhradecký kraj,Počet chráněných území,Přírodní památka,91.0
2023,Královéhradecký kraj,Počet chráněných území,Přírodní rezervace,37.0
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Národní park,24697.4052
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,70998.5539
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,8829.9916
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Národní přírodní památka,1016.6885
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2392.4593
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Přírodní památka,3920.5956
2023,Královéhradecký kraj,Rozloha chráněného území (ha),Přírodní rezervace,1500.2482
2023,Pardubický kraj,Počet chráněných území,Národní park,0.0
2023,Pardubický kraj,Počet chráněných území,Chráněná krajinná oblast,3.0
2023,Pardubický kraj,Počet chráněných území,Maloplošné chráněné území,110.0
2023,Pardubický kraj,Počet chráněných území,Národní přírodní památka,2.0
2023,Pardubický kraj,Počet chráněných území,Národní přírodní rezervace,4.0
2023,Pardubický kraj,Počet chráněných území,Přírodní památka,61.0
2023,Pardubický kraj,Počet chráněných území,Přírodní rezervace,43.0
2023,Pardubický kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Pardubický kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,39118.3052
2023,Pardubický kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,6223.0029
2023,Pardubický kraj,Rozloha chráněného území (ha),Národní přírodní památka,224.559
2023,Pardubický kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,1816.0557
2023,Pardubický kraj,Rozloha chráněného území (ha),Přírodní památka,1206.5218
2023,Pardubický kraj,Rozloha chráněného území (ha),Přírodní rezervace,2975.8664
2023,Kraj Vysočina,Počet chráněných území,Národní park,0.0
2023,Kraj Vysočina,Počet chráněných území,Chráněná krajinná oblast,2.0
2023,Kraj Vysočina,Počet chráněných území,Maloplošné chráněné území,204.0
2023,Kraj Vysočina,Počet chráněných území,Národní přírodní památka,3.0
2023,Kraj Vysočina,Počet chráněných území,Národní přírodní rezervace,7.0
2023,Kraj Vysočina,Počet chráněných území,Přírodní památka,117.0
2023,Kraj Vysočina,Počet chráněných území,Přírodní rezervace,77.0
2023,Kraj Vysočina,Rozloha chráněného území (ha),Národní park,0.0
2023,Kraj Vysočina,Rozloha chráněného území (ha),Chráněná krajinná oblast,60823.9133
2023,Kraj Vysočina,Rozloha chráněného území (ha),Maloplošné chráněné území,5936.0102
2023,Kraj Vysočina,Rozloha chráněného území (ha),Národní přírodní památka,81.5031
2023,Kraj Vysočina,Rozloha chráněného území (ha),Národní přírodní rezervace,1357.0484
2023,Kraj Vysočina,Rozloha chráněného území (ha),Přírodní památka,1133.2035
2023,Kraj Vysočina,Rozloha chráněného území (ha),Přírodní rezervace,3364.2552
2023,Jihomoravský kraj,Počet chráněných území,Národní park,1.0
2023,Jihomoravský kraj,Počet chráněných území,Chráněná krajinná oblast,3.0
2023,Jihomoravský kraj,Počet chráněných území,Maloplošné chráněné území,351.0
2023,Jihomoravský kraj,Počet chráněných území,Národní přírodní památka,17.0
2023,Jihomoravský kraj,Počet chráněných území,Národní přírodní rezervace,16.0
2023,Jihomoravský kraj,Počet chráněných území,Přírodní památka,231.0
2023,Jihomoravský kraj,Počet chráněných území,Přírodní rezervace,87.0
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Národní park,6279.2778
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,35990.7402
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,11565.3825
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Národní přírodní památka,1284.7566
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2912.0421
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Přírodní památka,3258.415
2023,Jihomoravský kraj,Rozloha chráněného území (ha),Přírodní rezervace,4110.1688
2023,Olomoucký kraj,Počet chráněných území,Národní park,0.0
2023,Olomoucký kraj,Počet chráněných území,Chráněná krajinná oblast,2.0
2023,Olomoucký kraj,Počet chráněných území,Maloplošné chráněné území,165.0
2023,Olomoucký kraj,Počet chráněných území,Národní přírodní památka,11.0
2023,Olomoucký kraj,Počet chráněných území,Národní přírodní rezervace,11.0
2023,Olomoucký kraj,Počet chráněných území,Přírodní památka,96.0
2023,Olomoucký kraj,Počet chráněných území,Přírodní rezervace,47.0
2023,Olomoucký kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Olomoucký kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,55781.464
2023,Olomoucký kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,7635.9655
2023,Olomoucký kraj,Rozloha chráněného území (ha),Národní přírodní památka,148.2056
2023,Olomoucký kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,3288.9882
2023,Olomoucký kraj,Rozloha chráněného území (ha),Přírodní památka,1582.7046
2023,Olomoucký kraj,Rozloha chráněného území (ha),Přírodní rezervace,2616.0671
2023,Zlínský kraj,Počet chráněných území,Národní park,0.0
2023,Zlínský kraj,Počet chráněných území,Chráněná krajinná oblast,2.0
2023,Zlínský kraj,Počet chráněných území,Maloplošné chráněné území,215.0
2023,Zlínský kraj,Počet chráněných území,Národní přírodní památka,2.0
2023,Zlínský kraj,Počet chráněných území,Národní přírodní rezervace,6.0
2023,Zlínský kraj,Počet chráněných území,Přírodní památka,163.0
2023,Zlínský kraj,Počet chráněných území,Přírodní rezervace,44.0
2023,Zlínský kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Zlínský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,119413.8089
2023,Zlínský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,2581.6587
2023,Zlínský kraj,Rozloha chráněného území (ha),Národní přírodní památka,29.0781
2023,Zlínský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,408.3736
2023,Zlínský kraj,Rozloha chráněného území (ha),Přírodní památka,950.7418
2023,Zlínský kraj,Rozloha chráněného území (ha),Přírodní rezervace,1193.4652
2023,Moravskoslezský kraj,Počet chráněných území,Národní park,0.0
2023,Moravskoslezský kraj,Počet chráněných území,Chráněná krajinná oblast,3.0
2023,Moravskoslezský kraj,Počet chráněných území,Maloplošné chráněné území,167.0
2023,Moravskoslezský kraj,Počet chráněných území,Národní přírodní památka,7.0
2023,Moravskoslezský kraj,Počet chráněných území,Národní přírodní rezervace,11.0
2023,Moravskoslezský kraj,Počet chráněných území,Přírodní památka,73.0
2023,Moravskoslezský kraj,Počet chráněných území,Přírodní rezervace,76.0
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,94079.546
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,8727.4518
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Národní přírodní památka,449.1289
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,2059.0689
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Přírodní památka,1836.8477
2023,Moravskoslezský kraj,Rozloha chráněného území (ha),Přírodní rezervace,4382.4063
