Ukazatel,Rok,Pohlaví,"ČR, kraje",Věkové skupiny (pětileté),value
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,0,5108
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,1 - 4,25189
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,5 - 9,35173
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,10 - 14,34906
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,15 - 19,36497
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,20 - 24,31135
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,25 - 29,30956
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,30 - 34,39871
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,35 - 39,41874
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,40 - 44,44571
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,45 - 49,54398
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,50 - 54,50159
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,55 - 59,41348
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,60 - 64,39603
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,65 - 69,40275
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,70 - 74,38886
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,75 - 79,31647
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,80 - 84,18531
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,85 - 89,8876
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,90 - 94,3495
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihočeský kraj,95 a více,729
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,Celkem,614640
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,0,4584
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,1 - 4,23125
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,5 - 9,32193
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,10 - 14,32081
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,15 - 19,35206
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,20 - 24,30049
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,25 - 29,30153
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,30 - 34,39124
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,35 - 39,42058
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,40 - 44,44760
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,45 - 49,52428
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,50 - 54,47930
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,55 - 59,38121
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,60 - 64,35598
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,65 - 69,34872
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,70 - 74,34602
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,75 - 79,28689
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,80 - 84,17357
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,85 - 89,8014
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,90 - 94,3106
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Plzeňský kraj,95 a více,590
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,Celkem,293195
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,0,1841
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,1 - 4,9990
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,5 - 9,14465
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,10 - 14,15327
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,15 - 19,17025
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,20 - 24,14425
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,25 - 29,14169
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,30 - 34,17650
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,35 - 39,18850
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,40 - 44,19409
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,45 - 49,24573
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,50 - 54,23830
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,55 - 59,19869
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,60 - 64,18524
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,65 - 69,17949
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,70 - 74,17870
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,75 - 79,14041
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,80 - 84,7947
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,85 - 89,3829
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,90 - 94,1369
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Karlovarský kraj,95 a více,243
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,Celkem,808356
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,0,6100
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,1 - 4,29949
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,5 - 9,42359
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,10 - 14,43863
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,15 - 19,47963
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,20 - 24,41479
