Ukazatel,Rok,Pohlaví,"ČR, kraje",Věkové skupiny (pětileté),value
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,0,4419
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,1 - 4,22169
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,5 - 9,30158
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,10 - 14,29408
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,15 - 19,31271
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,20 - 24,27321
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,25 - 29,27014
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,30 - 34,34509
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,35 - 39,36752
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,40 - 44,39083
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,45 - 49,47948
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,50 - 54,44962
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,55 - 59,37519
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,60 - 64,37129
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,65 - 69,35913
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,70 - 74,34769
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,75 - 79,27861
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,80 - 84,17497
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,85 - 89,9049
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,90 - 94,3544
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,95 a více,703
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,Celkem,1182613
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,0,8580
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,1 - 4,44249
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,5 - 9,60760
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,10 - 14,60694
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,15 - 19,65341
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,20 - 24,57215
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,25 - 29,56803
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,30 - 34,73055
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,35 - 39,77699
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,40 - 44,78525
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,45 - 49,95576
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,50 - 54,92297
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,55 - 59,79999
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,60 - 64,76738
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,65 - 69,71748
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,70 - 74,69492
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,75 - 79,55204
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,80 - 84,35986
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,85 - 89,15791
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,90 - 94,5686
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Moravskoslezský kraj,95 a více,1175
