Ukazatel,Území,Věk muže (jednoleté skupiny),Roky,value
Rozvody,Česko,21,2023,4.0
Rozvody,Česko,21,2022,3.0
Rozvody,Česko,21,2021,5.0
Rozvody,Česko,21,2020,10.0
Rozvody,Česko,21,2019,7.0
Rozvody,Česko,21,2018,15.0
Rozvody,Česko,21,2017,9.0
Rozvody,Česko,21,2016,8.0
Rozvody,Česko,21,2015,21.0
Rozvody,Česko,21,2014,15.0
Rozvody,Česko,21,2013,10.0
Rozvody,Česko,21,2012,11.0
Rozvody,Česko,21,2011,15.0
Rozvody,Česko,21,2010,15.0
Rozvody,Česko,21,2009,26.0
Rozvody,Česko,21,2008,24.0
Rozvody,Česko,21,2007,25.0
Rozvody,Česko,21,2006,35.0
Rozvody,Česko,21,2005,28.0
Rozvody,Česko,21,2004,41.0
Rozvody,Česko,21,2003,55.0
Rozvody,Česko,21,2002,72.0
Rozvody,Česko,21,2001,96.0
Rozvody,Česko,22,2024,
Rozvody,Česko,22,2023,10.0
Rozvody,Česko,22,2022,7.0
Rozvody,Česko,22,2021,17.0
Rozvody,Česko,22,2020,18.0
Rozvody,Česko,22,2019,22.0
Rozvody,Česko,22,2018,19.0
Rozvody,Česko,22,2017,21.0
Rozvody,Česko,22,2016,20.0
Rozvody,Česko,22,2015,22.0
Rozvody,Česko,22,2014,29.0
Rozvody,Česko,22,2013,38.0
Rozvody,Česko,22,2012,19.0
Rozvody,Česko,22,2011,31.0
Rozvody,Česko,22,2010,45.0
Rozvody,Česko,22,2009,65.0
Rozvody,Česko,22,2008,57.0
Rozvody,Česko,22,2007,71.0
Rozvody,Česko,22,2006,75.0
Rozvody,Česko,22,2005,69.0
Rozvody,Česko,22,2004,98.0
Rozvody,Česko,22,2003,123.0
Rozvody,Česko,22,2002,135.0
Rozvody,Česko,22,2001,175.0
Rozvody,Česko,23,2024,
Rozvody,Česko,23,2023,22.0
Rozvody,Česko,23,2022,22.0
Rozvody,Česko,23,2021,21.0
Rozvody,Česko,23,2020,31.0
Rozvody,Česko,23,2019,45.0
Rozvody,Česko,23,2018,44.0
Rozvody,Česko,23,2017,38.0
Rozvody,Česko,23,2016,38.0
Rozvody,Česko,23,2015,33.0
Rozvody,Česko,23,2014,53.0
Rozvody,Česko,23,2013,54.0
Rozvody,Česko,23,2012,56.0
Rozvody,Česko,23,2011,62.0
Rozvody,Česko,23,2010,88.0
Rozvody,Česko,23,2009,89.0
Rozvody,Česko,23,2008,98.0
Rozvody,Česko,23,2007,116.0
Rozvody,Česko,23,2006,115.0
Rozvody,Česko,23,2005,119.0
Rozvody,Česko,23,2004,162.0
Rozvody,Česko,23,2003,245.0
Rozvody,Česko,23,2002,269.0
Rozvody,Česko,23,2001,334.0
Rozvody,Česko,24,2024,
Rozvody,Česko,24,2023,46.0
Rozvody,Česko,24,2022,34.0
Rozvody,Česko,24,2021,47.0
Rozvody,Česko,24,2020,57.0
Rozvody,Česko,24,2019,71.0
Rozvody,Česko,24,2018,74.0
Rozvody,Česko,24,2017,75.0
Rozvody,Česko,24,2016,83.0
Rozvody,Česko,24,2015,67.0
Rozvody,Česko,24,2014,69.0
Rozvody,Česko,24,2013,74.0
Rozvody,Česko,24,2012,91.0
Rozvody,Česko,24,2011,105.0
Rozvody,Česko,24,2010,148.0
Rozvody,Česko,24,2009,143.0
Rozvody,Česko,24,2008,165.0
Rozvody,Česko,24,2007,145.0
Rozvody,Česko,24,2006,193.0
Rozvody,Česko,24,2005,206.0
Rozvody,Česko,24,2004,321.0
Rozvody,Česko,24,2003,343.0
Rozvody,Česko,24,2002,373.0
Rozvody,Česko,24,2001,522.0
Rozvody,Česko,25,2024,
Rozvody,Česko,25,2023,60.0
Rozvody,Česko,25,2022,66.0
Rozvody,Česko,25,2021,74.0
Rozvody,Česko,25,2020,76.0
Rozvody,Česko,25,2019,92.0
Rozvody,Česko,25,2018,118.0
Rozvody,Česko,25,2017,104.0
Rozvody,Česko,25,2016,81.0
Rozvody,Česko,25,2015,107.0
Rozvody,Česko,25,2014,108.0
Rozvody,Česko,25,2013,136.0
Rozvody,Česko,25,2012,151.0
Rozvody,Česko,25,2011,168.0
Rozvody,Česko,25,2010,192.0
Rozvody,Česko,25,2009,202.0
Rozvody,Česko,25,2008,240.0
Rozvody,Česko,25,2007,258.0
Rozvody,Česko,25,2006,294.0
Rozvody,Česko,25,2005,354.0
Rozvody,Česko,25,2004,419.0
Rozvody,Česko,25,2003,561.0
Rozvody,Česko,25,2002,640.0
Rozvody,Česko,25,2001,770.0
Rozvody,Česko,26,2024,
Rozvody,Česko,26,2023,103.0
Rozvody,Česko,26,2022,115.0
Rozvody,Česko,26,2021,108.0
Rozvody,Česko,26,2020,103.0
Rozvody,Česko,26,2019,156.0
Rozvody,Česko,26,2018,150.0
Rozvody,Česko,26,2017,146.0
Rozvody,Česko,26,2016,156.0
Rozvody,Česko,26,2015,146.0
Rozvody,Česko,26,2014,165.0
Rozvody,Česko,26,2013,173.0
Rozvody,Česko,26,2012,201.0
Rozvody,Česko,26,2011,238.0
Rozvody,Česko,26,2010,286.0
Rozvody,Česko,26,2009,279.0
Rozvody,Česko,26,2008,323.0
Rozvody,Česko,26,2007,366.0
Rozvody,Česko,26,2006,456.0
Rozvody,Česko,26,2005,542.0
Rozvody,Česko,26,2004,644.0
Rozvody,Česko,26,2003,776.0
Rozvody,Česko,26,2002,854.0
Rozvody,Česko,26,2001,946.0
Rozvody,Česko,27,2024,
Rozvody,Česko,27,2023,143.0
Rozvody,Česko,27,2022,148.0
Rozvody,Česko,27,2021,165.0
Rozvody,Česko,27,2020,169.0
Rozvody,Česko,27,2019,195.0
Rozvody,Česko,27,2018,187.0
Rozvody,Česko,27,2017,187.0
Rozvody,Česko,27,2016,204.0
Rozvody,Česko,27,2015,239.0
Rozvody,Česko,27,2014,233.0
Rozvody,Česko,27,2013,256.0
Rozvody,Česko,27,2012,250.0
Rozvody,Česko,27,2011,318.0
Rozvody,Česko,27,2010,360.0
Rozvody,Česko,27,2009,378.0
Rozvody,Česko,27,2008,524.0
Rozvody,Česko,27,2007,555.0
Rozvody,Česko,27,2006,575.0
Rozvody,Česko,27,2005,691.0
Rozvody,Česko,27,2004,802.0
Rozvody,Česko,27,2003,973.0
Rozvody,Česko,27,2002,1036.0
Rozvody,Česko,27,2001,1210.0
Rozvody,Česko,28,2024,
Rozvody,Česko,28,2023,194.0
Rozvody,Česko,28,2022,180.0
Rozvody,Česko,28,2021,215.0
Rozvody,Česko,28,2020,221.0
Rozvody,Česko,28,2019,268.0
Rozvody,Česko,28,2018,235.0
Rozvody,Česko,28,2017,258.0
Rozvody,Česko,28,2016,296.0
Rozvody,Česko,28,2015,297.0
Rozvody,Česko,28,2014,298.0
Rozvody,Česko,28,2013,317.0
Rozvody,Česko,28,2012,374.0
Rozvody,Česko,28,2011,379.0
Rozvody,Česko,28,2010,506.0
Rozvody,Česko,28,2009,527.0
Rozvody,Česko,28,2008,647.0
Rozvody,Česko,28,2007,696.0
Rozvody,Česko,28,2006,774.0
Rozvody,Česko,28,2005,880.0
Rozvody,Česko,28,2004,1054.0
Rozvody,Česko,28,2003,1160.0
Rozvody,Česko,28,2002,1235.0
Rozvody,Česko,28,2001,1238.0
Rozvody,Česko,29,2024,
Rozvody,Česko,29,2023,249.0
Rozvody,Česko,29,2022,237.0
Rozvody,Česko,29,2021,247.0
Rozvody,Česko,29,2020,284.0
Rozvody,Česko,29,2019,290.0
Rozvody,Česko,29,2018,301.0
Rozvody,Česko,29,2017,303.0
Rozvody,Česko,29,2016,318.0
Rozvody,Česko,29,2015,383.0
Rozvody,Česko,29,2014,373.0
Rozvody,Česko,29,2013,395.0
Rozvody,Česko,29,2012,451.0
Rozvody,Česko,29,2011,477.0
Rozvody,Česko,29,2010,585.0
Rozvody,Česko,29,2009,725.0
Rozvody,Česko,29,2008,858.0
Rozvody,Česko,29,2007,884.0
Rozvody,Česko,29,2006,987.0
Rozvody,Česko,29,2005,972.0
Rozvody,Česko,29,2004,1244.0
Rozvody,Česko,29,2003,1338.0
Rozvody,Česko,29,2002,1283.0
Rozvody,Česko,29,2001,1226.0
Rozvody,Česko,30,2024,
Rozvody,Česko,30,2023,291.0
Rozvody,Česko,30,2022,265.0
Rozvody,Česko,30,2021,322.0
Rozvody,Česko,30,2020,295.0
Rozvody,Česko,30,2019,359.0
Rozvody,Česko,30,2018,381.0
Rozvody,Česko,30,2017,401.0
Rozvody,Česko,30,2016,398.0
Rozvody,Česko,30,2015,442.0
Rozvody,Česko,30,2014,452.0
Rozvody,Česko,30,2013,536.0
Rozvody,Česko,30,2012,527.0
Rozvody,Česko,30,2011,582.0
Rozvody,Česko,30,2010,756.0
Rozvody,Česko,30,2009,807.0
Rozvody,Česko,30,2008,933.0
Rozvody,Česko,30,2007,1024.0
Rozvody,Česko,30,2006,1120.0
Rozvody,Česko,30,2005,1253.0
Rozvody,Česko,30,2004,1377.0
Rozvody,Česko,30,2003,1284.0
Rozvody,Česko,30,2002,1226.0
Rozvody,Česko,30,2001,1283.0
Rozvody,Česko,31,2024,
Rozvody,Česko,31,2023,349.0
Rozvody,Česko,31,2022,329.0
Rozvody,Česko,31,2021,357.0
Rozvody,Česko,31,2020,363.0
Rozvody,Česko,31,2019,433.0
Rozvody,Česko,31,2018,433.0
Rozvody,Česko,31,2017,468.0
Rozvody,Česko,31,2016,458.0
Rozvody,Česko,31,2015,524.0
Rozvody,Česko,31,2014,526.0
Rozvody,Česko,31,2013,612.0
Rozvody,Česko,31,2012,657.0
Rozvody,Česko,31,2011,767.0
Rozvody,Česko,31,2010,944.0
Rozvody,Česko,31,2009,987.0
Rozvody,Česko,31,2008,1096.0
Rozvody,Česko,31,2007,1178.0
Rozvody,Česko,31,2006,1313.0
Rozvody,Česko,31,2005,1296.0
Rozvody,Česko,31,2004,1433.0
Rozvody,Česko,31,2003,1287.0
Rozvody,Česko,31,2002,1266.0
Rozvody,Česko,31,2001,1349.0
Rozvody,Česko,32,2024,
Rozvody,Česko,32,2023,407.0
Rozvody,Česko,32,2022,388.0
Rozvody,Česko,32,2021,374.0
Rozvody,Česko,32,2020,436.0
Rozvody,Česko,32,2019,484.0
Rozvody,Česko,32,2018,483.0
Rozvody,Česko,32,2017,525.0
Rozvody,Česko,32,2016,533.0
Rozvody,Česko,32,2015,614.0
Rozvody,Česko,32,2014,632.0
Rozvody,Česko,32,2013,743.0
Rozvody,Česko,32,2012,763.0
Rozvody,Česko,32,2011,887.0
Rozvody,Česko,32,2010,1062.0
Rozvody,Česko,32,2009,1064.0
Rozvody,Česko,32,2008,1234.0
Rozvody,Česko,32,2007,1301.0
Rozvody,Česko,32,2006,1396.0
Rozvody,Česko,32,2005,1295.0
Rozvody,Česko,32,2004,1329.0
Rozvody,Česko,32,2003,1314.0
Rozvody,Česko,32,2002,1299.0
Rozvody,Česko,32,2001,1257.0
Rozvody,Česko,33,2024,
Rozvody,Česko,33,2023,423.0
Rozvody,Česko,33,2022,446.0
Rozvody,Česko,33,2021,444.0
Rozvody,Česko,33,2020,426.0
Rozvody,Česko,33,2019,511.0
Rozvody,Česko,33,2018,516.0
Rozvody,Česko,33,2017,618.0
Rozvody,Česko,33,2016,583.0
Rozvody,Česko,33,2015,677.0
Rozvody,Česko,33,2014,709.0
Rozvody,Česko,33,2013,815.0
Rozvody,Česko,33,2012,907.0
Rozvody,Česko,33,2011,1034.0
Rozvody,Česko,33,2010,1158.0
Rozvody,Česko,33,2009,1237.0
Rozvody,Česko,33,2008,1405.0
Rozvody,Česko,33,2007,1399.0
Rozvody,Česko,33,2006,1367.0
Rozvody,Česko,33,2005,1224.0
Rozvody,Česko,33,2004,1333.0
Rozvody,Česko,33,2003,1263.0
Rozvody,Česko,33,2002,1274.0
Rozvody,Česko,33,2001,1236.0
Rozvody,Česko,34,2024,
Rozvody,Česko,34,2023,433.0
Rozvody,Česko,34,2022,446.0
Rozvody,Česko,34,2021,476.0
Rozvody,Česko,34,2020,494.0
Rozvody,Česko,34,2019,537.0
Rozvody,Česko,34,2018,590.0
Rozvody,Česko,34,2017,667.0
Rozvody,Česko,34,2016,649.0
Rozvody,Česko,34,2015,736.0
Rozvody,Česko,34,2014,834.0
Rozvody,Česko,34,2013,985.0
Rozvody,Česko,34,2012,1032.0
Rozvody,Česko,34,2011,1116.0
Rozvody,Česko,34,2010,1247.0
Rozvody,Česko,34,2009,1239.0
Rozvody,Česko,34,2008,1424.0
Rozvody,Česko,34,2007,1331.0
Rozvody,Česko,34,2006,1285.0
Rozvody,Česko,34,2005,1209.0
Rozvody,Česko,34,2004,1331.0
Rozvody,Česko,34,2003,1323.0
Rozvody,Česko,34,2002,1248.0
Rozvody,Česko,34,2001,1181.0
Rozvody,Česko,35,2024,
Rozvody,Česko,35,2023,494.0
Rozvody,Česko,35,2022,508.0
Rozvody,Česko,35,2021,512.0
Rozvody,Česko,35,2020,595.0
Rozvody,Česko,35,2019,608.0
Rozvody,Česko,35,2018,665.0
Rozvody,Česko,35,2017,736.0
Rozvody,Česko,35,2016,715.0
Rozvody,Česko,35,2015,949.0
Rozvody,Česko,35,2014,988.0
Rozvody,Česko,35,2013,1104.0
Rozvody,Česko,35,2012,1091.0
Rozvody,Česko,35,2011,1202.0
Rozvody,Česko,35,2010,1372.0
Rozvody,Česko,35,2009,1350.0
Rozvody,Česko,35,2008,1313.0
Rozvody,Česko,35,2007,1299.0
Rozvody,Česko,35,2006,1315.0
Rozvody,Česko,35,2005,1297.0
Rozvody,Česko,35,2004,1325.0
Rozvody,Česko,35,2003,1265.0
Rozvody,Česko,35,2002,1212.0
Rozvody,Česko,35,2001,1207.0
Rozvody,Česko,36,2024,
Rozvody,Česko,36,2023,514.0
Rozvody,Česko,36,2022,508.0
Rozvody,Česko,36,2021,522.0
Rozvody,Česko,36,2020,599.0
Rozvody,Česko,36,2019,681.0
Rozvody,Česko,36,2018,731.0
Rozvody,Česko,36,2017,831.0
Rozvody,Česko,36,2016,888.0
Rozvody,Česko,36,2015,1000.0
Rozvody,Česko,36,2014,1065.0
Rozvody,Česko,36,2013,1201.0
Rozvody,Česko,36,2012,1176.0
Rozvody,Česko,36,2011,1232.0
Rozvody,Česko,36,2010,1457.0
Rozvody,Česko,36,2009,1308.0
Rozvody,Česko,36,2008,1274.0
Rozvody,Česko,36,2007,1242.0
Rozvody,Česko,36,2006,1198.0
Rozvody,Česko,36,2005,1193.0
Rozvody,Česko,36,2004,1287.0
Rozvody,Česko,36,2003,1196.0
Rozvody,Česko,36,2002,1255.0
Rozvody,Česko,36,2001,1314.0
Rozvody,Česko,37,2024,
Rozvody,Česko,37,2023,520.0
Rozvody,Česko,37,2022,528.0
Rozvody,Česko,37,2021,581.0
Rozvody,Česko,37,2020,599.0
Rozvody,Česko,37,2019,705.0
Rozvody,Česko,37,2018,828.0
Rozvody,Česko,37,2017,926.0
Rozvody,Česko,37,2016,998.0
Rozvody,Česko,37,2015,1048.0
Rozvody,Česko,37,2014,1144.0
Rozvody,Česko,37,2013,1257.0
Rozvody,Česko,37,2012,1239.0
Rozvody,Česko,37,2011,1333.0
Rozvody,Česko,37,2010,1403.0
Rozvody,Česko,37,2009,1208.0
Rozvody,Česko,37,2008,1320.0
Rozvody,Česko,37,2007,1193.0
Rozvody,Česko,37,2006,1260.0
Rozvody,Česko,37,2005,1193.0
Rozvody,Česko,37,2004,1255.0
Rozvody,Česko,37,2003,1312.0
Rozvody,Česko,37,2002,1289.0
Rozvody,Česko,37,2001,1206.0
Rozvody,Česko,38,2024,
Rozvody,Česko,38,2023,575.0
Rozvody,Česko,38,2022,601.0
Rozvody,Česko,38,2021,632.0
Rozvody,Česko,38,2020,678.0
Rozvody,Česko,38,2019,777.0
Rozvody,Česko,38,2018,918.0
Rozvody,Česko,38,2017,1011.0
Rozvody,Česko,38,2016,1053.0
Rozvody,Česko,38,2015,1143.0
Rozvody,Česko,38,2014,1222.0
Rozvody,Česko,38,2013,1333.0
Rozvody,Česko,38,2012,1369.0
Rozvody,Česko,38,2011,1204.0
Rozvody,Česko,38,2010,1272.0
Rozvody,Česko,38,2009,1205.0
Rozvody,Česko,38,2008,1256.0
Rozvody,Česko,38,2007,1181.0
Rozvody,Česko,38,2006,1219.0
Rozvody,Česko,38,2005,1093.0
Rozvody,Česko,38,2004,1246.0
Rozvody,Česko,38,2003,1300.0
Rozvody,Česko,38,2002,1256.0
Rozvody,Česko,38,2001,1066.0
Rozvody,Česko,39,2024,
Rozvody,Česko,39,2023,581.0
Rozvody,Česko,39,2022,614.0
Rozvody,Česko,39,2021,703.0
Rozvody,Česko,39,2020,693.0
Rozvody,Česko,39,2019,905.0
Rozvody,Česko,39,2018,997.0
Rozvody,Česko,39,2017,1102.0
Rozvody,Česko,39,2016,1171.0
Rozvody,Česko,39,2015,1261.0
Rozvody,Česko,39,2014,1271.0
Rozvody,Česko,39,2013,1374.0
Rozvody,Česko,39,2012,1146.0
Rozvody,Česko,39,2011,1172.0
Rozvody,Česko,39,2010,1280.0
Rozvody,Česko,39,2009,1104.0
Rozvody,Česko,39,2008,1187.0
Rozvody,Česko,39,2007,1173.0
Rozvody,Česko,39,2006,1148.0
Rozvody,Česko,39,2005,1251.0
Rozvody,Česko,39,2004,1319.0
Rozvody,Česko,39,2003,1363.0
Rozvody,Česko,39,2002,1103.0
Rozvody,Česko,39,2001,1063.0
Rozvody,Česko,40,2024,
Rozvody,Česko,40,2023,644.0
Rozvody,Česko,40,2022,650.0
Rozvody,Česko,40,2021,761.0
Rozvody,Česko,40,2020,834.0
Rozvody,Česko,40,2019,1058.0
Rozvody,Česko,40,2018,1010.0
Rozvody,Česko,40,2017,1162.0
Rozvody,Česko,40,2016,1213.0
Rozvody,Česko,40,2015,1264.0
Rozvody,Česko,40,2014,1327.0
Rozvody,Česko,40,2013,1318.0
Rozvody,Česko,40,2012,1050.0
Rozvody,Česko,40,2011,1059.0
Rozvody,Česko,40,2010,1158.0
Rozvody,Česko,40,2009,1125.0
Rozvody,Česko,40,2008,1126.0
Rozvody,Česko,40,2007,1164.0
Rozvody,Česko,40,2006,1188.0
Rozvody,Česko,40,2005,1249.0
Rozvody,Česko,40,2004,1296.0
Rozvody,Česko,40,2003,1134.0
Rozvody,Česko,40,2002,1025.0
Rozvody,Česko,40,2001,912.0
Rozvody,Česko,41,2024,
Rozvody,Česko,41,2023,656.0
Rozvody,Česko,41,2022,670.0
Rozvody,Česko,41,2021,879.0
Rozvody,Česko,41,2020,926.0
Rozvody,Česko,41,2019,1025.0
Rozvody,Česko,41,2018,1167.0
Rozvody,Česko,41,2017,1278.0
Rozvody,Česko,41,2016,1257.0
Rozvody,Česko,41,2015,1306.0
Rozvody,Česko,41,2014,1241.0
Rozvody,Česko,41,2013,1127.0
Rozvody,Česko,41,2012,1098.0
Rozvody,Česko,41,2011,1066.0
Rozvody,Česko,41,2010,1176.0
Rozvody,Česko,41,2009,1044.0
Rozvody,Česko,41,2008,1139.0
Rozvody,Česko,41,2007,1186.0
Rozvody,Česko,41,2006,1222.0
Rozvody,Česko,41,2005,1275.0
Rozvody,Česko,41,2004,1149.0
Rozvody,Česko,41,2003,1011.0
Rozvody,Česko,41,2002,959.0
Rozvody,Česko,41,2001,939.0
Rozvody,Česko,42,2024,
Rozvody,Česko,42,2023,694.0
Rozvody,Česko,42,2022,839.0
Rozvody,Česko,42,2021,972.0
Rozvody,Česko,42,2020,968.0
Rozvody,Česko,42,2019,1134.0
Rozvody,Česko,42,2018,1175.0
Rozvody,Česko,42,2017,1284.0
Rozvody,Česko,42,2016,1258.0
Rozvody,Česko,42,2015,1210.0
Rozvody,Česko,42,2014,1090.0
Rozvody,Česko,42,2013,1068.0
Rozvody,Česko,42,2012,1009.0
Rozvody,Česko,42,2011,1026.0
Rozvody,Česko,42,2010,1156.0
Rozvody,Česko,42,2009,1020.0
Rozvody,Česko,42,2008,1181.0
Rozvody,Česko,42,2007,1212.0
Rozvody,Česko,42,2006,1205.0
Rozvody,Česko,42,2005,1031.0
Rozvody,Česko,42,2004,1053.0
Rozvody,Česko,42,2003,966.0
Rozvody,Česko,42,2002,856.0
Rozvody,Česko,42,2001,875.0
Rozvody,Česko,43,2024,
Rozvody,Česko,43,2023,790.0
Rozvody,Česko,43,2022,881.0
Rozvody,Česko,43,2021,960.0
Rozvody,Česko,43,2020,1035.0
Rozvody,Česko,43,2019,1254.0
Rozvody,Česko,43,2018,1124.0
Rozvody,Česko,43,2017,1310.0
Rozvody,Česko,43,2016,1125.0
Rozvody,Česko,43,2015,1077.0
Rozvody,Česko,43,2014,1059.0
Rozvody,Česko,43,2013,1101.0
Rozvody,Česko,43,2012,968.0
Rozvody,Česko,43,2011,1008.0
Rozvody,Česko,43,2010,1077.0
Rozvody,Česko,43,2009,1104.0
Rozvody,Česko,43,2008,1214.0
Rozvody,Česko,43,2007,1213.0
Rozvody,Česko,43,2006,1083.0
Rozvody,Česko,43,2005,997.0
Rozvody,Česko,43,2004,964.0
Rozvody,Česko,43,2003,873.0
Rozvody,Česko,43,2002,931.0
Rozvody,Česko,43,2001,905.0
Rozvody,Česko,44,2024,
Rozvody,Česko,44,2023,806.0
Rozvody,Česko,44,2022,895.0
Rozvody,Česko,44,2021,950.0
Rozvody,Česko,44,2020,1032.0
Rozvody,Česko,44,2019,1188.0
Rozvody,Česko,44,2018,1187.0
Rozvody,Česko,44,2017,1156.0
Rozvody,Česko,44,2016,1046.0
Rozvody,Česko,44,2015,977.0
Rozvody,Česko,44,2014,1065.0
Rozvody,Česko,44,2013,984.0
Rozvody,Česko,44,2012,898.0
Rozvody,Česko,44,2011,986.0
Rozvody,Česko,44,2010,1038.0
Rozvody,Česko,44,2009,1107.0
Rozvody,Česko,44,2008,1115.0
Rozvody,Česko,44,2007,971.0
Rozvody,Česko,44,2006,938.0
Rozvody,Česko,44,2005,995.0
Rozvody,Česko,44,2004,903.0
Rozvody,Česko,44,2003,898.0
Rozvody,Česko,44,2002,894.0
Rozvody,Česko,44,2001,937.0
Rozvody,Česko,45,2024,
Rozvody,Česko,45,2023,841.0
