Území;Ukazatel;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Roky;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2024;101.4465717111
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2023;103.813820207
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2022;115.946802726
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2021;110.7368997157
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2020;93.842235622
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2019;100.9251714519
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2018;103.5670987553
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2017;107.5116095688
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2016;100.8647476101
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2015;102.2405777772
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2014;109.1284816873
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2013;101.5232557474
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2012;102.0175301627
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2011;107.5239322326
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2010;109.1891871594
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2009;84.9586215753
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2008;98.6941598599
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2007;113.7596330491
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2006;108.4188417078
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2005;106.2221541512
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2004;115.5797544763
