Ukazatel,Rok sčítání,Pohlaví,Území,Národnost,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Vietnamská,2725
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Neuvedena,95771
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Obyvatelstvo celkem,789098
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Česká,477404
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Moravská,653
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Slezská,26
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Slovenská,5022
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Německá,1700
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Polská,646
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Romská,837
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Ruská,989
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Ukrajinská,3994
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Vietnamská,3751
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Neuvedena,271809
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Obyvatelstvo celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Česká,263495
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Moravská,453
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Slezská,22
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Slovenská,3188
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Německá,732
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Polská,863
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Romská,211
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Ruská,426
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Ukrajinská,3165
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Vietnamská,1030
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Neuvedena,148601
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Obyvatelstvo celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Česká,336581
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Moravská,746
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Slezská,26
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Slovenská,2949
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Německá,556
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Polská,850
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Romská,277
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Ruská,275
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Ukrajinská,2866
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Vietnamská,943
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Neuvedena,180134
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Obyvatelstvo celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Česká,317193
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Moravská,3431
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Slezská,41
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Slovenská,2806
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Německá,140
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Polská,345
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Romská,196
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Ruská,227
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Ukrajinská,2581
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Vietnamská,843
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Neuvedena,170031
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Obyvatelstvo celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Česká,293222
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Moravská,22121
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Slezská,28
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Slovenská,1904
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Německá,102
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Polská,146
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Romská,108
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Ruská,185
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Ukrajinská,1822
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Vietnamská,712
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Neuvedena,159950
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Obyvatelstvo celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Česká,534157
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Moravská,185163
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Slezská,278
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Slovenská,13088
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Německá,334
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Polská,748
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Romská,307
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Ruská,1794
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Ukrajinská,6697
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Vietnamská,2395
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Neuvedena,339415
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Obyvatelstvo celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Česká,320710
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Moravská,52844
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Slezská,442
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Slovenská,3944
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Německá,339
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Polská,388
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Romská,330
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Ruská,271
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Ukrajinská,1228
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Vietnamská,883
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Neuvedena,194420
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Obyvatelstvo celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Česká,287292
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Moravská,59544
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Slezská,79
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Slovenská,3737
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Německá,74
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Polská,238
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Romská,91
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Ruská,178
