Roky;ČR, kraje, okresy;Ukazatel;value
2023;Olomoucký kraj;Podíl nezaměstnaných osob - celkem (%);3.80892495
2023;Olomoucký kraj;Podíl nezaměstnaných osob - muži (%);3.67490815
2023;Olomoucký kraj;Podíl nezaměstnaných osob - ženy (%);3.94765921
2023;Olomoucký kraj;Pracovní místa v evidenci ÚP celkem;7859.0
2023;Olomoucký kraj;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;1527.0
2023;Olomoucký kraj;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;674.0
2023;Olomoucký kraj;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2.04962463417738
2023;Olomoucký kraj;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;1.91920091614709
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP - celkem;11498.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;10510.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;5243.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;5267.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;1834.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;4550.0
2023;Zlínský kraj;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;4392.0
2023;Zlínský kraj;Podíl nezaměstnaných osob - celkem (%);2.87662272
2023;Zlínský kraj;Podíl nezaměstnaných osob - muži (%);2.80231968
2023;Zlínský kraj;Podíl nezaměstnaných osob - ženy (%);2.95460665
2023;Zlínský kraj;Pracovní místa v evidenci ÚP celkem;8549.0
2023;Zlínský kraj;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2486.0
2023;Zlínský kraj;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;749.0
2023;Zlínský kraj;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;1.34495262603813
2023;Zlínský kraj;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;1.229383553632
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP - celkem;42912.0
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;39642.0
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;20024.0
