Území,Ukazatel,Čtvrtletí,value
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",4. čtvrtletí 2023,0.4
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",1. čtvrtletí 2024,0.2
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",2. čtvrtletí 2024,0.3
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",3. čtvrtletí 2024,0.6
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",4. čtvrtletí 2024,0.8
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",1. čtvrtletí 2025,0.7
Česko,"Hrubý domácí produkt, mezičtvrtletní růst/pokles, %",2. čtvrtletí 2025,0.5
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",4. čtvrtletí 2023,0.5
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",1. čtvrtletí 2024,0.5
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",2. čtvrtletí 2024,0.5
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",3. čtvrtletí 2024,1.5
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",4. čtvrtletí 2024,1.9
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",1. čtvrtletí 2025,2.4
Česko,"Hrubý domácí produkt, meziroční růst/pokles, %",2. čtvrtletí 2025,2.6
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",4. čtvrtletí 2023,0.1
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",1. čtvrtletí 2024,-0.1
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",2. čtvrtletí 2024,0.6
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",3. čtvrtletí 2024,0.1
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",4. čtvrtletí 2024,0.0
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",1. čtvrtletí 2025,0.4
Česko,"Zaměstnanost, mezičtvrtletní růst/pokles, %",2. čtvrtletí 2025,0.5
Česko,"Zaměstnanost, meziroční růst/pokles, %",4. čtvrtletí 2023,1.5
Česko,"Zaměstnanost, meziroční růst/pokles, %",1. čtvrtletí 2024,0.5
Česko,"Zaměstnanost, meziroční růst/pokles, %",2. čtvrtletí 2024,0.7
Česko,"Zaměstnanost, meziroční růst/pokles, %",3. čtvrtletí 2024,0.7
Česko,"Zaměstnanost, meziroční růst/pokles, %",4. čtvrtletí 2024,0.5
Česko,"Zaměstnanost, meziroční růst/pokles, %",1. čtvrtletí 2025,1.1
Česko,"Zaměstnanost, meziroční růst/pokles, %",2. čtvrtletí 2025,1.0
