Ukazatel;Stát;Věk (roky);Roky (ČR);Pohlaví;value
Naděje dožití (ex);Česko;0;1986;ženy;74.6881097848
Naděje dožití (ex);Česko;0;1985;muži;67.5086732813
Naděje dožití (ex);Česko;0;1985;ženy;74.785049091
Naděje dožití (ex);Česko;0;1984;muži;67.349536708
Naděje dožití (ex);Česko;0;1984;ženy;74.5168831986
Naděje dožití (ex);Česko;0;1983;muži;67.0561628984
Naděje dožití (ex);Česko;0;1983;ženy;74.3190892305
Naděje dožití (ex);Česko;0;1982;muži;67.3370982496
Naděje dožití (ex);Česko;0;1982;ženy;74.4886115544
Naděje dožití (ex);Česko;0;1981;muži;67.2104629129
Naděje dožití (ex);Česko;0;1981;ženy;74.4060517441
Naděje dožití (ex);Česko;0;1980;muži;66.8844391098
Naděje dožití (ex);Česko;0;1980;ženy;73.9806665493
Naděje dožití (ex);Česko;0;1979;muži;67.3982917152
Naděje dožití (ex);Česko;0;1979;ženy;74.4085813055
Naděje dožití (ex);Česko;0;1978;muži;67.2433820412
Naděje dožití (ex);Česko;0;1978;ženy;74.3215674202
Naděje dožití (ex);Česko;0;1977;muži;67.1564855619
Naděje dožití (ex);Česko;0;1977;ženy;74.2561465618
Naděje dožití (ex);Česko;0;1976;muži;67.0844096686
Naděje dožití (ex);Česko;0;1976;ženy;74.2405519252
Naděje dožití (ex);Česko;0;1975;muži;67.0390459537
Naděje dožití (ex);Česko;0;1975;ženy;74.0468736808
Naděje dožití (ex);Česko;0;1974;muži;66.7744914945
Naděje dožití (ex);Česko;0;1974;ženy;73.6100140957
Naděje dožití (ex);Česko;0;1973;muži;66.5408010452
Naděje dožití (ex);Česko;0;1973;ženy;73.6944496179
Naděje dožití (ex);Česko;0;1972;muži;66.8434516585
Naděje dožití (ex);Česko;0;1972;ženy;73.7065510626
Naděje dožití (ex);Česko;0;1971;muži;66.1688753707
Naděje dožití (ex);Česko;0;1971;ženy;73.3929253642
Naděje dožití (ex);Česko;0;1970;muži;66.0633099033
Naděje dožití (ex);Česko;0;1970;ženy;73.026896588
Naděje dožití (ex);Česko;0;1969;muži;65.9553908971
Naděje dožití (ex);Česko;0;1969;ženy;73.1444839862
Naděje dožití (ex);Česko;0;1968;muži;66.5761395276
Naděje dožití (ex);Česko;0;1968;ženy;73.4759572143
Naděje dožití (ex);Česko;0;1967;muži;67.1349376154
Naděje dožití (ex);Česko;0;1967;ženy;73.7436186951
Naděje dožití (ex);Česko;0;1966;muži;67.2598841184
Naděje dožití (ex);Česko;0;1966;ženy;73.8240351461
Naděje dožití (ex);Česko;0;1965;muži;67.1588036203
Naděje dožití (ex);Česko;0;1965;ženy;73.4586450619
Naděje dožití (ex);Česko;0;1964;muži;67.5106037342
Naděje dožití (ex);Česko;0;1964;ženy;73.7084515419
Naděje dožití (ex);Česko;0;1963;muži;67.317931182
Naděje dožití (ex);Česko;0;1963;ženy;73.5358906775
Naděje dožití (ex);Česko;0;1962;muži;66.9021346562
Naděje dožití (ex);Česko;0;1962;ženy;72.9131325526
Naděje dožití (ex);Česko;0;1961;muži;67.6526226132
Naděje dožití (ex);Česko;0;1961;ženy;73.5897483717
Naděje dožití (ex);Česko;0;1960;muži;67.9554302547
Naděje dožití (ex);Česko;0;1960;ženy;73.4780617338
Naděje dožití (ex);Česko;0;1959;muži;67.4954137646
Naděje dožití (ex);Česko;0;1959;ženy;72.8625344635
Naděje dožití (ex);Česko;0;1958;muži;67.6195353527
Naděje dožití (ex);Česko;0;1958;ženy;72.7460617136
Naděje dožití (ex);Česko;0;1957;muži;66.6896151214
Naděje dožití (ex);Česko;0;1957;ženy;71.8242162995
Naděje dožití (ex);Česko;0;1956;muži;67.0540245075
Naděje dožití (ex);Česko;0;1956;ženy;72.0981951046
Naděje dožití (ex);Česko;0;1955;muži;66.6515150634
Naděje dožití (ex);Česko;0;1955;ženy;71.6708559284
Naděje dožití (ex);Česko;0;1954;muži;65.7694477645
Naděje dožití (ex);Česko;0;1954;ženy;70.67452719
Naděje dožití (ex);Česko;0;1953;muži;65.4257596695
Naděje dožití (ex);Česko;0;1953;ženy;70.0192842702
Naděje dožití (ex);Česko;0;1952;muži;64.651809781
Naděje dožití (ex);Česko;0;1952;ženy;69.3113513744
Naděje dožití (ex);Česko;0;1951;muži;62.9193797104
Naděje dožití (ex);Česko;0;1951;ženy;67.7433854197
Naděje dožití (ex);Česko;0;1950;muži;62.0097610138
Naděje dožití (ex);Česko;0;1950;ženy;66.819586842
Naděje dožití (ex);Česko;0;1949;muži;61.3320089124
Naděje dožití (ex);Česko;0;1949;ženy;66.3385637559
Naděje dožití (ex);Česko;0;1948;muži;61.5565857255
Naděje dožití (ex);Česko;0;1948;ženy;66.1550044131
Naděje dožití (ex);Česko;0;1947;muži;60.2158916652
Naděje dožití (ex);Česko;0;1947;ženy;64.9954148706
Naděje dožití (ex);Česko;0;1946;muži;57.9273753954
Naděje dožití (ex);Česko;0;1946;ženy;63.0946241115
